PMID,Journal,publisher_guess,year,doi,doi_url
38900862,Adv Physiol Educ,Unknown,2024,10.1152/advan.00051.2024,https://journals.physiology.org/doi/10.1152/advan.00051.2024
38695081,Adv Physiol Educ,Unknown,2024,10.1152/advan.00174.2023,https://journals.physiology.org/doi/10.1152/advan.00174.2023
6595253,J Appl Physiol Respir Environ Exerc Physiol,Unknown,1984,10.1152/jappl.1984.57.6.1749,https://journals.physiology.org/doi/10.1152/jappl.1984.57.6.1749
6511550,J Appl Physiol Respir Environ Exerc Physiol,Unknown,1984,10.1152/jappl.1984.57.6.1760,https://journals.physiology.org/doi/10.1152/jappl.1984.57.6.1760
38900861,J Appl Physiol (1985),Unknown,2024,10.1152/japplphysiol.00076.2024,https://journals.physiology.org/doi/10.1152/japplphysiol.00076.2024
38634503,J Appl Physiol (1985),Unknown,2024,10.1152/japplphysiol.00102.2024,https://journals.physiology.org/doi/10.1152/japplphysiol.00102.2024
15143213,News Physiol Sci,Unknown,2004,10.1152/nips.01462.2003,https://journals.physiology.org/doi/10.1152/nips.01462.2003
15016901,News Physiol Sci,Unknown,2004,10.1152/nips.01457.2003,https://journals.physiology.org/doi/10.1152/nips.01457.2003
38896832,Neurophysiology,Unknown,2024,10.1152/jn.00256.2024,https://journals.physiology.org/doi/10.1152/jn.00256.2024
38691530,Neurophysiology,Unknown,2024,10.1152/jn.00051.2024,https://journals.physiology.org/doi/10.1152/jn.00051.2024
16211675,Am J Physiol,Unknown,1999,10.1152/advances.1999.276.6.S102,https://journals.physiology.org/doi/10.1152/advances.1999.276.6.S102
16211670,Am J Physiol,Unknown,1999,10.1152/advances.1999.276.6.S74,https://journals.physiology.org/doi/10.1152/advances.1999.276.6.S74
