PMID,Journal,publisher_guess,year,doi,doi_url
12043583,Nurs Stand (1984),Unknown,2000,10.7748/ns.14.30.25.s43,http://journals.rcni.com/nursing-standard/its-a-growth-industry-ns.14.30.25.s43
21476484,Paediatr Nurs,Unknown,2011,10.7748/paed2011.03.23.2.30.c8376,https://journals.rcni.com//doi/abs/10.7748/paed2011.03.23.2.30.c8376
21066945,Paediatr Nurs,Unknown,2010,10.7748/paed.22.8.27.s27,http://journals.rcni.com/paediatric-nursing/an-overview-of-infantile-hypertrophic-pyloric-stenosis-paed.22.8.27.s27
38915253,Nurs Manag (Harrow),Unknown,2024,10.7748/nm.2024.e2136,https://journals.rcni.com/nursing-management/evidence-and-practice/using-journalling-to-support-nurses-mental-wellbeing-and-selfcare-in-challenging-times-nm.2024.e2136/abs
31612665,Nurs Manag (Harrow),Unknown,2019,10.7748/nm.2019.e1834,https://journals.rcni.com/nursing-management/evidence-and-practice/use-of-instant-messaging-to-enhance-leadership-and-management-training-for-rural-nurse-managers-nm.2019.e1834/abs
1536702,Nurs Elder,Unknown,1992,10.7748/eldc.4.1.12.s27,http://journals.rcni.com/elderly-care/safety-first-eldc.4.1.12.s27
38910434,Nurs Stand,Unknown,2024,10.7748/ns.2024.e12365,https://journals.rcni.com/nursing-standard/how-to/how-to-reflect-on-clinical-practice-ns.2024.e12365/abs
37132541,Nurs Stand,Unknown,2023,10.7748/ns.2023.e12158,https://journals.rcni.com/nursing-standard/evidence-and-practice/ensuring-effective-infection-prevention-and-control-in-the-community-ns.2023.e12158/abs
38778620,Emerg Nurse,Unknown,2024,10.7748/en.2024.e2202,https://journals.rcni.com/emergency-nurse/evidence-and-practice/understanding-the-demographics-training-experiences-and-decisionmaking-practices-of-uk-triage-nurses-en.2024.e2202/full
38268417,Emerg Nurse,Unknown,2024,10.7748/en.2024.e2191,https://journals.rcni.com/emergency-nurse/evidence-and-practice/nitrous-oxide-tank-cold-burn-to-the-forearm-a-case-study-and-discussion-of-the-literature-en.2024.e2191/abs
38881235,Nurs Child Young People,Unknown,2024,10.7748/ncyp.2024.e1499,https://journals.rcni.com/nursing-children-and-young-people/evidence-and-practice/using-nonpharmacological-interventions-to-manage-medical-procedureinduced-anxiety-in-children-a-framework-to-guide-best-practice-ncyp.2024.e1499/abs
34121371,Nurs Child Young People,Unknown,2021,10.7748/ncyp.2021.e1326,https://journals.rcni.com/nursing-children-and-young-people/evidence-and-practice/children-and-young-peoples-experiences-of-having-a-sibling-with-complex-health-needs-a-literature-review-ncyp.2021.e1326/abs
38813677,Nurse Res,Unknown,2024,10.7748/nr.2024.e1909,https://journals.rcni.com/nurse-researcher/evidence-and-practice/reflections-on-being-an-insider-researcher-a-study-exploring-the-experiences-of-men-accessing-rural-mental-health-services-nr.2024.e1909/full
35048621,Nurse Res,Unknown,2022,10.7748/nr.2022.e1809,https://journals.rcni.com/nurse-researcher/evidence-and-practice/email-correspondence-interpretation-and-the-psychoanalytically-informed-research-interview-nr.2022.e1809/abs
38864354,Nurs Older People,Unknown,2024,10.7748/nop.2024.e1465,https://journals.rcni.com/nursing-older-people/evidence-and-practice/using-critical-reflection-to-enhance-the-care-of-older-people-a-practice-example-nop.2024.e1465/abs
36694988,Nurs Older People,Unknown,2023,10.7748/nop.2023.e1430,https://journals.rcni.com/nursing-older-people/evidence-and-practice/personcentred-communication-with-people-with-dementia-nop.2023.e1430/abs
