PMID,Journal,publisher_guess,year,doi,doi_url
11619406,Source Notes Hist Art,Unknown,1995,10.1086/sou.14.4.23205609,https://www.journals.uchicago.edu/doi/10.1086/sou.14.4.23205609
20827843,Winterthur Portf,Unknown,2010,10.1086/654885,https://www.journals.uchicago.edu/doi/10.1086/654885
11618307,Winterthur Portf,Unknown,1989,10.1086/496398,https://www.journals.uchicago.edu/doi/10.1086/496398
32051647,J Law Econ,Unknown,2019,10.1086/704008,https://www.journals.uchicago.edu/doi/10.1086/704008
11617386,J Law Econ,Unknown,1986,10.1086/467108,https://www.journals.uchicago.edu/doi/10.1086/467108
11617734,Mod Philol,Unknown,1986,10.1086/391537,https://www.journals.uchicago.edu/doi/10.1086/391537
25382877,J Legal Stud,Unknown,2014,10.1086/675728,https://www.journals.uchicago.edu/doi/10.1086/675728
12647746,J Legal Stud,Unknown,2001,10.1086/324674,https://www.journals.uchicago.edu/doi/10.1086/324674
11659887,Supreme Court Rev,Unknown,1992,10.1086/scr.1992.3109666,https://www.journals.uchicago.edu/doi/10.1086/scr.1992.3109666
27011787,HAU,Unknown,2014,10.14318/hau4.3.020,https://www.journals.uchicago.edu/doi/10.14318/hau4.3.020
38868361,Environ Hist Durh N C,Unknown,2023,10.1086/726711,https://www.journals.uchicago.edu/doi/10.1086/726711
31431804,China J,Unknown,2015,10.1086/681664,https://www.journals.uchicago.edu/doi/10.1086/681664
21218185,Int J Plant Sci,Unknown,2010,10.1086/656306,https://www.journals.uchicago.edu/doi/10.1086/656306
10817976,Int J Plant Sci,Unknown,2000,10.1086/314272,https://www.journals.uchicago.edu/doi/10.1086/314272
9798260,Physiol Zool,Unknown,1998,10.1086/516003,https://www.journals.uchicago.edu/doi/10.1086/516003
9754532,Physiol Zool,Unknown,1998,10.1086/515973,https://www.journals.uchicago.edu/doi/10.1086/515973
17269200,Class Philol,Unknown,1998,10.1086/449393,https://www.journals.uchicago.edu/doi/10.1086/449393
11614351,Class Philol,Unknown,1980,10.1086/366548,https://www.journals.uchicago.edu/doi/10.1086/366548
11616872,Crit Inq,Unknown,1987,10.1086/448426,https://www.journals.uchicago.edu/doi/10.1086/448426
11614377,Crit Inq,Unknown,1976,10.1086/447885,https://www.journals.uchicago.edu/doi/10.1086/447885
11614803,J Relig,Unknown,1982,10.1086/486930,https://www.journals.uchicago.edu/doi/10.1086/486930
17886409,Hist Relig,Unknown,2000,10.1086/463593,https://www.journals.uchicago.edu/doi/10.1086/463593
11614610,Hist Relig,Unknown,1982,10.1086/462918,https://www.journals.uchicago.edu/doi/10.1086/462918
16468205,J Near East Stud,Unknown,2001,10.1086/468948,https://www.journals.uchicago.edu/doi/10.1086/468948
16468171,J Near East Stud,Unknown,1968,10.1086/371970,https://www.journals.uchicago.edu/doi/10.1086/371970
38820292,Biol Bull,Unknown,2023,10.1086/730459,https://www.journals.uchicago.edu/doi/10.1086/730459
36108032,Biol Bull,Unknown,2022,10.1086/721915,https://www.journals.uchicago.edu/doi/10.1086/721915
38728700,J Clin Ethics,Unknown,2024,10.1086/729419,https://www.journals.uchicago.edu/doi/10.1086/729419
33087942,Econ Dev Cult Change,Unknown,2020,10.1086/702860,https://www.journals.uchicago.edu/doi/10.1086/702860
20821895,Econ Dev Cult Change,Unknown,2010,10.1086/655457,https://www.journals.uchicago.edu/doi/10.1086/655457
37701370,J Polit Econ,Unknown,2023,10.1086/722936,https://www.journals.uchicago.edu/doi/10.1086/722936
11617448,J Polit Econ,Unknown,1989,10.1086/261594,https://www.journals.uchicago.edu/doi/10.1086/261594
38106817,J Polit,Unknown,2022,10.1086/715600,https://www.journals.uchicago.edu/doi/10.1086/715600
37324651,Signs (Chic),Unknown,2023,10.1086/723296,https://www.journals.uchicago.edu/doi/10.1086/723296
21114082,Signs (Chic),Unknown,2011,10.1086/656023,https://www.journals.uchicago.edu/doi/10.1086/656023
20607890,Pap Bibliogr Soc Am,Unknown,2009,10.1086/pbsa.103.4.24293890,https://www.journals.uchicago.edu/doi/10.1086/pbsa.103.4.24293890
11609681,Pap Bibliogr Soc Am,Unknown,1970,10.1086/pbsa.64.1.24301792,https://www.journals.uchicago.edu/doi/10.1086/pbsa.64.1.24301792
36148408,Osiris,Unknown,2022,10.1086/719222,https://www.journals.uchicago.edu/doi/10.1086/719222
20503761,Osiris,Unknown,2005,10.1086/649416,https://www.journals.uchicago.edu/doi/10.1086/649416
35928988,Speculum,Unknown,2021,10.1086/715838,https://www.journals.uchicago.edu/doi/10.1086/715838
19739319,Speculum,Unknown,2009,10.1017/s0038713400018042,https://www.journals.uchicago.edu/doi/10.1017/S0038713400018042
32801386,Br J Philos Sci,Unknown,2020,10.1093/bjps/axy035,https://www.journals.uchicago.edu/doi/10.1093/bjps/axy035
32394984,Br J Philos Sci,Unknown,2020,10.1093/bjps/axy029,https://www.journals.uchicago.edu/doi/10.1093/bjps/axy029
12336458,Southwest J Anthropol,Unknown,1963,10.1086/soutjanth.19.4.3629287,https://www.journals.uchicago.edu/doi/10.1086/soutjanth.19.4.3629287
12259237,Southwest J Anthropol,Unknown,1956,10.1086/soutjanth.12.2.3629113,https://www.journals.uchicago.edu/doi/10.1086/soutjanth.12.2.3629113
25506598,Signs Soc (Chic),Unknown,2014,10.1086/675433,https://www.journals.uchicago.edu/doi/10.1086/675433
30555176,Comp Educ Rev,Unknown,2017,10.1086/691117,https://www.journals.uchicago.edu/doi/10.1086/691117
12263469,Comp Educ Rev,Unknown,1980,10.1086/446146,https://www.journals.uchicago.edu/doi/10.1086/446146
38737435,Natl Tax J,Unknown,2024,10.1086/728678,https://www.journals.uchicago.edu/doi/10.1086/728678
38237195,Physiol Biochem Zool,Unknown,2023,10.1086/728968,https://www.journals.uchicago.edu/doi/10.1086/728968
34343458,Physiol Biochem Zool,Unknown,2021,10.1086/716042,https://www.journals.uchicago.edu/doi/10.1086/716042
38857347,Am Nat,Unknown,2024,10.1086/730145,https://www.journals.uchicago.edu/doi/10.1086/730145
38781525,Am Nat,Unknown,2024,10.1086/729601,https://www.journals.uchicago.edu/doi/10.1086/729601
10856017,J Geol,Unknown,2000,10.1086/314409,https://www.journals.uchicago.edu/doi/10.1086/314409
10769157,J Geol,Unknown,2000,10.1086/314403,https://www.journals.uchicago.edu/doi/10.1086/314403
33505045,Curr Anthropol,Unknown,2019,10.1086/705483,https://www.journals.uchicago.edu/doi/10.1086/705483
24367135,J Mod Hist,Unknown,2013,10.1086/670822,https://www.journals.uchicago.edu/doi/10.1086/670822
11614781,J Mod Hist,Unknown,1975,10.1086/241320,https://www.journals.uchicago.edu/doi/10.1086/241320
32269391,Q Rev Biol,Unknown,2019,10.1086/706768,https://www.journals.uchicago.edu/doi/10.1086/706768
21954701,Q Rev Biol,Unknown,2011,10.1086/661119,https://www.journals.uchicago.edu/doi/10.1086/661119
38883577,Am J Educ (Chic Ill),Unknown,2022,10.1086/719159,https://www.journals.uchicago.edu/doi/10.1086/719159
21049667,Stud Decor Arts,Unknown,2001,10.1086/studdecoarts.9.1.40662799,https://www.journals.uchicago.edu/doi/10.1086/studdecoarts.9.1.40662799
21049666,Stud Decor Arts,Unknown,2001,10.1086/studdecoarts.9.1.40662798,https://www.journals.uchicago.edu/doi/10.1086/studdecoarts.9.1.40662798
24347816,NBER Macroecon Annu,Unknown,2009,10.1086/593084,https://www.journals.uchicago.edu/doi/10.1086/593084
34924590,Elem Sch J,Unknown,2021,10.1086/714083,https://www.journals.uchicago.edu/doi/10.1086/714083
11537089,Bot Gaz,Unknown,1991,10.1086/337859,https://www.journals.uchicago.edu/doi/10.1086/337859
11539712,Bot Gaz,Unknown,1986,10.1086/337607,https://www.journals.uchicago.edu/doi/10.1086/337607
37808219,Isis,Unknown,2023,10.1086/726979,https://www.journals.uchicago.edu/doi/10.1086/726979
34538885,Isis,Unknown,2021,10.1086/715642,https://www.journals.uchicago.edu/doi/10.1086/715642
38742043,Soc Serv Rev,Unknown,2023,10.1086/725320,https://www.journals.uchicago.edu/doi/10.1086/725320
