PMID,Journal,publisher_guess,year,doi,doi_url
37335065,Endokrynol Pol,Unknown,2023,10.5603/EP.a2023.0042,https://journals.viamedica.pl/endokrynologia_polska/article/view/93060
38912571,Folia Histochem Cytobiol,Unknown,2024,10.5603/fhc.100875,https://journals.viamedica.pl/folia_histochemica_cytobiologica/article/view/100875
36987743,Folia Histochem Cytobiol,Unknown,2023,10.5603/FHC.a2023.0005,https://journals.viamedica.pl/folia_histochemica_cytobiologica/article/view/89084
38895752,Folia Morphol (Warsz),Unknown,2024,10.5603/fm.100364,https://journals.viamedica.pl/folia_morphologica/article/view/100364
38445512,Folia Morphol (Warsz),Unknown,2024,10.5603/fm.99092,https://journals.viamedica.pl/folia_morphologica/article/view/99092
38874193,Ginekol Pol,Unknown,2024,10.5603/gpl.93808,https://journals.viamedica.pl/ginekologia_polska/article/view/93808
38334345,Ginekol Pol,Unknown,2024,10.5603/gpl.97295,https://journals.viamedica.pl/ginekologia_polska/article/view/97295
38913494,Cardiol J,Unknown,2024,10.5603/cj.98301,https://journals.viamedica.pl/cardiology_journal/article/view/98301
37822076,Cardiol J,Unknown,2024,10.5603/cj.92243,https://journals.viamedica.pl/cardiology_journal/article/view/92243
38887785,Kardiol Pol,Unknown,2024,10.33963/v.phj.101169,https://journals.viamedica.pl/polish_heart_journal/article/view/101169
38493459,Kardiol Pol,Unknown,2024,10.33963/v.phj.99195,https://journals.viamedica.pl/polish_heart_journal/article/view/99195
38515827,Rep Pract Oncol Radiother,Unknown,2023,10.5603/rpor.98732,https://journals.viamedica.pl/rpor/article/view/98732
37795391,Rep Pract Oncol Radiother,Unknown,2023,10.5603/RPOR.a2023.0043,https://journals.viamedica.pl/rpor/article/view/96335
38887062,Nucl Med Rev Cent East Eur,Unknown,2024,10.5603/nmr.99686,https://journals.viamedica.pl/nuclear_medicine_review/article/view/99686
36047293,Nucl Med Rev Cent East Eur,Unknown,2022,10.5603/NMR.a2022.0031,https://journals.viamedica.pl/nuclear_medicine_review/article/view/87413
