PMID,Journal,publisher_guess,year,doi,doi_url
4479677,Repura,Unknown,1974,10.5025/hansen1930.43.1_52,https://www.jstage.jst.go.jp/article/hansen1930/43/1/43_1_52/_article/-char/ja/
19037164,Nihon Hotetsu Shika Gakkai Zasshi,Unknown,2008,10.2186/jjps.52.594,https://www.jstage.jst.go.jp/article/jjps/52/4/52_4_594/_article/-char/ja/
17968149,Nihon Hotetsu Shika Gakkai Zasshi,Unknown,2007,10.2186/jjps.51.699,https://www.jstage.jst.go.jp/article/jjps1957/51/4/51_4_699/_article/-char/ja/
31902831,Okajimas Folia Anat Jpn,Unknown,2019,10.2535/ofaj.96.49,https://www.jstage.jst.go.jp/article/ofaj/96/2/96_49/_article
29681592,Okajimas Folia Anat Jpn,Unknown,2017,10.2535/ofaj.94.81,https://www.jstage.jst.go.jp/article/ofaj/94/3/94_81/_article
1363467,Endocrinol Jpn,Unknown,1992,10.1507/endocrj1954.39.593,https://www.jstage.jst.go.jp/article/endocrj1954/39/6/39_6_593/_article
1396352,Endocrinol Jpn,Unknown,1992,10.1507/endocrj1954.39.209,https://www.jstage.jst.go.jp/article/endocrj1954/39/2/39_2_209/_article
7805807,Jikken Dobutsu,Unknown,1994,10.1538/expanim1978.43.4_585,https://www.jstage.jst.go.jp/article/expanim1978/43/4/43_4_585/_article
7805803,Jikken Dobutsu,Unknown,1994,10.1538/expanim1978.43.4_567,https://www.jstage.jst.go.jp/article/expanim1978/43/4/43_4_567/_article
38692885,Nihon Yakurigaku Zasshi,Unknown,2024,10.1254/fpj.24009,https://www.jstage.jst.go.jp/article/fpj/159/3/159_24009/_article/-char/ja/
37914331,Nihon Yakurigaku Zasshi,Unknown,2023,10.1254/fpj.23050,https://www.jstage.jst.go.jp/article/fpj/158/6/158_23050/_article/-char/ja/
38839344,Ind Health,Unknown,2024,10.2486/indhealth.2023-0114,https://www.jstage.jst.go.jp/article/indhealth/advpub/0/advpub_2023-0114/_article
35811129,Ind Health,Unknown,2023,10.2486/indhealth.2021-0233,https://www.jstage.jst.go.jp/article/indhealth/61/4/61_2021-0233/_article
26472933,Interdiscip Inf Sci,Unknown,2015,10.4036/iis.2015.B.10,https://www.jstage.jst.go.jp/article/iis/21/3/21_2015.B.10/_article
38803340,Biophys Physicobiol,Unknown,2024,10.2142/biophysico.bppb-v21.0011,https://www.jstage.jst.go.jp/article/biophysico/21/1/21_e210011/_article
37234847,Biophys Physicobiol,Unknown,2023,10.2142/biophysico.bppb-v20.0003,https://www.jstage.jst.go.jp/article/biophysico/20/1/20_e200003/_article
32153313,Kona,Unknown,2020,10.14356/kona.2020011,https://www.jstage.jst.go.jp/article/kona/37/0/37_2020011/_article
38524755,J Equine Sci,Unknown,2024,10.1294/jes.35.9,https://www.jstage.jst.go.jp/article/jes/35/1/35_JES2315/_article
34220269,J Equine Sci,Unknown,2021,10.1294/jes.32.31,https://www.jstage.jst.go.jp/article/jes/32/2/32_2105/_article
38577893,Biosci Microbiota Food Health,Unknown,2024,10.12938/bmfh.2023-085,https://www.jstage.jst.go.jp/article/bmfh/43/2/43_2023-085/_article
33996368,Biosci Microbiota Food Health,Unknown,2021,10.12938/bmfh.2020-070,https://www.jstage.jst.go.jp/article/bmfh/40/2/40_2020-070/_article
25484522,J Photopolym Sci Technol,Unknown,2013,10.2494/photopolymer.25.53,https://www.jstage.jst.go.jp/article/photopolymer/25/1/25_53/_article
37621732,Bull Jpn Soc Coord Chem,Unknown,2022,10.4019/bjscc.80.4,https://www.jstage.jst.go.jp/article/bjscc/80/0/80_4/_article
25045319,Biosci Microflora,Unknown,2011,10.12938/bifidus.30.135,https://www.jstage.jst.go.jp/article/bifidus/30/4/30_4_135/_article
25045311,Biosci Microflora,Unknown,2011,10.12938/bifidus.30.27,https://www.jstage.jst.go.jp/article/bifidus/30/2/30_2_27/_article
38880603,Drug Discov Ther,Unknown,2024,10.5582/ddt.2024.01025,https://www.jstage.jst.go.jp/article/ddt/advpub/0/advpub_2024.01025/_article
36288939,Drug Discov Ther,Unknown,2022,10.5582/ddt.2022.01068,https://www.jstage.jst.go.jp/article/ddt/16/5/16_2022.01068/_article
10426078,Nihon Kango Kagakkaishi,Unknown,1997,10.5630/jans1981.17.4_69,https://www.jstage.jst.go.jp/article/jans1981/17/4/17_69/_article/-char/ja/
10426086,Nihon Kango Kagakkaishi,Unknown,1997,10.5630/jans1981.17.2_62,https://www.jstage.jst.go.jp/article/jans1981/17/2/17_62/_article/-char/ja/
38749760,Bull Tokyo Dent Coll,Unknown,2024,10.2209/tdcpublication.2023-0028,https://www.jstage.jst.go.jp/article/tdcpublication/advpub/0/advpub_2023-0028/_article
32507781,Bull Tokyo Dent Coll,Unknown,2020,10.2209/tdcpublication.2019-0018,https://www.jstage.jst.go.jp/article/tdcpublication/61/2/61_2019-0018/_article
38910121,Chem Pharm Bull (Tokyo),Unknown,2024,10.1248/cpb.c24-00276,https://www.jstage.jst.go.jp/article/cpb/72/6/72_c24-00276/_article
38171905,Chem Pharm Bull (Tokyo),Unknown,2024,10.1248/cpb.c23-00693,https://www.jstage.jst.go.jp/article/cpb/72/1/72_c23-00693/_article
837730,Cytologia (Tokyo),Unknown,1977,10.1508/cytologia.42.175,https://www.jstage.jst.go.jp/article/cytologia1929/42/1/42_1_175/_article
12371436,Seibutsu Kankyo Chosetsu,Unknown,2000,10.2525/ecb1963.38.79,https://www.jstage.jst.go.jp/article/ecb1963/38/2/38_2_79/_article
12269372,Seibutsu Kankyo Chosetsu,Unknown,2000,10.2525/ecb1963.38.89,https://www.jstage.jst.go.jp/article/ecb1963/38/2/38_2_89/_article
12737183,Memai Heiko Igaku,Unknown,2001,10.3757/jser.60.137,https://www.jstage.jst.go.jp/article/jser1971/60/3/60_3_137/_article/-char/ja/
12192683,Trans Jpn Soc Aeronaut Space Sci,Unknown,2001,10.2322/tjsass.43.153,https://www.jstage.jst.go.jp/article/tjsass/43/142/43_142_153/_article
38866479,Proc Jpn Acad Ser B Phys Biol Sci,Unknown,2024,10.2183/pjab.100.022,https://www.jstage.jst.go.jp/article/pjab/100/6/100_pjab.100.022/_article
35545528,Proc Jpn Acad Ser B Phys Biol Sci,Unknown,2022,10.2183/pjab.98.014,https://www.jstage.jst.go.jp/article/pjab/98/5/98_PJA9805B-02/_article
10675972,Appl Human Sci,Unknown,1999,10.2114/jpa.18.233,https://www.jstage.jst.go.jp/article/ahs/18/6/18_6_233/_article
9611366,Appl Human Sci,Unknown,1998,10.2114/jpa.17.41,https://www.jstage.jst.go.jp/article/ahs/17/2/17_2_41/_article
38880611,Sangyo Eiseigaku Zasshi,Unknown,2024,10.1539/sangyoeisei.2024-011-B,https://www.jstage.jst.go.jp/article/sangyoeisei/advpub/0/advpub_2024-011-B/_article/-char/ja/
33642458,Sangyo Eiseigaku Zasshi,Unknown,2021,10.1539/sangyoeisei.2020-002-B,https://www.jstage.jst.go.jp/article/sangyoeisei/63/6/63_2020-002-B/_article/-char/ja/
25309039,Trends Glycosci Glycotechnol,Unknown,2011,10.4052/tigg.23.33,https://www.jstage.jst.go.jp/article/tigg/23/129/23_129_33/_article
38880638,Arerugi,Unknown,2024,10.15036/arerugi.73.361,https://www.jstage.jst.go.jp/article/arerugi/73/4/73_361/_article/-char/ja/
38749711,Arerugi,Unknown,2024,10.15036/arerugi.73.268,https://www.jstage.jst.go.jp/article/arerugi/73/3/73_268/_article/-char/ja/
38910126,Nihon Koshu Eisei Zasshi,Unknown,2024,10.11236/jph.23-107,https://www.jstage.jst.go.jp/article/jph/advpub/0/advpub_23-107/_article/-char/ja/
38556363,Nihon Koshu Eisei Zasshi,Unknown,2024,10.11236/jph.23-057,https://www.jstage.jst.go.jp/article/jph/71/6/71_23-057/_article/-char/ja/
2134868,Shika Kiso Igakkai Zasshi,Unknown,1990,10.2330/joralbiosci1965.32.87,https://www.jstage.jst.go.jp/article/joralbiosci1965/32/1/32_1_87/_article
2519278,Shika Kiso Igakkai Zasshi,Unknown,1989,10.2330/joralbiosci1965.31.363,https://www.jstage.jst.go.jp/article/joralbiosci1965/31/4/31_4_363/_article/-char/ja/
7880331,Ann Physiol Anthropol,Unknown,1994,10.2114/ahs1983.13.421,https://www.jstage.jst.go.jp/article/ahs1983/13/6/13_6_421/_article/-char/ja/
7916761,Ann Physiol Anthropol,Unknown,1994,10.2114/ahs1983.13.175,https://www.jstage.jst.go.jp/article/ahs1983/13/4/13_4_175/_article/-char/ja/
8790447,Jpn J Genet,Unknown,1995,10.1266/jjg.70.687,https://www.jstage.jst.go.jp/article/jjg/70/6/70_6_687/_article
7546842,Jpn J Genet,Unknown,1995,10.1266/jjg.70.487,https://www.jstage.jst.go.jp/article/jjg/70/4/70_4_487/_article
21258629,J Hum Environ Syst,Unknown,2008,10.1618/jhes.11.51,https://www.jstage.jst.go.jp/article/jhes/11/1/11_1_51/_article
21197419,Psychologia,Unknown,2008,10.2117/psysoc.2008.14,https://www.jstage.jst.go.jp/article/psysoc/51/1/51_1_14/_article
38910137,Environ Health Prev Med,Unknown,2024,10.1265/ehpm.24-00050,https://www.jstage.jst.go.jp/article/ehpm/29/0/29_24-00050/_article
38447970,Environ Health Prev Med,Unknown,2024,10.1265/ehpm.23-00274,https://www.jstage.jst.go.jp/article/ehpm/29/0/29_23-00274/_article
38873243,J Poult Sci,Unknown,2024,10.2141/jpsa.2024020,https://www.jstage.jst.go.jp/article/jpsa/61/0/61_2024020/_article
35989695,J Poult Sci,Unknown,2022,10.2141/jpsa.0210089,https://www.jstage.jst.go.jp/article/jpsa/59/3/59_0210089/_article
22572182,Arch Histol Cytol,Unknown,2010,10.1679/aohc.73.149,https://www.jstage.jst.go.jp/article/aohc/73/3/73_3_149/_article
18431032,Arch Histol Cytol,Unknown,2007,10.1679/aohc.70.313,https://www.jstage.jst.go.jp/article/aohc/70/5/70_5_313/_article
38777767,J Smooth Muscle Res,Unknown,2024,10.1540/jsmr.60.10,https://www.jstage.jst.go.jp/article/jsmr/60/0/60_0547/_article
34980821,J Smooth Muscle Res,Unknown,2021,10.1540/jsmr.57.79,https://www.jstage.jst.go.jp/article/jsmr/57/0/57_0522/_article
9476435,J Nihon Univ Sch Dent,Unknown,1997,10.2334/josnusd1959.39.211,https://www.jstage.jst.go.jp/article/josnusd1959/39/4/39_4_211/_article
9058998,J Nihon Univ Sch Dent,Unknown,1996,10.2334/josnusd1959.38.155,https://www.jstage.jst.go.jp/article/josnusd1959/38/3-4/38_3-4_155/_article
38684391,J Nutr Sci Vitaminol (Tokyo),Unknown,2024,10.3177/jnsv.70.98,https://www.jstage.jst.go.jp/article/jnsv/70/2/70_98/_article
38417854,J Nutr Sci Vitaminol (Tokyo),Unknown,2024,10.3177/jnsv.70.72,https://www.jstage.jst.go.jp/article/jnsv/70/1/70_72/_article
1363598,J Pharmacobiodyn,Unknown,1992,10.1248/bpb1978.15.667,https://www.jstage.jst.go.jp/article/bpb1978/15/12/15_12_667/_article
1812277,J Pharmacobiodyn,Unknown,1991,10.1248/bpb1978.14.679,https://www.jstage.jst.go.jp/article/bpb1978/14/12/14_12_679/_article
4675663,J Vitaminol (Kyoto),Unknown,1972,10.5925/jnsv1954.18.183,https://www.jstage.jst.go.jp/article/jnsv1954/18/4/18_4_183/_article
5528307,J Vitaminol (Kyoto),Unknown,1970,10.5925/jnsv1954.16.228,https://www.jstage.jst.go.jp/article/jnsv1954/16/3/16_3_228/_article
38382971,Nihon Saikingaku Zasshi,Unknown,2024,10.3412/jsb.79.15,https://www.jstage.jst.go.jp/article/jsb/79/1/79_15/_article/-char/ja/
29863035,Nihon Saikingaku Zasshi,Unknown,2018,10.3412/jsb.73.171,https://www.jstage.jst.go.jp/article/jsb/73/2/73_171/_article/-char/ja/
38797675,Nihon Eiseigaku Zasshi,Unknown,2024,10.1265/jjh.23006,https://www.jstage.jst.go.jp/article/jjh/79/0/79_23006/_article/-char/ja/
30647202,Nihon Eiseigaku Zasshi,Unknown,2019,10.1265/jjh.18037,https://www.jstage.jst.go.jp/article/jjh/74/0/74_18037/_article/-char/ja/
38616121,Kaku Igaku,Unknown,2024,10.18893/kakuigaku.arm.2434,https://www.jstage.jst.go.jp/article/kakuigaku/61/1/61_arm.2434/_article/-char/ja/
32238674,Kaku Igaku,Unknown,2020,10.18893/kakuigaku.wgr.2033,https://www.jstage.jst.go.jp/article/kakuigaku/57/1/57_wgr.2033/_article/-char/ja/
1075327,Nihon Koku Geka Gakkai Zasshi,Unknown,1976,10.5794/jjoms.22.363,https://www.jstage.jst.go.jp/article/jjoms1967/22/3/22_3_363/_article
29630315,Shinrigaku Kenkyu,Unknown,2017,10.4992/jjpsy.88.16308,https://www.jstage.jst.go.jp/article/jjpsy/88/1/88_88.16308/_article/-char/ja/
26964375,Shinrigaku Kenkyu,Unknown,2016,10.4992/jjpsy.86.14336,https://www.jstage.jst.go.jp/article/jjpsy/86/6/86_86.14336/_article/-char/ja/
38246625,Nihon Hinyokika Gakkai Zasshi,Unknown,2023,10.5980/jpnjurol.114.8,https://www.jstage.jst.go.jp/article/jpnjurol/114/1/114_8/_article/-char/ja/
36261344,Nihon Hinyokika Gakkai Zasshi,Unknown,2021,10.5980/jpnjurol.112.159,https://www.jstage.jst.go.jp/article/jpnjurol/112/4/112_159/_article/-char/ja/
2287145,Nihon Juigaku Zasshi,Unknown,1990,10.1292/jvms1939.52.1347,https://www.jstage.jst.go.jp/article/jvms1939/52/6/52_6_1347/_article
2391778,Nihon Juigaku Zasshi,Unknown,1990,10.1292/jvms1939.52.787,https://www.jstage.jst.go.jp/article/jvms1939/52/4/52_4_787/_article
38836182,Intractable Rare Dis Res,Unknown,2024,10.5582/irdr.2024.01009,https://www.jstage.jst.go.jp/article/irdr/13/2/13_2024.01009/_article
38024582,Intractable Rare Dis Res,Unknown,2023,10.5582/irdr.2023.01055,https://www.jstage.jst.go.jp/article/irdr/12/4/12_2023.01055/_article
26733762,J Jpn Phys Ther Assoc,Unknown,2015,10.1298/jjpta.Vol18_003,https://www.jstage.jst.go.jp/article/jjpta/18/1/18_Vol18_003/_article
25792947,J Jpn Phys Ther Assoc,Unknown,2006,10.1298/jjpta.9.21,https://www.jstage.jst.go.jp/article/jjpta/9/1/9_1_21/_article
38655231,J Rural Med,Unknown,2024,10.2185/jrm.2023-042,https://www.jstage.jst.go.jp/article/jrm/19/2/19_2023-042/_article
35432638,J Rural Med,Unknown,2022,10.2185/jrm.2021-039,https://www.jstage.jst.go.jp/article/jrm/17/2/17_2021-039/_article
12320418,Chirigaku Hyoron,Unknown,1994,10.4157/grj1984b.67.1,https://www.jstage.jst.go.jp/article/grj1984b/67/1/67_1_1/_article
12287539,Chirigaku Hyoron,Unknown,1992,10.4157/grj1984b.65.15,https://www.jstage.jst.go.jp/article/grj1984b/65/1/65_1_15/_article
38866552,J Oral Sci,Unknown,2024,10.2334/josnusd.24-0018,https://www.jstage.jst.go.jp/article/josnusd/advpub/0/advpub_24-0018/_article
38447982,J Oral Sci,Unknown,2024,10.2334/josnusd.23-0360,https://www.jstage.jst.go.jp/article/josnusd/66/2/66_23-0360/_article
16377946,J Physiol Anthropol Appl Human Sci,Unknown,2005,10.2114/jpa.24.611,https://www.jstage.jst.go.jp/article/jpa/24/6/24_6_611/_article
16079608,J Physiol Anthropol Appl Human Sci,Unknown,2005,10.2114/jpa.24.507,https://www.jstage.jst.go.jp/article/jpa/24/4/24_4_507/_article
6939707,Koku Eisei Gakkai Zasshi,Unknown,1980,10.5834/jdh.30.348,https://www.jstage.jst.go.jp/article/jdh1952/30/4/30_4_348/_article
18634457,Kokubyo Gakkai Zasshi,Unknown,2008,10.5357/koubyou.75.106,https://www.jstage.jst.go.jp/article/koubyou1952/75/2/75_2_106/_article/-char/ja/
11542418,Radioisotopes,Unknown,1998,10.3769/radioisotopes.47.10_765,https://www.jstage.jst.go.jp/article/radioisotopes1952/47/10/47_10_765/_article/-char/ja/
2396013,Radioisotopes,Unknown,1990,10.3769/radioisotopes.39.5_212,https://www.jstage.jst.go.jp/article/radioisotopes1952/39/5/39_5_212/_article/-char/ja/
38839291,J UOEH,Unknown,2024,10.7888/juoeh.46.227,https://www.jstage.jst.go.jp/article/juoeh/46/2/46_227/_article
35660685,J UOEH,Unknown,2022,10.7888/juoeh.44.191,https://www.jstage.jst.go.jp/article/juoeh/44/2/44_191/_article/-char/ja/
21709769,Nihon Kessen Shiketsu Gakkai shi,Unknown,2005,10.2491/jjsth.16.54,https://www.jstage.jst.go.jp/article/jjsth/16/1/16_1_54/_article
20717501,J Mass Spectrom Soc Jpn,Unknown,2005,10.5702/massspec.53.7,https://www.jstage.jst.go.jp/article/massspec/53/1/53_1_7/_article
24174708,IEICE Trans Inf Syst,Unknown,2013,10.1587/transinf.e96.d.772,https://www.jstage.jst.go.jp/article/transinf/E96.D/4/E96.D_772/_article
38572388,Clin Pediatr Endocrinol,Unknown,2024,10.1297/cpe.2023-0061,https://www.jstage.jst.go.jp/article/cpe/33/2/33_2023-0061/_article
37020701,Clin Pediatr Endocrinol,Unknown,2023,10.1297/cpe.2023-0001-2,https://www.jstage.jst.go.jp/article/cpe/32/2/32_2023-0001-2/_article
38832221,J Phys Ther Sci,Unknown,2024,10.1589/jpts.36.325,https://www.jstage.jst.go.jp/article/jpts/36/6/36_2023-151/_article
38075517,J Phys Ther Sci,Unknown,2023,10.1589/jpts.35.825,https://www.jstage.jst.go.jp/article/jpts/35/12/35_2023-082/_article
21308002,Trans Jpn Soc Artif Intell,Unknown,2010,10.1527/tjsai.25.433,https://www.jstage.jst.go.jp/article/tjsai/25/3/25_3_433/_article
34248275,Laser Ther,Unknown,2020,10.5978/islsm.20-OR-09,https://www.jstage.jst.go.jp/article/islsm/29/1/29_20-OR-09/_article
30087529,Laser Ther,Unknown,2018,10.5978/islsm.18-OR-09,https://www.jstage.jst.go.jp/article/islsm/27/2/27_18-OR-09/_article
25342927,J Surf Anal,Unknown,2011,10.1384/jsa.17.163,https://www.jstage.jst.go.jp/article/jsa/17/3/17_163/_article
38887471,Mass Spectrom (Tokyo),Unknown,2024,10.5702/massspectrometry.A0146,https://www.jstage.jst.go.jp/article/massspectrometry/13/1/13_A0146/_article
30805275,Mass Spectrom (Tokyo),Unknown,2019,10.5702/massspectrometry.A0072,https://www.jstage.jst.go.jp/article/massspectrometry/8/1/8_A0072/_article
8226398,Nihon Rai Gakkai Zasshi,Unknown,1993,10.5025/hansen1977.62.33,https://www.jstage.jst.go.jp/article/hansen1977/62/1/62_1_33/_article/-char/ja/
10638189,Nihon Ika Daigaku Zasshi,Unknown,1999,10.1272/jnms.66.395,https://www.jstage.jst.go.jp/article/jnms/66/6/66_6_395/_article/-char/ja/
10466341,Nihon Ika Daigaku Zasshi,Unknown,1999,10.1272/jnms.66.253,https://www.jstage.jst.go.jp/article/jnms/66/4/66_4_253/_article
38799145,J Clin Biochem Nutr,Unknown,2024,10.3164/jcbn.22-138,https://www.jstage.jst.go.jp/article/jcbn/74/3/74_22-138/_article
38292115,J Clin Biochem Nutr,Unknown,2024,10.3164/jcbn.23-35,https://www.jstage.jst.go.jp/article/jcbn/74/1/74_23-35/_article
38911606,Prog Rehabil Med,Unknown,2024,10.2490/prm.20240023,https://www.jstage.jst.go.jp/article/prm/9/0/9_20240023/_article
36703800,Prog Rehabil Med,Unknown,2023,10.2490/prm.20230002,https://www.jstage.jst.go.jp/article/prm/8/0/8_20230002/_article
38910138,Magn Reson Med Sci,Unknown,2024,10.2463/mrms.mp.2024-0017,https://www.jstage.jst.go.jp/article/mrms/advpub/0/advpub_mp.2024-0017/_article
35908880,Magn Reson Med Sci,Unknown,2023,10.2463/mrms.mp.2021-0045,https://www.jstage.jst.go.jp/article/mrms/22/4/22_mp.2021-0045/_article
36567120,Biocontrol Sci,Unknown,2022,10.4265/bio.27.229,https://www.jstage.jst.go.jp/article/bio/27/4/27_229/_article
31527344,Biocontrol Sci,Unknown,2019,10.4265/bio.24.137,https://www.jstage.jst.go.jp/article/bio/24/3/24_137/_article
38695038,Acta Histochem Cytochem,Unknown,2024,10.1267/ahc.24-00010,https://www.jstage.jst.go.jp/article/ahc/57/2/57_24-00010/_article
36405550,Acta Histochem Cytochem,Unknown,2022,10.1267/ahc.22-00076,https://www.jstage.jst.go.jp/article/ahc/55/5/55_22-00076/_article
