PMID,Journal,publisher_guess,year,doi,doi_url
37636523,Adv Res Gastroenterol Hepatol,Unknown,2021,10.19080/argh.2021.17.555972,https://juniperpublishers.com/argh/ARGH.MS.ID.555972.php
34095714,Acad J Pediatr Neonatol,Unknown,2018,10.19080/ajpn.2018.07.555761,https://juniperpublishers.com/ajpn/AJPN.MS.ID.555761.php
32832845,J Forensic Sci Crim Investig,Unknown,2017,10.19080/jfsci.2017.02.555592,https://juniperpublishers.com/jfsci/JFSCI.MS.ID.555592.php
30345411,Agric Res Technol,Unknown,2017,10.19080/ARTOAJ.2017.12.555864,https://juniperpublishers.com/artoaj/ARTOAJ.MS.ID.555864.php
31355358,Curr Trends Biomed Eng Biosci,Unknown,2018,10.19080/CTBEB.2018.13.555869,https://juniperpublishers.com/ctbeb/CTBEB.MS.ID.555869.php
30465048,Open Access J Gerontol Geriatr Med,Unknown,2018,10.19080/OAJGGM.2018.04.555636,https://juniperpublishers.com/oajggm/OAJGGM.MS.ID.555636.php
30976755,Curr Trends Clin Med Imaging,Unknown,2018,10.19080/CTCMI.2018.02.555587,https://juniperpublishers.com/ctcmi/CTCMI.MS.ID.555587.php
33294850,Ann Rev Res,Unknown,2020,10.19080/arr.2020.05.555670,https://juniperpublishers.com/arr/ARR.MS.ID.555670.php
29399668,Glob J Addict Rehabil Med,Unknown,2017,10.19080/GJARM.2017.01.555556,https://juniperpublishers.com/gjarm/GJARM.MS.ID.555556.php
29057394,Glob J Addict Rehabil Med,Unknown,2017,10.19080/gjarm.2017.01.555568,https://juniperpublishers.com/gjarm/GJARM.MS.ID.555568.php
29276801,Curr Res Diabetes Obes J,Unknown,2017,10.19080/crdoj.2017.04.555641,https://juniperpublishers.com/crdoj/CRDOJ.MS.ID.555641.php
28845476,Cancer Ther Oncol Int J,Unknown,2017,10.19080/CTOIJ.2017.03.555611,https://juniperpublishers.com/ctoij/CTOIJ.MS.ID.555611.php
36092687,JOJ Ophthalmol,Unknown,2022,10.19080/jojo.2022.09.555757,https://juniperpublishers.com/jojo/JOJO.MS.ID.555757.php
30148262,Glob J Reprod Med,Unknown,2017,10.19080/GJORM.2017.02.555588,https://juniperpublishers.com/gjorm/GJORM.MS.ID.555588.php
29863159,Adv Biotechnol Microbiol,Unknown,2017,10.19080/ARGH.2017.02.555589,https://juniperpublishers.com/argh/ARGH.MS.ID.555589.php
36777448,Biostat Biom Open Access J,Unknown,2022,10.19080/bboaj.2022.11.555801,https://juniperpublishers.com/bboaj/BBOAJ.MS.ID.555801.php
