PMID,Journal,publisher_guess,year,doi,doi_url
28503512,Commun Stat Appl Methods,Unknown,2013,10.5351/CSAM.2013.20.6.455,http://koreascience.or.kr/article/JAKO201336161060049.page
26942165,J Oral Med Pain,Unknown,2015,10.14476/jomp.2015.40.3.110,http://koreascience.or.kr/article/JAKO201529539329008.page
25328868,J Adv Smart Convergence,Unknown,2012,10.7236/JASC2012.1.1.9,http://koreascience.or.kr/article/JAKO201225135675706.page
25580406,Adv Nano Res,Unknown,2014,10.12989/anr.2014.2.1.057,http://koreascience.or.kr/article/JAKO201409150680680.page
18047809,J Biochem Mol Biol,Unknown,2007,10.5483/bmbrep.2007.40.6.1095,http://koreascience.or.kr/article/JAKO200710103458944.page
18047798,J Biochem Mol Biol,Unknown,2007,10.5483/bmbrep.2007.40.6.1009,http://koreascience.or.kr/article/JAKO200710103452363.page
20657808,J Opt Soc Korea,Unknown,2010,10.3807/JOSK.2010.14.1.001,http://koreascience.or.kr/article/JAKO201008853001136.page
23766887,J Comput Sci Eng,Unknown,2012,10.5626/JCSE.2012.6.1.51,http://koreascience.or.kr/article/JAKO201211666468942.page
34824486,Bull Korean Chem Soc,Unknown,2005,10.5012/bkcs.2005.26.10.1503,http://koreascience.or.kr/article/JAKO200502727353819.page
29805280,Korean J Food Sci Anim Resour,Unknown,2018,10.5851/kosfa.2018.38.2.302,http://koreascience.or.kr/article/JAKO201813639172523.page
22287978,Smart Struct Syst,Unknown,2011,10.12989/sss.2011.7.3.213,http://koreascience.or.kr/article/JAKO201115541093314.page
23805045,Ungyong Tonggye Yongu,Unknown,2011,10.5351/KJAS.2011.24.3.495,http://koreascience.or.kr/article/JAKO201120956423954.page
31304174,Child Stud Asia Pac Context,Unknown,2015,10.5723/csac.2015.5.1.001,http://koreascience.or.kr/article/JAKO201509163234728.page
27350766,Int J Hum Ecol,Unknown,2015,10.6115/ijhe.2015.16.2.45,http://koreascience.or.kr/article/JAKO201504641502041.page
