PMID,Journal,publisher_guess,year,doi,doi_url
19968519,Cyberpsychol Behav,Unknown,2009,10.1089/cpb.2009.9989,https://www.liebertpub.com/doi/10.1089/cpb.2009.9989
19630584,Cyberpsychol Behav,Unknown,2009,10.1089/cpb.2009.0069,https://www.liebertpub.com/doi/10.1089/cpb.2009.0069
15684883,Hybrid Hybridomics,Unknown,2004,10.1089/hyb.2004.23.333,https://www.liebertpub.com/doi/10.1089/hyb.2004.23.333
15319069,Hybrid Hybridomics,Unknown,2004,10.1089/1536859041651349,https://www.liebertpub.com/doi/10.1089/1536859041651349
38856681,OMICS,Unknown,2024,10.1089/omi.2024.0116,https://www.liebertpub.com/doi/10.1089/omi.2024.0116
38320250,OMICS,Unknown,2024,10.1089/omi.2023.0273,https://www.liebertpub.com/doi/10.1089/omi.2023.0273
20025525,Cloning Stem Cells,Unknown,2009,10.1089/clo.2009.0005,https://www.liebertpub.com/doi/10.1089/clo.2009.0005
19226212,Cloning Stem Cells,Unknown,2009,10.1089/clo.2008.0027,https://www.liebertpub.com/doi/10.1089/clo.2008.0027
36950501,Bariatr Surg Pract Patient Care,Unknown,2023,10.1089/bari.2021.0117,https://www.liebertpub.com/doi/10.1089/bari.2021.0117
32939330,Bariatr Surg Pract Patient Care,Unknown,2020,10.1089/bari.2019.0065,https://www.liebertpub.com/doi/10.1089/bari.2019.0065
38608235,Big Data,Unknown,2024,10.1089/big.2023.0177,https://www.liebertpub.com/doi/10.1089/big.2023.0177
36084020,Big Data,Unknown,2023,10.1089/big.2021.0398,https://www.liebertpub.com/doi/10.1089/big.2021.0398
34177391,Ind Biotechnol (New Rochelle N Y),Unknown,2021,10.1089/ind.2021.29246.jga,https://www.liebertpub.com/doi/10.1089/ind.2021.29246.jga
19865608,Obes Manag,Unknown,2008,10.1089/obe.2008.0163,https://www.liebertpub.com/doi/10.1089/obe.2008.0163
20436797,Obes Manag,Unknown,2007,10.1089/obe.2007.0019,https://www.liebertpub.com/doi/10.1089/obe.2007.0019
3607722,Cancer Drug Deliv,Unknown,1987,10.1089/cdd.1987.4.47,https://www.liebertpub.com/doi/10.1089/cdd.1987.4.47
2448023,Cancer Drug Deliv,Unknown,1987,10.1089/cdd.1987.4.119,https://www.liebertpub.com/doi/10.1089/cdd.1987.4.119
3690696,Cent Nerv Syst Trauma,Unknown,1987,10.1089/cns.1987.4.135,https://www.liebertpub.com/doi/10.1089/cns.1987.4.135
3542248,Cent Nerv Syst Trauma,Unknown,1986,10.1089/cns.1986.3.235,https://www.liebertpub.com/doi/10.1089/cns.1986.3.235
10417055,J Hematother,Unknown,1999,10.1089/106161299320343,https://www.liebertpub.com/doi/10.1089/106161299320343
9735863,J Hematother,Unknown,1998,10.1089/scd.1.1998.7.319,https://www.liebertpub.com/doi/10.1089/scd.1.1998.7.319
38868897,J Interferon Cytokine Res,Unknown,2024,10.1089/jir.2024.0097,https://www.liebertpub.com/doi/10.1089/jir.2024.0097
36927129,J Interferon Cytokine Res,Unknown,2023,10.1089/jir.2022.0229,https://www.liebertpub.com/doi/10.1089/jir.2022.0229
38885081,J Comput Biol,Unknown,2024,10.1089/cmb.2024.0554,https://www.liebertpub.com/doi/10.1089/cmb.2024.0554
37471239,J Comput Biol,Unknown,2023,10.1089/cmb.2023.0107,https://www.liebertpub.com/doi/10.1089/cmb.2023.0107
38899506,J Ocul Pharmacol Ther,Unknown,2024,10.1089/jop.2024.0024,https://www.liebertpub.com/doi/10.1089/jop.2024.0024
38489060,J Ocul Pharmacol Ther,Unknown,2024,10.1089/jop.2023.0124,https://www.liebertpub.com/doi/10.1089/jop.2023.0124
11660453,Genome Sci Technol,Unknown,1995,10.1089/gst.1995.1.21,https://www.liebertpub.com/doi/10.1089/gst.1995.1.21
38905152,Microb Drug Resist,Unknown,2024,10.1089/mdr.2024.0026,https://www.liebertpub.com/doi/10.1089/mdr.2024.0026
36757312,Microb Drug Resist,Unknown,2023,10.1089/mdr.2021.0483,https://www.liebertpub.com/doi/10.1089/mdr.2021.0483
12954117,Antisense Nucleic Acid Drug Dev,Unknown,2003,10.1089/108729003768247637,https://www.liebertpub.com/doi/10.1089/108729003768247637
12477282,Antisense Nucleic Acid Drug Dev,Unknown,2002,10.1089/108729002761381302,https://www.liebertpub.com/doi/10.1089/108729002761381302
11471835,Microb Comp Genomics,Unknown,2000,10.1089/omi.1.2000.5.223,https://www.liebertpub.com/doi/10.1089/omi.1.2000.5.223
11471831,Microb Comp Genomics,Unknown,2000,10.1089/omi.1.2000.5.179,https://www.liebertpub.com/doi/10.1089/omi.1.2000.5.179
10326997,J Womens Health,Unknown,1999,10.1089/jwh.1999.8.421,https://www.liebertpub.com/doi/10.1089/jwh.1999.8.421
10100137,J Womens Health,Unknown,1999,10.1089/jwh.1999.8.235,https://www.liebertpub.com/doi/10.1089/jwh.1999.8.235
38836845,J Child Adolesc Psychopharmacol,Unknown,2024,10.1089/cap.2024.0041,https://www.liebertpub.com/doi/10.1089/cap.2024.0041
37861988,J Child Adolesc Psychopharmacol,Unknown,2023,10.1089/cap.2023.0019,https://www.liebertpub.com/doi/10.1089/cap.2023.0019
34874766,J Altern Complement Med,Unknown,2021,10.1089/acm.2021.29101.hoc,https://www.liebertpub.com/doi/10.1089/acm.2021.29101.hoc
34424727,J Altern Complement Med,Unknown,2021,10.1089/acm.2021.0163,https://www.liebertpub.com/doi/10.1089/acm.2021.0163
38887999,Hum Gene Ther,Unknown,2024,10.1089/hum.2024.040,https://www.liebertpub.com/doi/10.1089/hum.2024.040
38661537,Hum Gene Ther,Unknown,2024,10.1089/hum.2024.034,https://www.liebertpub.com/doi/10.1089/hum.2024.034
9025030,J Laparoendosc Surg,Unknown,1996,10.1089/lps.1996.6.435,https://www.liebertpub.com/doi/10.1089/lps.1996.6.435
8735050,J Laparoendosc Surg,Unknown,1996,10.1089/lps.1996.6.117,https://www.liebertpub.com/doi/10.1089/lps.1996.6.117
3013219,AIDS Res,Unknown,1986,10.1089/aid.1.1986.2.5,https://www.liebertpub.com/doi/10.1089/aid.1.1986.2.5
38848306,Viral Immunol,Unknown,2024,10.1089/vim.2024.0013,https://www.liebertpub.com/doi/10.1089/vim.2024.0013
37831916,Viral Immunol,Unknown,2023,10.1089/vim.2023.0051,https://www.liebertpub.com/doi/10.1089/vim.2023.0051
38888596,DNA Cell Biol,Unknown,2024,10.1089/dna.2023.0395,https://www.liebertpub.com/doi/10.1089/dna.2023.0395
38241502,DNA Cell Biol,Unknown,2024,10.1089/dna.2023.0341,https://www.liebertpub.com/doi/10.1089/dna.2023.0341
38874958,Tissue Eng Part B Rev,Unknown,2024,10.1089/ten.TEB.2024.0079,https://www.liebertpub.com/doi/10.1089/ten.TEB.2024.0079
37658839,Tissue Eng Part B Rev,Unknown,2024,10.1089/ten.TEB.2023.0129,https://www.liebertpub.com/doi/10.1089/ten.teb.2023.0129
38842184,Tissue Eng Part C Methods,Unknown,2024,10.1089/ten.TEC.2024.0099,https://www.liebertpub.com/doi/10.1089/ten.tec.2024.0099
36719783,Tissue Eng Part C Methods,Unknown,2023,10.1089/ten.TEC.2022.0181,https://www.liebertpub.com/doi/10.1089/ten.tec.2022.0181
38814000,J Aerosol Med Pulm Drug Deliv,Unknown,2024,10.1089/jamp.2023.0045,https://www.liebertpub.com/doi/10.1089/jamp.2023.0045
38648279,J Aerosol Med Pulm Drug Deliv,Unknown,2024,10.1089/jamp.2023.0019,https://www.liebertpub.com/doi/10.1089/jamp.2023.0019
38838030,Popul Health Manag,Unknown,2024,10.1089/pop.2023.0284,https://www.liebertpub.com/doi/10.1089/pop.2023.0284
37590061,Popul Health Manag,Unknown,2023,10.1089/pop.2023.29008.atc,https://www.liebertpub.com/doi/10.1089/pop.2023.29008.atc
38916116,Genet Test Mol Biomarkers,Unknown,2024,10.1089/gtmb.2023.0365,https://www.liebertpub.com/doi/10.1089/gtmb.2023.0365
38837151,Genet Test Mol Biomarkers,Unknown,2024,10.1089/gtmb.2023.0263,https://www.liebertpub.com/doi/10.1089/gtmb.2023.0263
38860340,J Correct Health Care,Unknown,2024,10.1089/jchc.24.01.0008,https://www.liebertpub.com/doi/10.1089/jchc.24.01.0008
37384916,J Correct Health Care,Unknown,2023,10.1089/jchc.2023.29024.editorial,https://www.liebertpub.com/doi/10.1089/jchc.2023.29024.editorial
38877794,AIDS Res Hum Retroviruses,Unknown,2024,10.1089/AID.2023.0126,https://www.liebertpub.com/doi/10.1089/aid.2023.0126
37335031,AIDS Res Hum Retroviruses,Unknown,2024,10.1089/AID.2023.0046,https://www.liebertpub.com/doi/10.1089/aid.2023.0046
18158723,J Aerosol Med,Unknown,2007,10.1089/jam.2007.0625,https://www.liebertpub.com/doi/10.1089/jam.2007.0625
18158722,J Aerosol Med,Unknown,2007,10.1089/jam.2007.0591,https://www.liebertpub.com/doi/10.1089/jam.2007.0591
15165391,J Clin Laser Med Surg,Unknown,2004,10.1089/104454704774076226,https://www.liebertpub.com/doi/10.1089/104454704774076226
12513918,J Clin Laser Med Surg,Unknown,2002,10.1089/104454702320901107,https://www.liebertpub.com/doi/10.1089/104454702320901107
38690154,J Gynecol Surg,Unknown,2024,10.1089/gyn.2023.0098,https://www.liebertpub.com/doi/10.1089/gyn.2023.0098
24761129,J Gynecol Surg,Unknown,2012,10.1089/gyn.2012.0006,https://www.liebertpub.com/doi/10.1089/gyn.2012.0006
8785479,Antisense Res Dev,Unknown,1995,10.1089/ard.1995.5.227,https://www.liebertpub.com/doi/10.1089/ard.1995.5.227
8746778,Antisense Res Dev,Unknown,1995,10.1089/ard.1995.5.289,https://www.liebertpub.com/doi/10.1089/ard.1995.5.289
38877803,Thyroid,Unknown,2024,10.1089/thy.2023.0327,https://www.liebertpub.com/doi/10.1089/thy.2023.0327
38613811,Thyroid,Unknown,2024,10.1089/thy.2023.0673,https://www.liebertpub.com/doi/10.1089/thy.2023.0673
38904170,J Endourol,Unknown,2024,10.1089/end.2024.0021,https://www.liebertpub.com/doi/10.1089/end.2024.0021
38568907,J Endourol,Unknown,2024,10.1089/end.2023.0766,https://www.liebertpub.com/doi/10.1089/end.2023.0766
