PMID,Journal,publisher_guess,year,doi,doi_url
16127859,Mod Churchm,Unknown,1987,10.3828/mc.29.3.7,https://www.liverpooluniversitypress.co.uk/doi/10.3828/MC.29.3.7
21038713,Environ Hist Camb,Unknown,2002,10.3197/096734002129342602,https://www.liverpooluniversitypress.co.uk/doi/10.3197/096734002129342602
20429140,Environ Hist Camb,Unknown,1999,10.3197/096734099779568245,https://www.liverpooluniversitypress.co.uk/doi/10.3197/096734099779568245
19405225,Aust J Fr Stud,Unknown,1999,10.3828/ajfs.1999.36.1.3,https://www.liverpooluniversitypress.co.uk/doi/10.3828/ajfs.1999.36.1.3
17985488,Contemp Fr Civiliz,Unknown,2001,10.3828/cfc.2001.25.1.002,https://www.liverpooluniversitypress.co.uk/doi/10.3828/cfc.2001.25.1.002
12349331,Third World Plann Rev,Unknown,1998,10.3828/twpr.20.3.r157kq31856303p2,https://www.liverpooluniversitypress.co.uk/doi/10.3828/twpr.20.3.r157kq31856303p2
12313540,Third World Plann Rev,Unknown,1982,10.3828/twpr.4.4.8m60j6044453h17x,https://www.liverpooluniversitypress.co.uk/doi/10.3828/twpr.4.4.8m60j6044453h17x
25339782,Town Plan Rev,Unknown,2014,10.3828/tpr.2014.7,https://www.liverpooluniversitypress.co.uk/doi/10.3828/tpr.2014.7
12293196,Town Plan Rev,Unknown,1997,10.3828/tpr.68.1.f662276r465724p7,https://www.liverpooluniversitypress.co.uk/doi/10.3828/tpr.68.1.f662276r465724p7
24403726,Labour Hist Rev,Unknown,2012,10.3828/lhr.2012.17,https://www.liverpooluniversitypress.co.uk/doi/10.3828/lhr.2012.17
