PMID,Journal,publisher_guess,year,doi,doi_url
28299372,Immunotherapy (Los Angel),Unknown,2016,10.4172/2471-9552.1000e104,https://www.longdom.org/open-access/anticancer-molecules-in-brain-implication-for-novel-strategy-for-cancerimmunotherapy-2471-9552-1000e104.pdf
27213185,Matern Pediatr Nutr,Unknown,2015,10.4172/2472-1182.1000105,https://www.longdom.org/open-access/adequate-vitamin-d3-supplementation-during-pregnancy-decreasing-the-prevalence-of-asthma-and-food-allergies-mpn-1000105.pdf
28856068,Mycobact Dis,Unknown,2017,10.4172/2161-1068.1000241,https://www.longdom.org/open-access/serodiagnosis-of-active-mycobacterium-tuberculosis-disease-among-hiv-coinfected-persons-using-thymidylate-kinase-based-antigen-and-2161-1068-1000241.pdf
25525563,Mycobact Dis,Unknown,2014,10.4172/2161-1068.1000145,https://www.longdom.org/open-access/revisiting-antituberculosis-activity-of-pyrazinamide-in-mice-2161-1068.1000145.pdf
24511556,Angiol Open Access,Unknown,2013,10.4172/2329-9495.1000101,https://www.longdom.org/open-access/Nonclassically-Secreted-Regulators-of-Angiogenesis-2329-9495-1-101.pdf
26225356,Angiol Open Access,Unknown,2013,10.4172/2329-9495.1000109,https://www.longdom.org/open-access/endovascular-gene-delivery-from-a-stent-platform-2329-9495.1000109.pdf
29057145,J Chromatogr Sep Tech,Unknown,2017,10.4172/2157-7064.1000361,https://www.longdom.org/open-access/detection-and-quantification-of-inorganic-and-organic-anions-in-naturalpotable-and-wastewaters-in-northern-new-york-using-capillar-2157-7064-1000361.pdf
27833786,J Chromatogr Sep Tech,Unknown,2016,10.4172/2157-7064.1000336,https://www.longdom.org/open-access/a-simple-and-sensitive-method-for-quantitative-measurement-ofmethylmalonic-acid-by-turbulent-flow-chromatography-and-tandemmass-sp-2157-7064-1000336.pdf
25309821,Endocrinol Metab Syndr,Unknown,2012,10.4172/2161-1017.1000e107,https://www.longdom.org/open-access/sleep-debt-and-postprandial-metabolic-function-in-subclinical-cardiometabolic-pathophysiology-2161-1017.1000e107.pdf
32284912,J Womens Health Care,Unknown,2018,10.4172/2167-0420.1000e132,https://www.longdom.org/open-access/postmenopausal-hyperandrogenism-2167-0420-1000e132.pdf
25866829,J Dev Drugs,Unknown,2013,10.4172/2329-6631.1000107,https://www.longdom.org/open-access/dddas-design-of-drug-interventions-for-the-treatment-of-dyslipidemia-inapoe-mice-2329-6631.1000107.pdf
31824586,J Antivir Antiretrovir,Unknown,2019,10.35248/1948-5964.19.11.184,https://www.longdom.org/open-access/the-botanical-glycoside-oleandrin-inhibits-human-tcell-leukemia-virus-type1-infectivity-and-envdependent-virological-synapse-forma-44367.html
26844009,Reprod Syst Sex Disord,Unknown,2015,10.4172/2161-038X.1000155,https://www.longdom.org/open-access/clomiphene-citrate-effectively-increases-testosterone-in-obese-young-hypogonadal-men-2161-038X-1000155.pdf
26500807,Reprod Syst Sex Disord,Unknown,2015,10.4172/2161-038X.1000e122,https://www.longdom.org/open-access/role-of-male-factor-testing-in-recurrent-pregnancy-loss-or-in-vitro-fertilization-failure-2161-038X-1000e122.pdf
24466501,Gynecol Obstet (Sunnyvale),Unknown,2013,10.4172/2161-0932.S4-003,https://www.longdom.org/open-access/exosomes-in-plasma-of-patients-with-ovarian-carcinoma-potential-biomarkers-of-tumor-progression-and-response-to-therapy-2161-0932.S4-003.pdf
29034369,Adv Tech Biol Med,Unknown,2017,10.4172/2379-1764.1000238,https://www.longdom.org/open-access/alpha-1-microglobulin-a-potentially-paradoxical-antioxidant-agent-2379-1764-1000238.pdf
26052559,Adv Tech Biol Med,Unknown,2015,10.4172/2379-1764.1000120,https://www.longdom.org/open-access/restoration-of-mitochondrial-gene-expression-using-a-cloned-human-gene-in-chinese-hamster-lung-cell-mutant-atbm.1000120.pdf
25568893,J Alcohol Drug Depend,Unknown,2013,10.4172/2329-6488.1000141,https://www.longdom.org/open-access/readiness-to-change-and-gender-moderators-of-the-relationship-between-social-desirability-and-college-drinking-2329-6488.1000141.pdf
24839585,J Depress Anxiety,Unknown,2013,10.4172/2167-1044.s4-001,https://www.longdom.org/open-access/association-of-variant-rs4790904-in-protein-kinase-c-alpha-with-posttraumatic-stress-disorder-in-a-u.s-caucasian-and-african-americanveteran-sample-2167-1044.S4-001.pdf
28758051,Biochem Pharmacol (Los Angel),Unknown,2017,10.4172/2167-0501.1000e184,https://www.longdom.org/open-access/serotonin-in-the-frontal-cortex-a-potential-therapeutic-target-forneurological-disorders-2167-0501-1000e184.pdf
25346877,Biochem Pharmacol (Los Angel),Unknown,2012,10.4172/2167-0501.1000e128,https://www.longdom.org/open-access/application-of-positron-emission-tomography-in-drug-development-2167-0501.1000e128.pdf
26798846,J Bone Marrow Res,Unknown,2015,10.4172/2329-8820.1000162,https://www.longdom.org/open-access/bone-marrow-stem-cell-contribution-to-pulmonary-homeostasis-and-disease-2329-8820-1000162.pdf
25285315,J Bone Marrow Res,Unknown,2012,10.4172/2329-8820.1000104,https://www.longdom.org/open-access/role-of-bone-marrow-in-pathogenesis-of-viral-infections-2329-8820.1000104.pdf
26949719,Transcr Open Access,Unknown,2015,10.4172/2329-8936.1000124,https://www.longdom.org/open-access/microglial-p2-purinergic-receptor-and-immunomodulatory-genetranscripts-vary-by-region-sex-and-age-in-the-healthy-mouse-cns-2329-8936-1000124.pdf
27668268,J Leuk (Los Angel),Unknown,2015,10.4172/2329-6917.1000178,https://www.longdom.org/open-access/lenalidomide-polarizes-th1specific-antitumor-immune-response-and-expands-xbp1-antigenspecific-central-memory-cd3cd8-t-cells-against-various-solid-tumors-2329-6917-1000178.pdf
26221617,J Leuk (Los Angel),Unknown,2014,10.4172/2329-6917.1000167,https://www.longdom.org/open-access/the-challenge-of-t-and-fltpositive-acute-myelogenous-leukemia-in-a-young-adult-2329-6917-1000167.pdf
24567865,J Psychol Psychother,Unknown,2013,10.4172/2161-0487.S7-005,https://www.longdom.org/open-access/effects-of-selective-neonatal-amygdala-damage-on-concurrent-discrimination-learning-and-reinforcer-devaluation-in-monkeys-2161-0487.S7-005.pdf
27774351,J Yoga Phys Ther,Unknown,2016,10.4172/2157-7595.1000224,https://www.longdom.org/open-access/impact-of-a-10-minute-seated-yoga-practice-in-the-management-ofdiabetes-2157-7595-1000224.pdf
25642355,J Nanomedine Biotherapeutic Discov,Unknown,2014,10.4172/2155-983X.1000128,https://www.longdom.org/open-access/novel-approach-for-designing-supportive-care-in-genetic-disorders-of-gastrointestinal-tract-2155-983X.1000128.pdf
28932625,Transl Med (Sunnyvale),Unknown,2016,10.4172/2161-1025.1000183,https://www.longdom.org/open-access/vascular-aging-implications-for-cardiovascular-disease-and-therapy-2161-1025-1000183.pdf
26989575,Transl Med (Sunnyvale),Unknown,2013,10.4172/2161-1025.1000114,https://www.longdom.org/open-access/cardioprotective-role-of-caveolae-in-ischemiareperfusion-injury-2161-1025.1000114.pdf
29354324,Pediatr Ther,Unknown,2017,10.4172/2161-0665.1000336,https://www.longdom.org/open-access/comparison-of-patient-outcome-measures-between-a-traditional-teaching-hospitalist-service-and-a-nonteaching-hospitalist-service-at-2161-0665-1000336.pdf
28642833,J Clin Exp Cardiolog,Unknown,2017,10.4172/2155-9880.1000507,https://www.longdom.org/open-access/creating-a-biomarker-panel-for-early-detection-of-chemotherapy-relatedcardiac-dysfunction-in-breast-cancer-patients-2155-9880-1000507.pdf
