PMID,Journal,publisher_guess,year,doi,doi_url
12349112,J Health Popul Dev Ctries,Unknown,1999,10.12927/whp..17504,https://www.longwoods.com/content/17504/world-health-population/assessing-management-training-needs-a-study-in-the-punjab-health-services-pakistan
12349109,J Health Popul Dev Ctries,Unknown,1999,10.12927/whp..17501,https://www.longwoods.com/content/17501/world-health-population/a-comprehensive-assessment-of-the-quality-of-services-provided-by-family-planning-field-workers-in-o
12846142,Hosp Q,Unknown,2003,10.12927/hcq..16498,https://www.longwoods.com/content/16498/healthcare-quarterly/improving-cardiovascular-outcomes-in-nova-scotia-icons-a-successful-public-private-partnership-in
15495406,Can J Nurs Leadersh,Unknown,2000,10.12927/cjnl.2000.16286,https://www.longwoods.com/content/16286/nursing-leadership/what-do-nurses-mean-by-workload-and-work-overload-
11140044,Can J Nurs Leadersh,Unknown,2000,10.12927/cjnl.2000.16299,https://www.longwoods.com/content/16299/nursing-leadership/paradigms-of-canadian-nurse-managers-lenses-for-viewing-leadership-and-management
37917343,Nurs Leadersh (Tor Ont),Unknown,2023,10.12927/cjnl.2023.27205,https://www.longwoods.com/content/27205/nursing-leadership/organizational-supports-for-nurse-managers-in-a-north-american-context-a-scoping-review
31917673,World Health Popul,Unknown,2019,10.12927/whp.2019.26055,https://www.longwoods.com/content/26055/world-health-population/mending-the-cracks-a-case-study-in-using-technology-to-assist-with-transitional-care-for-persons-wi
31917671,World Health Popul,Unknown,2019,10.12927/whp.2019.26057,https://www.longwoods.com/content/26057/world-health-population/key-lessons-learned-in-the-strategic-implementation-of-the-primary-care-collaborative-memory-clinic
38721736,Healthc Policy,Unknown,2024,10.12927/hcpol.2024.27281,https://www.longwoods.com/content/27281/healthcare-policy/rural-urban-differences-in-healthcare-use-in-persons-with-dementia-between-2000-and-2019-a-quebec-p
36917452,Healthc Policy,Unknown,2023,10.12927/hcpol.2023.27036,https://www.longwoods.com/content/27036/healthcare-policy/nursing-home-residents-use-of-radiography-in-new-brunswick-a-case-for-mobile-radiography-
38482661,Healthc Pap,Unknown,2024,10.12927/hcpap.2024.27268,https://www.longwoods.com/content/27268/healthcarepapers/from-today-to-tomorrow-leveraging-digital-health-to-move-toward-health-for-all
38881486,Healthc Q,Unknown,2024,10.12927/hcq.2024.27321,https://www.longwoods.com/content/27321/healthcare-quarterly/routine-collection-of-patient-reported-data-to-support-the-needs-of-primary-care-within-an-integrate
