PMID,Journal,publisher_guess,year,doi,doi_url
34527611,J Res Pharm Pract,Unknown,2021,10.4103/jrpp.JRPP_20_130,https://lww.com/pages/default.aspx
37033143,J Hum Reprod Sci,Unknown,2022,10.4103/jhrs.jhrs_188_22,https://lww.com/pages/default.aspx
25356068,Pathol Case Rev,Unknown,2014,10.1097/PCR.0000000000000027,https://lww.com/_layouts/1033/OAKS.Journals/Error/decommission.html
31396545,Nurs Midwifery Stud,Unknown,2019,10.4103/nms.nms_47_18,https://lww.com/pages/default.aspx
27579333,Nurs Midwifery Stud,Unknown,2016,10.17795/nmsjournal32585,https://lww.com/pages/default.aspx
25620871,Niger J Surg Sci,Unknown,2014,10.4103/1116-5898.127096,https://lww.com/pages/default.aspx
25664312,J Dr NTR Univ Health Sci,Unknown,2014,10.4103/2277-8632.146603,https://lww.com/pages/default.aspx
36643983,Trop Parasitol,Unknown,2022,10.4103/tp.tp_16_22,https://lww.com/pages/default.aspx
36408436,Indian J Occup Environ Med,Unknown,2022,10.4103/ijoem.ijoem_209_22,https://lww.com/pages/default.aspx
14633322,Heart Dis,Unknown,2003,10.1097/01.hdx.0000099777.39577.e8,https://lww.com/pages/results.aspx?txtKeywords=00132580-200311000-00008
12877758,Heart Dis,Unknown,2003,10.1097/01.hdx.0000080716.21869.a1,https://lww.com/pages/results.aspx?txtKeywords=00132580-200307000-00002
35721693,AJSP Rev Rep,Unknown,2022,10.1097/pcr.0000000000000503,https://lww.com/_layouts/1033/OAKS.Journals/Error/decommission.html
31608322,Vasc Investig Ther,Unknown,2019,10.4103/VIT.VIT_9_19,https://lww.com/pages/default.aspx
30272052,Glioma,Unknown,2018,10.4103/glioma.glioma_17_18,https://lww.com/pages/default.aspx
16222140,Pediatr Case Rev,Unknown,2003,10.1097/00132584-200301000-00008,https://lww.com/pages/results.aspx?txtKeywords=00132584-200301000-00008
14520078,Pediatr Case Rev,Unknown,2003,10.1097/01.PCA.0000084261.78068.50,https://lww.com/pages/results.aspx?txtKeywords=00132584-200310000-00001
34350106,J Microsc Ultrastruct,Unknown,2021,10.4103/JMAU.JMAU_32_20,https://lww.com/pages/default.aspx
