PMID,Journal,publisher_guess,year,doi,doi_url
29188702,Dent Update,Unknown,2017,10.12968/denu.2017.44.5.464,https://www.magonlinelibrary.com/doi/10.12968/denu.2017.44.5.464
29152960,Dent Update,Unknown,2016,10.12968/denu.2016.43.9.883,https://www.magonlinelibrary.com/doi/10.12968/denu.2016.43.9.883
38850545,J Wound Care,Unknown,2024,10.12968/jowc.2021.0243,https://www.magonlinelibrary.com/doi/10.12968/jowc.2021.0243
38457296,J Wound Care,Unknown,2024,10.12968/jowc.2024.33.Sup3.S14,https://www.magonlinelibrary.com/doi/10.12968/jowc.2024.33.Sup3.S14
38900669,Br J Nurs,Unknown,2024,10.12968/bjon.2023.0217,https://www.magonlinelibrary.com/doi/10.12968/bjon.2023.0217
38722003,Br J Nurs,Unknown,2024,10.12968/bjon.2024.33.9.S10,https://www.magonlinelibrary.com/doi/10.12968/bjon.2024.33.9.S10
16025798,Hosp Med,Unknown,2005,10.12968/hmed.2005.66.7.18386,https://www.magonlinelibrary.com/doi/10.12968/hmed.2005.66.7.18386
38913643,Int J Palliat Nurs,Unknown,2024,10.12968/ijpn.2024.30.6.274,https://www.magonlinelibrary.com/doi/10.12968/ijpn.2024.30.6.274
38407155,Int J Palliat Nurs,Unknown,2024,10.12968/ijpn.2024.30.2.57,https://www.magonlinelibrary.com/doi/10.12968/ijpn.2024.30.2.57
38814850,Br J Community Nurs,Unknown,2024,10.12968/bjcn.2024.29.Sup6.S4,https://www.magonlinelibrary.com/doi/10.12968/bjcn.2024.29.Sup6.S4
38701009,Br J Community Nurs,Unknown,2024,10.12968/bjcn.2024.29.5.204,https://www.magonlinelibrary.com/doi/10.12968/bjcn.2024.29.5.204
38808077,Br J Midwifery,Unknown,2023,10.12968/bjom.2023.31.8.436,https://www.magonlinelibrary.com/doi/10.12968/bjom.2023.31.8.436
24307764,Br J Midwifery,Unknown,2009,10.12968/bjom.2009.17.10.44470,https://www.magonlinelibrary.com/doi/10.12968/bjom.2009.17.10.44470
38815972,Br J Hosp Med (Lond),Unknown,2024,10.12968/hmed.2023.0387,https://www.magonlinelibrary.com/doi/10.12968/hmed.2023.0387
38815962,Br J Hosp Med (Lond),Unknown,2024,10.12968/hmed.2024.0066,https://www.magonlinelibrary.com/doi/10.12968/hmed.2024.0066
32133037,Int J Ther Rehabil,Unknown,2018,10.12968/ijtr.2018.25.8.395,https://www.magonlinelibrary.com/doi/10.12968/ijtr.2018.25.8.395
26929772,Int J Ther Rehabil,Unknown,2015,10.12968/ijtr.2015.22.11.517,https://www.magonlinelibrary.com/doi/10.12968/ijtr.2015.22.11.517
27066113,Afr J Midwifery Womens Health,Unknown,2014,10.12968/ajmw.2014.8.Sup2.4,https://www.magonlinelibrary.com/doi/10.12968/ajmw.2014.8.Sup2.4
26692907,Afr J Midwifery Womens Health,Unknown,2013,10.12968/ajmw.2013.7.2.98,https://www.magonlinelibrary.com/doi/10.12968/ajmw.2013.7.2.98
