PMID,Journal,publisher_guess,year,doi,doi_url
38786952,Membranes,Unknown,2024,10.3390/membranes14050101,https://www.mdpi.com/2077-0375/14/5/101
38392679,Membranes,Unknown,2024,10.3390/membranes14020052,https://www.mdpi.com/2077-0375/14/2/52
38804339,MPS,Unknown,2024,10.3390/mps7030045,https://www.mdpi.com/2409-9279/7/3/45
37888030,MPS,Unknown,2023,10.3390/mps6050098,https://www.mdpi.com/2409-9279/6/5/98
36157594,Environments,Unknown,2022,10.3390/environments9070077,https://www.mdpi.com/2076-3298/9/7/77
32982030,Environments,Unknown,2018,10.3390/environments5080091,https://www.mdpi.com/2076-3298/5/8/91
38698914,DNA,Unknown,2023,10.3390/dna3020005,https://www.mdpi.com/2673-8856/3/2/5
36911626,DNA,Unknown,2022,10.3390/dna2040016,https://www.mdpi.com/2673-8856/2/4/16
38792621,Life,Unknown,2024,10.3390/life14050600,https://www.mdpi.com/2075-1729/14/5/600
38790725,Antioxidants (Basel),Unknown,2024,10.3390/antiox13050620,https://www.mdpi.com/2076-3921/13/5/620
38790700,Antioxidants (Basel),Unknown,2024,10.3390/antiox13050595,https://www.mdpi.com/2076-3921/13/5/595
38891016,Foods,Unknown,2024,10.3390/foods13111686,https://www.mdpi.com/2304-8158/13/11/1686
38890978,Foods,Unknown,2024,10.3390/foods13111750,https://www.mdpi.com/2304-8158/13/11/1750
38786550,Medicines (Basel),Unknown,2024,10.3390/medicines11050011,https://www.mdpi.com/2305-6320/11/5/11
37505064,Medicines (Basel),Unknown,2023,10.3390/medicines10070043,https://www.mdpi.com/2305-6320/10/7/43
38787022,Tomography,Unknown,2024,10.3390/tomography10050062,https://www.mdpi.com/2379-139X/10/5/62
38276249,Tomography,Unknown,2023,10.3390/tomography10010001,https://www.mdpi.com/2379-139X/10/1/1
36081889,Agronomy (Basel),Unknown,2022,10.3390/agronomy12081884,https://www.mdpi.com/2073-4395/12/8/1884
33304637,Agronomy (Basel),Unknown,2017,10.3390/agronomy7010008,https://www.mdpi.com/2073-4395/7/1/8
38786721,J Fungi (Basel),Unknown,2024,10.3390/jof10050366,https://www.mdpi.com/2309-608X/10/5/366
