PMID,Journal,publisher_guess,year,doi,doi_url
27030825,J Microbiol Exp,Unknown,2015,10.15406/jmen.2015.02.00050,https://medcraveonline.com/JMEN/fulfilling-the-promise-of-microbiomics-to-revolutionize-medicine.html
27158681,J Stem Cell Res Ther (Edmond),Unknown,2016,10.15406/jsrt.2015.01.00007,https://medcraveonline.com/JSRT/preservation-of-epigenetic-memory-during-dna-replication.html
31360934,MOJ Proteom Bioinform,Unknown,2015,10.15406/mojpb.2015.02.00040,https://medcraveonline.com/MOJPB/altered-blood-proteome-in-girls-with-high-urine-concentrations-of-bisphenol-a-genistein-mono-ethyl-hexylphthalate-and-mono-benzyl-phthalate.html
25364778,Adv Ophthalmol Vis Syst,Unknown,2014,10.15406/aovs.2014.01.00007,https://medcraveonline.com/AOVS/synthesis-and-characterization-of-ganciclovir-long-chain-lipid-prodrugs.html
27331197,Biom Biostat Int J,Unknown,2016,10.15406/bbij.2016.03.00076,https://medcraveonline.com/BBIJ/on-bayesian-inference-with-complex-survey-data.html
26457336,Biom Biostat Int J,Unknown,2015,10.15406/bbij.2015.02.00029,https://medcraveonline.com/BBIJ/clinical-trial-laboratory-data-nested-with-in-subject-components-of-variance-sample-size-and-cost.html
25685851,MOJ Immunol,Unknown,2014,10.15406/moji.2014.01.00018,https://medcraveonline.com/MOJI/a-human-papillomavirus-type-16-e6-52-62-cd4-t-cell-epitope-restricted-by-the-hla-dr11-molecule-described-in-an-epitope-hotspot.html
34079927,Open Access J Transl Med Res,Unknown,2018,10.15406/oajtmr.2018.02.00043,https://medcraveonline.com/OAJTMR/review-of-serum-prolactin-levels-as-an-antipsychoticndashresponse-biomarker.html
28529970,Obstet Gynecol Int J,Unknown,2016,10.15406/ogij.2016.05.00180,https://medcraveonline.com/OGIJ/hiv-and-zika-in-pregnancy-parallel-stories-and-new-challenges.html
26709387,J Dent Health Oral Disord Ther,Unknown,2015,10.15406/jdhodt.2015.02.00039,https://medcraveonline.com/JDHODT/association-of-masseter-muscle-activities-during-awake-and-sleep-periods-with-self-reported-anxiety-depression-and-somatic-symptoms.html
36249577,J Dent Health Oral Disord Ther,Unknown,2015,10.15406/jdhodt.2015.02.00041,https://medcraveonline.com/JDHODT/need-for-primary-care-providers-to-carry-out-annual-oral-cancer-examinations.html
26858986,MOJ Orthop Rheumatol,Unknown,2015,10.15406/mojor.2015.02.00068,https://medcraveonline.com/MOJOR/the-use-of-low-level-laser-therapy-lllt-for-musculoskeletal-pain.html
31633035,Int J Complement Altern Med,Unknown,2016,10.15406/ijcam.2016.03.00070,https://medcraveonline.com/IJCAM/impact-of-mindfulness-based-eating-awareness-on-diet-and-exercise-habits-in-adolescents.html
34368440,Pharm Pharmacol Int J,Unknown,2019,10.15406/ppij.2019.07.00243,https://medcraveonline.com/PPIJ/a-novel-therapy-using-ghrelin-with-pegylated-g-csf-inhibits-brain-hemorrhage-from-ionizing-radiation-or-combined-radiation-injury.html
29888768,Pharm Pharmacol Int J,Unknown,2015,10.15406/ppij.2015.02.00023,https://medcraveonline.com/PPIJ/expression-of-glutaminase-and-vesicular-glutamate-transporter-type-2-immunoreactivity-in-rat-sacral-dorsal-root-ganglia-following-a-surgical-tail-incision.html
29984347,J Liver Res Disord Ther,Unknown,2018,10.15406/jlrdt.2018.04.00112,https://medcraveonline.com/JLRDT/the-implications-of-the-hypocitricemic-response-to-surgery-and-the-role-of-liver-function-and-hepatocyte-metabolism-an-important-but-neglected-clinical-relationship.html
34765722,J Cancer Prev Curr Res,Unknown,2020,10.15406/jcpcr.2020.11.00417,https://medcraveonline.com/JCPCR/novel-nbq-48-as-marker-of-hypoxic-cells-in-2d-and-3d-colon-cancer-cells.html
30906922,Int J Biosens Bioelectron,Unknown,2018,10.15406/ijbsbe.2018.04.00125,https://medcraveonline.com/IJBSBE/a-review-on-wearable-photoplethysmography-sensors-and-their-potential-future-applications-in-health-care.html
30918915,J Hum Virol Retrovirol,Unknown,2017,10.15406/jhvrv.2017.05.00151,https://medcraveonline.com/JHVRV/aerobic-exercise-improves-quality-of-life-and-cd4cell-counts-in-hiv-seropositives-in-nigeria.html
31773048,J Hum Virol Retrovirol,Unknown,2014,10.15406/jhvrv.2014.01.00003,https://medcraveonline.com/JHVRV/noncontiguous-protein-interaction-domains-in-osteopontin-contribute-to-enhance-hiv-1-replication.html
31435621,MOJ Sol Photoenergy Syst,Unknown,2017,10.15406/mojsp.2017.01.00009,https://medcraveonline.com/MOJSP/antimicrobial-blue-light-an-alternative-therapeutic-for-multidrug-resistant-gonococcal-infections.html
33889793,J Anal Pharm Res,Unknown,2021,10.15406/japlr.2021.10.00364,https://medcraveonline.com/JAPLR/homology-modeling-and-global-computational-mutagenesis-of-human-myosin-viia.html
31544148,Gastroenterol Hepatol (Bartlesville),Unknown,2017,10.15406/ghoa.2017.08.00279,https://medcraveonline.com/GHOA/thermophilic-campylobacter---neglected-foodborne-pathogens-in-cambodia-laos-and-vietnam.html
37168722,J Anesth Crit Care,Unknown,2016,10.15406/jaccoa.2016.04.00149,https://medcraveonline.com/JACCOA/catastrophic-arterial-thrombosis-in-an-infant-undergoing-neuroblastoma-resection.html
28936482,MOJ Toxicol,Unknown,2017,10.15406/mojt.2017.03.00059,https://medcraveonline.com/MOJT/menopause-and-ischemic-stroke-a-brief-review.html
29333525,Int Clin Pathol J,Unknown,2017,10.15406/icpjl.2017.04.00098,https://medcraveonline.com/ICPJL/dyslipidemia-and-its-correlates-among-hiv-infected-children-on-haart-attending-mbarara-regional-referral-hospital.html
30417104,J Nanomed Res,Unknown,2017,10.15406/jnmr.2017.06.00160,https://medcraveonline.com/JNMR/luminescent-probe-based-techniques-for-hypoxia-imaging.html
31404422,J Diabetes Metab Disord Control,Unknown,2018,10.15406/jdmdc.2018.05.00148,https://medcraveonline.com/JDMDC/importance-of-fasting-blood-glucose-goals-in-the-management-of-type-2-diabetes-mellitus-a-review-of-the-literature-and-a-critical-appraisal.html
