PMID,Journal,publisher_guess,year,doi,doi_url
38881024,Zh Vopr Neirokhir Im N N Burdenko,Unknown,2024,10.17116/neiro202488031111,https://www.mediasphera.ru/issues/zhurnal-voprosy-nejrokhirurgii-imeni-n-n-burdenko/2024/3/1004288172024031111
38881018,Zh Vopr Neirokhir Im N N Burdenko,Unknown,2024,10.17116/neiro20248803165,https://www.mediasphera.ru/issues/zhurnal-voprosy-nejrokhirurgii-imeni-n-n-burdenko/2024/3/1004288172024031065
38881009,Arkh Patol,Unknown,2024,10.17116/patol20248603174,https://www.mediasphera.ru/issues/arkhiv-patologii/2024/3/1000419552024031074
38888026,Khirurgiia (Mosk),Unknown,2024,10.17116/hirurgia2024061100,https://www.mediasphera.ru/issues/khirurgiya-zhurnal-im-n-i-pirogova/2024/6/1002312072024061100
38904563,Stomatologiia (Mosk),Unknown,2024,10.17116/stomat202410303167,https://www.mediasphera.ru/issues/stomatologiya/2024/3/1003917352024031067
38904557,Stomatologiia (Mosk),Unknown,2024,10.17116/stomat202410303131,https://www.mediasphera.ru/issues/stomatologiya/2024/3/1003917352024031031
38887074,Sud Med Ekspert,Unknown,2024,10.17116/sudmed20246703160,https://www.mediasphera.ru/issues/sudebno-meditsinskaya-ekspertiza/2024/3/1003945212024031060
38742508,Vestn Oftalmol,Unknown,2024,10.17116/oftalma2024140021121,https://www.mediasphera.ru/issues/vestnik-oftalmologii/2024/2/10042465X2024021121
38739133,Vestn Oftalmol,Unknown,2024,10.17116/oftalma202414002268,https://www.mediasphera.ru/issues/vestnik-oftalmologii/2024/2-2/10042465X2024022068
38805473,Vestn Otorinolaringol,Unknown,2024,10.17116/otorino202489021109,https://www.mediasphera.ru/issues/vestnik-otorinolaringologii/2024/2/1004246682024021109
38639153,Vopr Kurortol Fizioter Lech Fiz Kult,Unknown,2024,10.17116/kurort202410102164,https://www.mediasphera.ru/issues/voprosy-kurortologii-fizioterapii-i-lechebnoj-fizicheskoj-kultury/2024/2/1004287872024021064
