PMID,Journal,publisher_guess,year,doi,doi_url
38912830,Acta Oncol,Unknown,2024,10.2340/1651-226X.2024.39041,https://medicaljournalssweden.se/actaoncologica/article/view/39041
38415848,Acta Oncol,Unknown,2024,10.2340/1651-226X.2024.23964,https://medicaljournalssweden.se/actaoncologica/article/view/23964
24061450,J Rehabil Med Suppl,Unknown,2011,10.2340/16501977-0852,https://medicaljournalssweden.se/jrm/article/view/16114
38769788,J Plast Surg Hand Surg,Unknown,2024,10.2340/jphs.v59.18338,https://medicaljournalssweden.se/JPHS/article/view/18338
37787403,J Plast Surg Hand Surg,Unknown,2023,10.2340/jphs.v58.18306,https://medicaljournalssweden.se/JPHS/article/view/18306
38896113,Scand J Urol,Unknown,2024,10.2340/sju.v59.25973,https://medicaljournalssweden.se/SJU/article/view/25973
35766197,Scand J Urol,Unknown,2022,10.1080/21681805.2022.2090602,https://medicaljournalssweden.se/SJU/article/view/11904
38903777,Biomater Investig Dent,Unknown,2024,10.2340/biid.v11.40863,https://medicaljournalssweden.se/biid/article/view/40863
38915294,J Rehabil Med,Unknown,2024,10.2340/jrm.v56.40559,https://medicaljournalssweden.se/jrm/article/view/40559
37853923,J Rehabil Med,Unknown,2023,10.2340/jrm.v55.6486,https://medicaljournalssweden.se/jrm/article/view/6486
38899442,Acta Derm Venereol,Unknown,2024,10.2340/actadv.v104.40669,https://medicaljournalssweden.se/actadv/article/view/40669
38348724,Acta Derm Venereol,Unknown,2024,10.2340/actadv.v104.13467,https://medicaljournalssweden.se/actadv/article/view/13467
38899384,Acta Odontol Scand,Unknown,2024,10.2340/aos.v83.40955,https://medicaljournalssweden.se/actaodontologica/article/view/40955
