PMID,Journal,publisher_guess,year,doi,doi_url
17132041,Ment Retard,Unknown,2006,10.1352/0047-6765(2006)44[450:TROPTE]2.0.CO;2,https://meridian.allenpress.com/idd/article/44/6/450/8602/Twenty-Year-Retrospective-on-Proposals-to
15882083,Ment Retard,Unknown,2005,10.1352/0047-6765(2005)43[213:PPOI]2.0.CO;2,https://meridian.allenpress.com/idd/article/43/3/213/8684/Parents-Perspectives-on-Institutions
38807325,Oper Dent,Unknown,2024,10.2341/1559-2863-49-3-364a,https://meridian.allenpress.com/operative-dentistry/article/49/3/364/500969/ERRATA
37721110,Oper Dent,Unknown,2023,10.2341/23-010-L,https://meridian.allenpress.com/operative-dentistry/article/48/5/564/495743/Bleaching-Gels-Used-After-1-Week-of-Mixing
38885492,J Am Anim Hosp Assoc,Unknown,2024,10.5326/JAAHA-MS-7444,https://meridian.allenpress.com/jaaha/article/60/4/131/501375/2024-AAHA-Fluid-Therapy-Guidelines-for-Dogs-and
35793489,J Am Anim Hosp Assoc,Unknown,2022,10.5326/JAAHA-MS-7230,https://meridian.allenpress.com/jaaha/article/58/4/180/483623/Complete-Blood-Counts-and-Blood-Smear-Analyses-in
17969265,Earth Sci Hist,Unknown,2001,10.17704/eshi.20.1.q7643x2308728m56,https://meridian.allenpress.com/esh/article/20/1/14/204856/German-Women-Paleobotanists-From-the-1920S-to-the
17966574,Earth Sci Hist,Unknown,2001,10.17704/eshi.20.2.97jm433t7020456r,https://meridian.allenpress.com/esh/article/20/2/178/204875/Boris-V-Timofeyev-19161982-Pioneer-of-Precambrian
19127658,Am J Ment Retard,Unknown,2008,10.1352/2008.113:479-494,https://meridian.allenpress.com/ajidd/article/113/6/479/1042/Peer-Interactions-and-Academic-Engagement-of-Youth
16792426,Am J Ment Retard,Unknown,2006,10.1352/0895-8017(2006)111[229:BEOEEA]2.0.CO;2,https://meridian.allenpress.com/ajidd/article/111/4/229/966/Bidirectional-Effects-of-Expressed-Emotion-and
20258890,Appl Anthropol,Unknown,1947,10.17730/humo.6.2.q6114010757w80t0,https://meridian.allenpress.com/human-organization/article/6/2/14/71942/Delineation-and-Analysis-of-The-Rural-Urban-Fringe
21011713,Appl Anthropol,Unknown,1945,10.17730/humo.4.3.c20780726w467473,https://meridian.allenpress.com/human-organization/article/4/3/1/71454/Governing-the-Occupied-Areas-of-the-South-Pacific
38657965,Am J Intellect Dev Disabil,Unknown,2024,10.1352/1944-7558-129.3.199,https://meridian.allenpress.com/ajidd/article/129/3/199/499958/The-Behavioral-Profile-of-SYNGAP1-Related
35180779,Am J Intellect Dev Disabil,Unknown,2022,10.1352/1944-7558-127.2.149,https://meridian.allenpress.com/ajidd/article/127/2/149/478041/Randomized-Behavioral-Sleep-Clinical-Trial-to
25360056,Am Indian Cult Res J,Unknown,2014,10.17953/aicr.38.1.ek0q45l285811pv9,https://meridian.allenpress.com/aicrj/article/38/1/101/211527/Preventing-Cardiovascular-Disease-in-Native
27587904,Am Arch,Unknown,2016,10.17723/0360-9081.79.1.82,https://meridian.allenpress.com/doi/10.17723/0360-9081.79.1.82
11609617,Am Arch,Unknown,1971,10.17723/aarc.34.1.7307136552558342,https://meridian.allenpress.com/american-archivist/article/34/1/13/22616/The-Archives-of-the-History-of-American-Psychology
19756223,Harv Educ Rev,Unknown,2008,10.17763/haer.78.1.54468j6204x24157,https://meridian.allenpress.com/her/article/78/1/107/31944/The-Complex-World-of-Adolescent-Literacy-Myths
11614528,Harv Educ Rev,Unknown,1979,10.17763/haer.49.4.3220j044453t6509,https://meridian.allenpress.com/her/article/49/4/447/31103/The-Rediscovery-of-the-Need-for-a-Feminist-Medical
38802091,J Insur Med,Unknown,2024,10.17849/insm-51-1-8-16.1,https://meridian.allenpress.com/jim/article/51/1/8/500925/Mortality-Risk-of-Low-BMI-in-Life-Insurance
27562109,J Insur Med,Unknown,2016,10.17849/0743-6661-46.1.20,https://meridian.allenpress.com/jim/article/46/1/20/131432/Regular-Expressions-The-Build-Study-Vignette
38845377,Tex Heart Inst J,Unknown,2024,10.14503/THIJ-24-8451,https://meridian.allenpress.com/thij/article/51/1/e248451/501106/Reply-to-Correlation-Between-Right-Ventricular
38452332,Tex Heart Inst J,Unknown,2024,10.14503/THIJ-23-8277,https://meridian.allenpress.com/thij/article/51/1/e238277/499318/Successful-Suture-Free-Repair-of-Left-Ventricular
38854791,Ethn Dis,Unknown,2024,10.18865/ed.34.1.25,https://meridian.allenpress.com/ethnicity-disease/article/34/1/25/500930/Racial-Disparities-in-Health-Care-Use-in
38916039,J Oral Implantol,Unknown,2024,10.1563/aaid-joi-D-24-00003,https://meridian.allenpress.com/joi/article/doi/10.1563/aaid-joi-D-24-00003/501532/Effect-of-Implant-Maintenance-on-Incidence-of-Peri
38312064,J Oral Implantol,Unknown,2024,10.1563/aaid-joi-D-23-00148R2,https://meridian.allenpress.com/joi/article/doi/10.1563/aaid-joi-D-23-00148R2/498827/IMPLANT-SURVIVAL-IN-RENAL-TRANSPLANTED-PATIENTS-A
