PMID,Journal,publisher_guess,year,doi,doi_url
38913413,Microb Genom,Unknown,2024,10.1099/mgen.0.001262,https://www.microbiologyresearch.org/content/journal/mgen/10.1099/mgen.0.001262
38358325,Microb Genom,Unknown,2024,10.1099/mgen.0.001188,https://www.microbiologyresearch.org/content/journal/mgen/10.1099/mgen.0.001188
38913407,Microbiology (Reading),Unknown,2024,10.1099/mic.0.001472,https://www.microbiologyresearch.org/content/journal/micro/10.1099/mic.0.001472
38535895,Microbiology (Reading),Unknown,2024,10.1099/mic.0.001451,https://www.microbiologyresearch.org/content/journal/micro/10.1099/mic.0.001451
10555379,Int J Syst Bacteriol,Unknown,1999,10.1099/00207713-49-4-1939,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-49-4-1939
10425781,Int J Syst Bacteriol,Unknown,1999,10.1099/00207713-49-3-1211,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-49-3-1211
30886723,JMM Case Rep,Unknown,2019,10.1099/jmmcr.0.005175,https://www.microbiologyresearch.org/content/journal/jmmcr/10.1099/jmmcr.0.005175
29188070,JMM Case Rep,Unknown,2017,10.1099/jmmcr.0.005123,https://www.microbiologyresearch.org/content/journal/jmmcr/10.1099/jmmcr.0.005123
38913036,Int J Syst Evol Microbiol,Unknown,2024,10.1099/ijsem.0.006438,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.006438
38833293,Int J Syst Evol Microbiol,Unknown,2024,10.1099/ijsem.0.006409,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.006409
8126444,J Gen Microbiol,Unknown,1993,10.1099/00221287-139-12-3265,https://www.microbiologyresearch.org/content/journal/micro/10.1099/00221287-139-12-3265
8126417,J Gen Microbiol,Unknown,1993,10.1099/00221287-139-12-2891,https://www.microbiologyresearch.org/content/journal/micro/10.1099/00221287-139-12-2891
38888587,J Gen Virol,Unknown,2024,10.1099/jgv.0.002004,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/jgv.0.002004
38299799,J Gen Virol,Unknown,2024,10.1099/jgv.0.001954,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/jgv.0.001954
38865187,J Med Microbiol,Unknown,2024,10.1099/jmm.0.001834,https://www.microbiologyresearch.org/content/journal/jmm/10.1099/jmm.0.001834
38440953,J Med Microbiol,Unknown,2024,10.1099/jmm.0.001811,https://www.microbiologyresearch.org/content/journal/jmm/10.1099/jmm.0.001811
38873578,Access Microbiol,Unknown,2024,10.1099/acmi.0.000843,https://www.microbiologyresearch.org/content/journal/acmi/10.1099/acmi.0.000843
38074107,Access Microbiol,Unknown,2023,10.1099/acmi.0.000612.v3,https://www.microbiologyresearch.org/content/journal/acmi/10.1099/acmi.0.000612.v3
