PMID,Journal,publisher_guess,year,doi,doi_url
38873785,Minerva Anestesiol,Unknown,2024,10.23736/S0375-9393.24.18224-7,https://www.minervamedica.it/en/journals/minerva-anestesiologica/article.php?cod=R02Y9999N00A24061404
38059747,Minerva Anestesiol,Unknown,2024,10.23736/S0375-9393.23.17858-8,https://www.minervamedica.it/en/journals/minerva-anestesiologica/article.php?cod=R02Y2024N01A0006
33302610,Minerva Cardioangiol,Unknown,2020,10.23736/S0026-4725.20.05559-0,https://www.minervamedica.it/en/journals/minerva-cardiology-angiology/article.php?cod=R05Y2020N06A0599
32524809,Minerva Cardioangiol,Unknown,2020,10.23736/S0026-4725.20.05258-5,https://www.minervamedica.it/alert.php
33345528,Minerva Chir,Unknown,2020,10.23736/S0026-4733.20.08367-4,https://www.minervamedica.it/alert.php
33006452,Minerva Chir,Unknown,2020,10.23736/S0026-4733.20.08598-3,https://www.minervamedica.it/alert.php
33410312,Minerva Ginecol,Unknown,2020,10.23736/S0026-4784.20.04587-6,https://www.minervamedica.it/alert.php
32403917,Minerva Ginecol,Unknown,2020,10.23736/S0026-4784.20.04569-4,https://www.minervamedica.it/alert.php
38899946,Minerva Med,Unknown,2024,10.23736/S0026-4806.24.09070-0,https://www.minervamedica.it/alert.php
38319617,Minerva Med,Unknown,2024,10.23736/S0026-4806.24.09105-5,https://www.minervamedica.it/alert.php
33438857,Minerva Pediatr,Unknown,2021,10.23736/S0026-4946.20.06177-0,https://www.minervamedica.it/alert.php
30299021,Minerva Pediatr,Unknown,2019,10.23736/S0026-4946.18.05144-7,https://www.minervamedica.it/alert.php
33393276,Minerva Stomatol,Unknown,2020,10.23736/S0026-4970.20.04358-7,https://www.minervamedica.it/alert.php
32698567,Minerva Stomatol,Unknown,2020,10.23736/S0026-4970.20.04389-7,https://www.minervamedica.it/alert.php
38903043,Panminerva Med,Unknown,2024,10.23736/S0031-0808.24.05184-X,https://www.minervamedica.it/alert.php
38407013,Panminerva Med,Unknown,2024,10.23736/S0031-0808.24.05092-4,https://www.minervamedica.it/alert.php
33443240,Minerva Gastroenterol Dietol,Unknown,2020,10.23736/S1121-421X.20.02738-5,https://www.minervamedica.it/en/journals/gastroenterology/article.php?cod=R08Y2020N04A0307
32162895,Minerva Gastroenterol Dietol,Unknown,2020,10.23736/S1121-421X.20.02614-8,https://www.minervamedica.it/en/journals/gastroenterology/article.php?cod=R08Y2020N01A0041
38814253,J Neurosurg Sci,Unknown,2024,10.23736/S0390-5616.24.06221-0,https://www.minervamedica.it/en/journals/neurosurgical-sciences/article.php?cod=R38Y9999N00A24053001
37184633,J Neurosurg Sci,Unknown,2024,10.23736/S0390-5616.23.06028-9,https://www.minervamedica.it/en/journals/neurosurgical-sciences/article.php?cod=R38Y2024N02A0225
38916094,J Sports Med Phys Fitness,Unknown,2024,10.23736/S0022-4707.24.15407-2,https://www.minervamedica.it/en/journals/sports-med-physical-fitness/article.php?cod=R40Y2024N07A0707
38916086,J Sports Med Phys Fitness,Unknown,2024,10.23736/S0022-4707.24.15653-8,https://www.minervamedica.it/en/journals/sports-med-physical-fitness/article.php?cod=R40Y2024N07A0631
33263367,Minerva Urol Nefrol,Unknown,2020,10.23736/S0393-2249.20.04018-7,https://www.minervamedica.it/alert.php
32432437,Minerva Urol Nefrol,Unknown,2020,10.23736/S0393-2249.20.03921-1,https://www.minervamedica.it/index2.php?show=R19Y2020N06A0647
33645941,G Ital Dermatol Venereol,Unknown,2020,10.23736/S0392-0488.21.06997-2,https://www.minervamedica.it/en/journals/Ital-J-Dermatol-Venereol/article.php?cod=R23Y2020N06A0809
32394675,G Ital Dermatol Venereol,Unknown,2020,10.23736/S0392-0488.16.05156-7,https://www.minervamedica.it/en/journals/Ital-J-Dermatol-Venereol/article.php?cod=R23Y2020N02A0223
38896089,J Cardiovasc Surg (Torino),Unknown,2024,10.23736/S0021-9509.24.13098-4,https://www.minervamedica.it/en/journals/cardiovascular-surgery/article.php?cod=R37Y9999N00A24061901
38618697,J Cardiovasc Surg (Torino),Unknown,2024,10.23736/S0021-9509.24.12977-1,https://www.minervamedica.it/en/journals/cardiovascular-surgery/article.php?cod=R37Y9999N00A24041502
38903009,Eur J Phys Rehabil Med,Unknown,2024,10.23736/S1973-9087.24.08207-8,https://www.minervamedica.it/en/journals/europa-medicophysica/article.php?cod=R33Y9999N00A24062001
37737049,Eur J Phys Rehabil Med,Unknown,2023,10.23736/S1973-9087.23.07940-6,https://www.minervamedica.it/en/journals/europa-medicophysica/article.php?cod=R33Y2023N06A0724
31080345,Esper Dermatol,Unknown,2018,10.23736/S1128-9155.18.00455-7,https://www.minervamedica.it/en/journals/esperienze-dermatologiche/article.php?cod=R50Y2018S01A0012
31760739,Minerva Gastroenterol,Unknown,2019,10.23736/S1121-421X.19.02638-2,https://www.minervamedica.it/en/journals/gastroenterology/article.php?cod=R08Y2019N04A0335
38860276,Q J Nucl Med Mol Imaging,Unknown,2024,10.23736/S1824-4785.24.03519-2,https://www.minervamedica.it/en/journals/nuclear-med-molecular-imaging/article.php?cod=R39Y2024N02A0152
38319674,Q J Nucl Med Mol Imaging,Unknown,2024,10.23736/S1824-4785.24.03552-0,https://www.minervamedica.it/en/journals/nuclear-med-molecular-imaging/article.php?cod=R39Y2024N01A0040
