PMID,Journal,publisher_guess,year,doi,doi_url
22175088,World Polit,Unknown,2011,10.1017/s0043887111000177,https://muse.jhu.edu/article/453497
21591305,World Polit,Unknown,2011,10.1017/s0043887110000274,https://muse.jhu.edu/article/418632
27652390,Southwest Hist Q,Unknown,2012,10.1353/swh.2012.0001,https://muse.jhu.edu/article/462365
21574284,Southwest Hist Q,Unknown,2011,10.1353/swh.2011.0016,https://muse.jhu.edu/article/416848
31231139,Histoire Soc,Unknown,2019,10.1353/his.2019.0005,https://muse.jhu.edu/article/725841
22145177,Histoire Soc,Unknown,2011,10.1353/his.2011.0010,https://muse.jhu.edu/article/448845
11652192,Thomist,Unknown,1992,10.1353/tho.1992.0044,https://muse.jhu.edu/article/637741
11652585,Thomist,Unknown,1990,10.1353/tho.1990.0000,https://muse.jhu.edu/article/637795
21574286,Stud Eighteenth Cent Cult,Unknown,2011,10.1353/sec.2011.0000,https://muse.jhu.edu/article/415598
22213893,Stud Engl Lit,Unknown,2011,10.1353/sel.2011.0039,https://muse.jhu.edu/article/458181
22069796,Cathol Hist Rev,Unknown,2011,10.1353/cat.2011.0098,https://muse.jhu.edu/article/443939
37034425,Lit Med,Unknown,2022,10.1353/lm.2022.0030,https://muse.jhu.edu/article/884969
35848303,Lit Med,Unknown,2022,10.1353/lm.2022.0017,https://muse.jhu.edu/article/860042
38828605,Perspect Biol Med,Unknown,2024,10.1353/pbm.2024.a929024,https://muse.jhu.edu/article/929024
38661935,Perspect Biol Med,Unknown,2023,10.1353/pbm.2023.a902034,https://muse.jhu.edu/article/902034
35493703,J South Hist,Unknown,2021,10.1353/soh.2021.0122,https://muse.jhu.edu/article/840046
24790391,J Womens Hist,Unknown,2014,10.1353/jowh.2014.0008,https://muse.jhu.edu/article/540496
17619289,J Womens Hist,Unknown,2001,10.1353/jowh.2001.0012,https://muse.jhu.edu/article/17344
20836274,James Joyce Q,Unknown,2008,10.1353/jjq.2008.0054,https://muse.jhu.edu/article/393116
20836273,James Joyce Q,Unknown,2008,10.1353/jjq.2008.0032,https://muse.jhu.edu/article/393117
21961190,Jew Q Rev,Unknown,2011,10.1353/jqr.2011.0009,https://muse.jhu.edu/article/430060
