PMID,Journal,publisher_guess,year,doi,doi_url
11636257,West Folk,,1985,,
11635870,Riv Estet,,1966,,
17228501,Riv Filol Istruz Classica,,1997,,
11635871,Riv Filol Istruz Classica,,1976,,
11635875,Riv Filos,,1982,,
11633054,Riv Filos,,1976,,
11633057,Riv Int Sci Sociali,,1973,,
11663821,West Hum Rev,,1976,,
11636259,West Hum Rev,,1976,,
11633059,Riv Maritt,,1975,,
11633060,Riv Meteorol Aeronaut,,1973,,
11618282,West Ill Reg Stud,,1986,,
11636260,West Ill Reg Stud,,1982,,
11678099,West Pa Hist Mag,,1985,,
11618283,West Pa Hist Mag,,1985,,
11633063,Riv Psicol Soc Arch Ital Psicol Gen,,1968,,
11652627,West Polit Q,,1992,,
11663893,West Polit Q,,1978,,
11618287,West States Jew Hist,,1989,,
11639037,Riv Rosmin Filos Cult,,1975,,
11635882,Riv Stor Calabr,,1983,,
11618290,West States Jew Hist Q,,1987,,
11633573,West States Jew Hist Q,,1981,,
11637026,Riv Stor Chiesa Ital,,1987,,
11635885,Riv Stor Filos,,1985,,
11635884,Riv Stor Filos,,1984,,
18841609,Riv Stor Ital,,2001,,
11633066,Riv Stor Ital,,1976,,
11635889,Riv Studi Class,,1976,,
11636837,Riv Studi Class,,1968,,
11633070,Riv Studi Orient,,1972,,
11633579,Wet Tijd,,1978,,
11633577,Wet Tijd,,1974,,
11633072,Rocky Mt Soc Sci J,,1974,,
11633073,Rocz Filoz,,1967,,
22624186,Wien Beitr Gesch Neuzeit,,1999,,
22624185,Wien Beitr Gesch Neuzeit,,1999,,
11635890,Rocz Humanist,,1983,,
11636271,Wien Geschichtsbl,,1987,,
11636269,Wien Geschichtsbl,,1983,,
11633074,Rom Hist Mitt,,1981,,
11633583,Wien Z Kunde Morgenl,,1976,,
11633075,Roman Notes,,1975,,
18536141,William Mary Q,,2001,,
18623915,Romantisme,,2001,,
18574920,Romantisme,,2001,,
11636838,Rostrum,,1981,,
11635900,Rural Afr,,1981,,
17672031,Wis Mag Hist,,2000,,
19198054,S Afr Hist J,,2001,,
11636354,Wiss Z Ernst Moritz Arndt Univ Ges Sprachwiss,,1984,,
11636351,Wiss Z Ernst Moritz Arndt Univ Ges Sprachwiss,,1982,,
11633349,S C Hist Illus,,1970,,
11618079,S D Hist Collect,,1982,,
11633597,Wolfenbutteler Renaiss Mitt,,1980,,
22276333,SECOLAS Ann,,1999,,
17269201,Saalburg Jahrb,,1998,,
11635910,Saeculum,,1986,,
11633106,Saeculum,,1974,,
11618309,Womens Annu,,1981,,
11645827,Sage,,1985,,
11618082,Sage,,1985,,
11675768,Saisons Alsace,,1971,,
11633606,Work Pap Mag,,1982,,
11633605,Work Pap Mag,,1982,,
11633609,Work Pap New Soc,,1980,,
11633612,Wythe Cty Hist Rev,,1975,,
11636870,Wythe Cty Hist Rev,,1974,,
11636286,Xaloc,,1980,,
11636285,Xaloc,,1972,,
18985961,Yale Univ Libr Gaz,,2001,,
18683346,Yale Univ Libr Gaz,,2001,,
11633430,Rev Univ Ottawa,,1982,,
11636146,Rev Univ Ottawa,,1981,,
17111506,S C Hist Mag,,2000,,
11618078,S C Hist Mag,,1985,,
22568259,Yad Vashem Stud Eur Jew Catastrophe Resist,,1999,,
11633675,Yad Vashem Stud Eur Jew Catastrophe Resist,,1979,,
11633543,Warwickshire Hist,,1978,,
11633542,Warwickshire Hist,,1971,,
17078197,West Hist Q,,2001,,
11633560,West Hist Q,,1976,,
11635881,Riv Mil,,1983,,
11633062,Riv Mil,,1973,,
17424670,Yearb Ger Am Stud,,2002,,
11618322,Yearb Ger Am Stud,,1989,,
11633666,Oudheidkd Meded Rijksmus Oudheiden Leiden,,1970,,
11633120,Sb Arch Pr,,1981,,
11633623,Z Bayer Landesgesch,,1980,,
11633622,Z Bayer Landesgesch,,1980,,
11618326,Z Gesch Arab Islam Wiss,,1986,,
11633137,Schaffhauser Beitr Vaterl Gesch,,1979,,
11636189,Veltro,,1984,,
11638788,Veltro,,1982,,
18800425,Vestn Mosk Univ Ser 8 Istor,,2001,,
22570904,Vestn Mosk Univ Ser 8 Istor,,1999,,
11632596,New South,,1971,,
11615009,New South,,1969,,
11617819,Niger Mag,,1986,,
11632637,Overijssel,,1965,,
17644860,Atlantis (Montr),,2001,,
11636339,Atti Mem Deput Stor Patria Antiche Prov Modenesi,,1971,,
11633107,Salisbury Med Bull,,1973,,
11633109,Salisbury Med Bull,,1971,,
11633617,Yearb Popul Res Finl,,1979,,
11618085,Salmagundi,,1987,,
11636294,Yod,,1987,,
11635918,Samtiden,,1986,,
11635912,Samtiden,,1973,,
11633618,York State Trad,,1972,,
11633116,San Jose Stud,,1982,,
11633115,San Jose Stud,,1982,,
11633117,Santiago,,1974,,
11633619,Z Aachener Geschichtsver,,1976,,
11633118,Sapienza,,1981,,
17607874,Sask Hist,,2000,,
11618086,Sask Hist,,1985,,
11633121,Sb Nar Muz Pr Rada C Lit Hist,,1980,,
21213915,Z Bevolkerungswiss,,1981,,
11633624,Z Bevolkerungswiss,,1976,,
11635921,Sb Nar Muz Praze Rada A Hist,,1977,,
11633628,Z Dtsch Altert Dtsch Lit,,1980,,
11636302,Z Dtsch Altert Dtsch Lit,,1979,,
11618323,Z Dtsch Morgenl Ges,,1985,,
11633629,Z Dtsch Morgenl Ges,,1975,,
11633133,Scand Popul Stud,,1979,,
11633129,Scand Popul Stud,,1979,,
11618325,Z Fr Spr Lit,,1987,,
11633631,Z Ges Schleswig Holstein Gesch,,1982,,
18200752,Scandia,,2001,,
11635925,Sch Sci Rev,,1965,,
18434988,Z Geschichtswiss,,2001,,
22590755,Z Geschichtswiss,,1999,,
11633138,Scheidewege,,1980,,
11636303,Z Heereskd,,1982,,
11635927,Schiff Zeit,,1981,,
11633139,Schiff Zeit,,1973,,
18841599,Z Hist Forsch,,2001,,
18700303,Z Hist Forsch,,2001,,
11633140,Schr Gesch Kult Alten Orients,,1977,,
11636304,Z Hist Ver Schwaben Neuburg,,1969,,
11635929,Schweiz Monatsh,,1985,,
11636306,Z Hist Ver Steiermark,,1983,,
11633633,Z Hist Ver Steiermark,,1979,,
11636308,Z Kirchengesch,,1979,,
18958950,Z Kunstgesch,,2001,,
18268822,Z Kunstgesch,,2001,,
11635936,Sci Avenir,,1984,,
11635935,Sci Avenir,,1980,,
17219712,Z Papyrologie Epigraphik,,1997,,
11633637,Z Papyrologie Epigraphik,,1977,,
11618327,Z Philos Forsch,,1977,,
18277441,Sci Tech Perspect,,2000,,
22256395,Sci Tech Perspect,,1999,,
11636312,Z Pola Walki,,1982,,
11633148,Scott Edu Rev,,1978,,
11636313,Z Polit,,1981,,
11636873,Z Relig Geistesgesch,,1983,,
11635944,Scr Minora,,1973,,
11636314,Z Savigny Stift Rechtsgesch Ger Abt,,1987,,
11636316,Z Ver Lubeck Gesch Altertumskd,,1966,,
18623916,Z Wurttemb Landesgesch,,2001,,
17352047,Z Wurttemb Landesgesch,,2002,,
11633648,Zaragoza,,1974,,
22276326,Sefarad,,1999,,
22272422,Sefarad,,1999,,
11633150,Senckenb Biol,,1967,,
11633152,Senefiance,,1980,,
11633151,Senefiance,,1980,,
11635947,Ser Filol Ros,,1987,,
11636320,Zb Istor,,1983,,
21213916,Zb Istor,,1978,,
17228488,Zb Zgodovino Naravoslovja Teh,,2002,,
11636328,Zb Zgodovino Naravoslovja Teh,,1987,,
18456964,Zeitgesch,,2001,,
22586737,Zeitgesch,,1999,,
11636331,Zentralasiat Stud,,1980,,
18610512,Shakai Keizai Shigaku,,2001,,
22292175,Shakai Keizai Shigaku,,1999,,
18846720,Zest Hist,,2001,,
11635950,Shakespeare Stud,,1983,,
11675752,Zinbun,,1982,,
18572492,Zion,,2001,,
18524064,Zion,,2001,,
11636457,Ziva Antika,,1971,,
11635952,Shiso,,1982,,
19317022,Shvut,,2000,,
19317021,Shvut,,2000,,
11636335,Zur Taschenb,,1969,,
17214038,Zwingliana,,2002,,
11618106,Simon Wiesenthal Cent Annu,,1985,,
11636244,VDI Ber,,1986,,
17896451,Va Cavalcade,,2000,,
11636168,Va Cavalcade,,1972,,
12718304,Va Law Rev,,2000,,
11618246,Va Mag Hist Biogr,,1988,,
11618249,Va Q Rev,,1988,,
11636186,Va Q Rev,,1979,,
11636190,Verh Zool Bot Ges Wien,,1976,,
11636192,Versl Meded K Viaam Acad Taal Lett,,1975,,
11633465,Versl Meded K Viaam Acad Taal Lett,,1973,,
11633470,Vestn Drevnej Istor (Moskva),,1974,,
18163286,Schweiz Z Gesch,,2001,,
13528950,Schweiz Z Gesch,,1957,,
11633647,Z Savigny Stift Rechtsgesch Kanon Abt,,1967,,
18437766,Sb Pr Filos Fak Brnenske Univ Rada Hist,,2001,,
17216885,Sb Pr Filos Fak Brnenske Univ Rada Hist,,2002,,
11632676,Penelope,,1983,,
11632689,Penelope,,1981,,
11632745,Ponte,,1972,,
17269197,Viator,,1982,,
11633486,Vic Hist J,,1980,,
16805039,Tenn Hist Q,,2002,,
18277450,Tel Aviver Jahrb Dtsch Gesch,,2000,,
18551793,Technikgeschichte,,2001,,
17824134,Technikgeschichte,,2001,,
11633160,Singap Libr,,1975,,
11636875,Sitzungsber Heidelb Akad Wiss Math Naturwiss Kl,,1982,,
19035025,Sixt Century J,,2001,,
11633163,Slaski Kwat Hist Sabotka,,1979,,
22462205,Slav East Eur Rev,,1999,,
11635957,Slav East Eur Rev,,1979,,
18727221,Slavic Rev,,2001,,
11633169,Slavic Rev,,1981,,
11635960,Slov Arch,,1987,,
17310548,Slov Prehl,,2002,,
19115540,Soc Malawi J,,2002,,
19115539,Soc Malawi J,,2002,,
22933827,Soc Sci Hist,Unknown,2009,10.1215/01455532-2009-007,
18846719,Soc Stor,,2001,,
22416314,Soc Stor,,1999,,
11633207,Societas,,1978,,
11633204,Societas,,1975,,
11618195,Sociol Anal,,1986,,
11633208,Sociol Anal,,1979,,
17328152,Rendezvous (Buffalo),,2002,,
11635986,Sotahist Aikak,,1982,,
11635990,Sotsiol Issled,,1986,,
11635988,Sotsiol Issled,,1985,,
11636567,Vet Med Nachr,,1968,,
11633218,South Atl Q,,1981,,
11618252,Vic Hist Mag,,1974,,
37928339,South Calif Law Rev,,2022,,
11661666,South Calif Law Rev,,1978,,
11618253,Vic Newsl,,1966,,
11618255,Vic Period Newsl,,1978,,
11618158,South Expos,,1985,,
11633228,South Expos,,1978,,
11615177,South Folk Q,,1977,,
11624728,South Folk Q,,1972,,
11619127,Vic Vet Proc,,1969,,
18807641,South Hist,,2001,,
11633237,South Hist,,1979,,
11633487,Vie Lang,,1971,,
11633238,South Indian Stud,,1977,,
11636846,South Indian Stud,,1964,,
15801137,Vierteljahrsh Zeitgesch,,1998,,
11636198,Vierteljahrsh Zeitgesch,,1981,,
11618161,South Stud,,1986,,
11618159,South Stud,,1984,,
11618165,Southwest Rev,,1988,,
11650501,Southwest Rev,,1979,,
11618264,Vitae Scholasticae,,1987,,
11618262,Vitae Scholasticae,,1983,,
11636160,Urbi,,1986,,
11636159,Urbi,,1984,,
17214044,Utah Hist Q,,2000,,
11633454,Utah Hist Q,,1967,,
21913359,Utop Stud,,2011,,
22567684,Utop Stud,,1999,,
11636001,Sov Arkh,,1984,,
11633246,Sov Arkh,,1976,,
11636003,Sov Etnogr,,1987,,
11633255,Sov Etnogr,,1980,,
11636104,Thalassia Salentina,,1978,,
11618174,Sov Stud Hist,,1987,,
11618169,Sov Stud Hist,,1987,,
17424665,Spagna Contemp,,2002,,
11638804,Spagna Contemp,,1997,,
11636102,Texana,,1967,,
11636103,Texana,,1966,,
11636101,Tequesta,,1973,,
11636100,Tenn Stud Lit,,1984,,
11618199,Teach Coll Rec,,1988,,
11633356,Teach Coll Rec,,1980,,
11618197,Tampa Bay Hist,,1987,,
11618196,Tampa Bay Hist,,1986,,
18846736,Szazadok,,2001,,
22462195,Szazadok,,1999,,
17674501,South Calif Q,,2000,,
11633223,South Calif Q,,1981,,
11633370,Texas Stud Lit Lang,,1978,,
11636004,Sov Gos Pravo,,1984,,
11615182,Si Yu Yan,,1982,,
11615181,Si Yu Yan,,1973,,
18828248,Theatre Surv,Unknown,2001,10.1017/s0040557401003817,
11636106,Theol Sz,,1985,,
11636018,Spieg Hist,,1984,,
11633287,Spieg Hist,,1982,,
11633373,Tibet News Rev,,1981,,
11618175,Spinner,,1984,,
11633375,Tidsskr Rettsvitenskap,,1973,,
11636112,Tidsskr Samfunnsforsk,,1987,,
11633378,Tidsskr Samfunnsforsk,,1980,,
11636019,Spirales,,1982,,
11633293,Spis Blg Akad Nauk,,1968,,
18642475,Tijdschr Geschied,,2001,,
22532995,Tijdschr Geschied,,1999,,
18572484,Stadion,,2001,,
18431858,Stadion,,2001,,
18431856,Stadion (Koln),,2001,,
11633300,Stanford Fr Rev,,1978,,
11636856,Tijdschr Filos,,1968,,
11636024,Stanovnistvo,,1978,,
11636023,Stanovnistvo,,1978,,
11808623,Timeline,,2002,,
11618214,Timeline,,1988,,
11618176,State Black Am,,1989,,
11636025,Sterkiana,,1967,,
11633386,Tirol Heim,,1978,,
11636575,Tirol Heim,,1975,,
11633301,Stimmen Zeit,,1980,,
11633306,Strategy Tactics,,1980,,
11633305,Strategy Tactics,,1977,,
11636857,Tirol Heimatbl,,1974,,
11633393,Tirol Heimatbl,,1972,,
11633307,Strenna Stor Bolognese,,1979,,
11636849,Strenna Stor Bolognese,,1977,,
11618177,Stud Am Renaiss,,1984,,
11636034,Stud Am Renaiss,,1980,,
11636036,Stud Burke Time,,1972,,
11623907,Torah U Madda J,,1998,,
11653091,Torah U Madda J,,1993,,
11636037,Stud Cartesiana,,1981,,
11633398,Tort Stat Tanulm,,1977,,
18273993,Tortenelmi Sz,,2001,,
11618218,Touchstone (Nashv),,1988,,
11618219,Toung Pao,,1987,,
11636039,Stud Cl,,1974,,
17274163,Stud Cl,,1969,,
11636122,Tourbe Philos,,1978,,
11633403,Tourbe Philos,,1977,,
22452009,Stud Comeniana Hist,,1999,,
