PMID,Journal,publisher_guess,year,doi,doi_url
7165835,Can J Biochem,Unknown,1982,10.1139/o82-145,https://nrc-prod.literatumonline.com/doi/10.1139/o82-145
6129055,Can J Biochem,Unknown,1982,10.1139/o82-110,https://nrc-prod.literatumonline.com/doi/10.1139/o82-110
3938334,Can J Biochem Cell Biol,Unknown,1985,10.1139/o85-151,https://nrc-prod.literatumonline.com/doi/10.1139/o85-151
2931166,Can J Biochem Cell Biol,Unknown,1985,10.1139/o85-090,https://nrc-prod.literatumonline.com/doi/10.1139/o85-090
3828900,Can J Genet Cytol,Unknown,1986,10.1139/g86-134,https://nrc-prod.literatumonline.com/doi/10.1139/g86-134
4092166,Can J Genet Cytol,Unknown,1985,10.1139/g85-101,https://nrc-prod.literatumonline.com/doi/10.1139/g85-101
117892,Can J Zool,Unknown,1979,10.1139/z79-088,https://nrc-prod.literatumonline.com/doi/10.1139/z79-088
11540792,Can J Bot,Unknown,1984,10.1139/b84-074,https://nrc-prod.literatumonline.com/doi/10.1139/b84-074
29875504,Can J Plant Sci,Unknown,2010,10.4141/CJPS09096,https://nrc-prod.literatumonline.com/doi/10.4141/CJPS09096
16485525,Can J Appl Physiol,Unknown,2005,10.1139/h05-154,https://nrc-prod.literatumonline.com/doi/10.1139/h05-154
16485518,Can J Appl Physiol,Unknown,2005,10.1139/h05-147,https://nrc-prod.literatumonline.com/doi/10.1139/h05-147
13116058,Can J Med Sci,Unknown,1953,10.1139/cjms53-054,https://nrc-prod.literatumonline.com/doi/10.1139/cjms53-054
13094584,Can J Med Sci,Unknown,1953,10.1139/cjms53-046,https://nrc-prod.literatumonline.com/doi/10.1139/cjms53-046
31404462,J Unmanned Veh Syst,Unknown,2017,10.1139/juvs-2016-0019,https://nrc-prod.literatumonline.com/doi/10.1139/juvs-2016-0019
14821853,Can J Chem,Unknown,1951,10.1139/v51-026,https://nrc-prod.literatumonline.com/doi/10.1139/v51-026
11539672,Can J Phys,Unknown,1985,10.1139/p85-021,https://nrc-prod.literatumonline.com/doi/10.1139/p85-021
11542012,Can J Earth Sci,Unknown,1985,10.1139/e85-209,https://nrc-prod.literatumonline.com/doi/10.1139/e85-209
24536997,Can J Res,Unknown,1950,10.1139/cjr50d-003,https://nrc-prod.literatumonline.com/doi/10.1139/cjr50d-003
18236578,Can J Res,Unknown,1949,10.1139/cjr49d-014,https://nrc-prod.literatumonline.com/doi/10.1139/cjr49d-014
24539610,Can J Res E Med Sci,Unknown,1950,10.1139/cjr50e-040,https://nrc-prod.literatumonline.com/doi/10.1139/cjr50e-040
24539609,Can J Res E Med Sci,Unknown,1950,10.1139/cjr50e-039,https://nrc-prod.literatumonline.com/doi/10.1139/cjr50e-039
