PMID,Journal,publisher_guess,year,doi,doi_url
33869676,Neuroimmunol Neuroinflamm,Unknown,2021,10.20517/2347-8659.2020.34,https://www.oaepublish.com/articles/2347-8659.2020.34
32934971,Neuroimmunol Neuroinflamm,Unknown,2020,10.20517/2347-8659.2020.07,https://www.oaepublish.com/articles/2347-8659.2020.07
37125218,Plast Aesthet Res,Unknown,2023,10.20517/2347-9264.2022.106,https://www.oaepublish.com/articles/2347-9264.2022.106
38835350,Cancer Drug Resist,Unknown,2024,10.20517/cdr.2024.10,https://www.oaepublish.com/articles/cdr.2024.10
38510749,Cancer Drug Resist,Unknown,2024,10.20517/cdr.2023.146,https://www.oaepublish.com/articles/cdr.2023.146
38249515,J Cancer Metastasis Treat,Unknown,2023,10.20517/2394-4722.2022.40,https://www.oaepublish.com/articles/2394-4722.2022.40
31236478,J Cancer Metastasis Treat,Unknown,2019,10.20517/2394-4722.2018.25,https://www.oaepublish.com/articles/2394-4722.2018.25
37035453,Hepatoma Res,Unknown,2023,10.20517/2394-5079.2022.85,https://www.oaepublish.com/articles/2394-5079.2022.85
29479565,Hepatoma Res,Unknown,2018,10.20517/2394-5079.2017.50,https://www.oaepublish.com/articles/2394-5079.2017.50
38646143,Vessel Plus,Unknown,2024,10.20517/2574-1209.2023.80,https://www.oaepublish.com/articles/2574-1209.2023.80
37982029,Vessel Plus,Unknown,2023,10.20517/2574-1209.2023.103,https://www.oaepublish.com/articles/2574-1209.2023.103
