PMID,Journal,publisher_guess,year,doi,doi_url
34707891,J Syst Integr Neurosci,Unknown,2020,10.15761/JSIN.1000240,https://www.oatext.com/polygenic-and-multi-locus-heritability-of-alcoholism-novel-therapeutic-targets-to-overcome-psychological-deficits.php
28480059,J Syst Integr Neurosci,Unknown,2016,10.15761/JSIN.1000144,https://www.oatext.com/Putting-Hemispheric-Asymmetry-to-Use-in-Understanding-Brain-Diseases.php
36203911,Clin Case Rep Rev,Unknown,2016,10.15761/ccrr.1000243,https://www.oatext.com/High-dose-intravenous-vitamin-c-treatment-in-a-patient-with-lung-cancer-A-case-report.php
33860108,HMO,Unknown,2019,10.15761/hmo.1000183,https://www.oatext.com/nanoparticles-for-hematologic-diseases-detection-and-treatment.php
33869794,Health Educ Care,Unknown,2019,10.15761/hec.1000163,https://www.oatext.com/mental-health-care-use-in-men-with-comorbid-diabetes-and-depression-the-role-of-age-and-race.php
34095515,Health Educ Care,Unknown,2018,10.15761/hec.1000137,https://www.oatext.com/its-not-just-about-recruitment-an-exploratory-look-at-tobacco-education-sessions-to-increase-participation-into-smoking-cessation.php
26213630,Dent Oral Craniofac Res,Unknown,2015,10.15761/DOCR.1000102,https://www.oatext.com/children-sealants-and-guardians-who-smoke-trends-in-NHANES-2001-2002-to-2010-2012.php
31832233,Integr Cancer Sci Ther,Unknown,2018,10.15761/ICST.1000293,https://www.oatext.com/reduction-in-oral-mucositis-severity-using-a-topical-vasoconstrictor-a-case-report-of-three-bone-marrow-transplant-patients.php
29930868,Integr Cancer Sci Ther,Unknown,2016,10.15761/ICST.1000173,https://www.oatext.com/Diabetes-associated-dysregulated-cytokines-and-cancer.php
32864167,Clin Res Trials,Unknown,2020,10.15761/crt.1000293,https://www.oatext.com/a-retrospective-analysis-of-commonly-prescribed-medications-and-the-risk-of-developing-breast-cancer-related-lymphedema.php
26767117,Clin Res Trials,Unknown,2015,10.15761/CRT.1000105,https://www.oatext.com/Health-literacy-predicts-participant-understanding-of-orally-presented-informed-consent-information.php
31463081,Integr Mol Med,Unknown,2019,10.15761/IMM.1000375,https://www.oatext.com/unlimited-expansion-of-intestinal-stem-cells-from-a-wide-range-of-ages.php
26523229,Integr Mol Med,Unknown,2015,10.15761/IMM.1000169,https://www.oatext.com/Elevated-anthranilic-acid-plasma-concentrations-in-type-1-but-not-type-2-diabetes-mellitus.php
29367881,Integr Obes Diabetes,Unknown,2017,10.15761/IOD.1000170,https://www.oatext.com/Changes-in-zinc-glycoprotein-ZAG-plasma-concentrations-pre-and-post-RouxEnY-gastric-bypass-surgery-RYGB-or-a-very-low-calorie-VLCD-diet-in-clinically-severe-obese-patients-Preliminary-Study.php
27942392,Integr Obes Diabetes,Unknown,2016,10.15761/IOD.1000149,https://www.oatext.com/Disruption%20of%20Type%203%20Adenylyl%20Cyclase%20Expression%20in%20the%20Hypothalamus%20Leads%20to%20Obesity.php
