PMID,Journal,publisher_guess,year,doi,doi_url
29082269,Clin Res Foot Ankle,Unknown,2016,10.4172/2329-910X.1000205,https://www.omicsonline.org/open-access/the-impact-and-functional-outcomes-of-achilles-tendon-pathology-in-national-basketball-association-players-2329-910X-1000205.php?aid=79657
26702366,Epidemiology (Sunnyvale),Unknown,2013,10.4172/2161-1165.1000126,https://www.omicsonline.org/cholera-outbreaks-in-urban-bangladesh-in-2011-2161-1165.1000126.php?aid=15715
25584360,J Mol Pharm Org Process Res,Unknown,2013,10.4172/jmpopr.1000e107,https://www.omicsonline.org/open-access/nanoimaging-for-molecular-pharmaceutics-of-alzheimers-and-other-neurodegenerative-disorders-jmpopr.1000e107.php?aid=16038
25614878,J Oral Hyg Health,Unknown,2014,10.4172/2332-0702.1000138,https://www.omicsonline.org/open-access/oral-health-disparities-and-unmet-dental-needs-among-preschool-children-in-chelsea-ma-exploring-mechanisms-defining-solutions-2332-0702.1000138.php?aid=28359
25685610,J Bioremediat Biodegrad,Unknown,2014,10.4172/2155-6199.1000e148,https://www.omicsonline.org/open-access/understanding-biogeochemical-cycling-of-trace-elements-and-heavy-metals-in-estuarine-ecosystems-2155-6199.1000e148.php?aid=25481
30506021,Optometry,Unknown,2016,10.4172/2476-2075.1000120,https://www.omicsonline.org/open-access/the-progression-of-nearwork-myopia-OMOA-1000120.php?aid=76752
33282527,Otolaryngol (Sunnyvale),Unknown,2017,10.4172/2161-119x.1000308,https://www.omicsonline.org/open-access/the-structure-and-the-function-of-the-cochlear-intrastrial-fluidblood-barrier-2161-119X-1000308.php?aid=90554
25621290,Occup Med Health Aff,Unknown,2014,10.4172/2329-6879.1000165,https://www.omicsonline.org/open-access/potential-occupational-risks-associated-with-pulmonary-toxicity-of-carbon-nanotubes-2329-6879.1000165.php?aid=27279
29399634,J Child Adolesc Behav,Unknown,2017,10.4172/2375-4494.1000357,https://www.omicsonline.org/open-access/posttraumatic-stress-disorder-ptsd-in-sexually-abused-children-andeducational-status-in-kenya-a-longitudinal-study-2375-4494-1000357.php?aid=94240
27123471,J Child Adolesc Behav,Unknown,2015,10.4172/2375-4494.1000254,https://www.omicsonline.org/open-access/socioeconomic-status-and-internalizing-symptoms-in-chilean-children-doesreserve-capacity-matter-2375-4494-1000254.php?aid=62235
24639916,J Alzheimers Dis Parkinsonism,Unknown,2013,10.4172/2161-0460.S1-001,https://www.omicsonline.org/magnetic-resonance-imaging-mri-in-parkinsons-disease-2161-0460.S1-001.php?aid=11918
24932433,J Nov Physiother,Unknown,2013,10.4172/2165-7025.1000127,https://www.omicsonline.org/open-access/an-informational-algorithm-as-the-basis-for-perception-action-control-of-the-instantaneous-axes-of-the-knee-2165-7025.1000127.php?aid=12180
26819835,Med Chem (Los Angeles),Unknown,2014,10.4172/2161-0444.1000219,https://www.omicsonline.org/open-access/clotrimazole-as-a-cancer-druga-short-review-2161-0444.1000722.php?aid=31853
27525191,J Clin Exp Pathol,Unknown,2016,10.4172/2161-0681.1000269,https://www.omicsonline.org/open-access/tobacco-smokeinduced-hepatic-injury-with-steatosis-inflammation-and-impairments-in-insulin-and-insulinlike-growth-factor-signaling-2161-0681-1000269.php?aid=72142
26339530,J Clin Exp Pathol,Unknown,2012,10.4172/2161-0681.1000114,https://www.omicsonline.org/structural-correlates-of-ppar-agonist-rescue-of-experimental-chronic-alcohol-induced-steatohepatitis-2161-0681.1000114.php?aid=7325
30271699,Biochem Physiol,Unknown,2018,10.4172/2168-9652.1000241,https://www.omicsonline.org/open-access/impact-of-temperature-on-heparin-and-protein-interactions-2168-9652-1000241-103529.html
27695643,J Bioterror Biodef,Unknown,2016,10.4172/2157-2526.1000144,https://www.omicsonline.org/open-access/francisella-tularensis--immune-cell-activator-suppressor-or-stealthyevader-the-evolving-view-from-the-petri-dish-2157-2526-1000144.php?aid=71946
23125946,J Bioterror Biodef,Unknown,2011,10.4172/2157-2526.S1-002,https://www.omicsonline.org/japanese-encephalitis-vaccines-2157-2526.S1-002.php?aid=2261
30002947,J Anal Bioanal Tech,Unknown,2018,10.4172/2155-9872.1000403,https://www.omicsonline.org/open-access/validation-of-miniaturized-particulatematter-realtime-samplers-for-characterizing-personal-polycyclic-aromatic-hydrocarbon-exposur-2155-9872-1000403-100641.html
27559493,J Gastrointest Dig Syst,Unknown,2015,10.4172/2161-069X.1000345,https://www.omicsonline.org/open-access/increased-incidence-of-early-onset-colorectal-cancer-in-arizona-acomprehensive-15year-analysis-of-the-arizona-cancer-registry-2161-069X-1000345.php?aid=61676
30775161,OMICS J Radiol,Unknown,2018,10.4172/2167-7964.1000302,https://www.omicsonline.org/open-access/modeling-of-acute-rectal-toxicity-to-compare-two-patient-positioning-methods-for-prostate-cancer-radiotherapy-can-toxicity-modelin-2167-7964-1000302-106252.html
24069578,OMICS J Radiol,Unknown,2012,10.4172/2167-79641000e110,https://www.omicsonline.org/open-access/quantitative-evaluation-of-liver-function-within-mr-imaging-2167-7964.1000e109.php?aid=5887
30957071,Toxicol Open Access,Unknown,2016,10.4172/2476-2067.1000116,https://www.omicsonline.org/open-access/the-persistent-neurotoxic-effects-of-methamphetamine-on-dopaminergic-andserotonergic-markers-in-male-and-female-rats-.php?aid=78628
30225466,J Cytokine Biol,Unknown,2018,10.4172/2576-3881.1000121,https://www.omicsonline.org/open-access/chemical-modification-of-crispr-grnas-eliminate-type-i-interferon-responses-in-human-peripheral-blood-mononuclear-cells-2576-3881-1000121-98258.html
27917414,Adv Cancer Prev,Unknown,2016,10.4172/2472-0429.1000110,https://www.omicsonline.org/open-access/receptivity-and-preferences-for-lifestyle-programs-to-reduce-cancer-riskamong-lung-cancer-family-members-2472-0429-1000110.php?aid=76695
29722354,Diagn Pathol Open Access,Unknown,2016,10.4172/2476-2024.1000e105,https://www.omicsonline.org/open-access/critical-role-of-pathologists-in-the-accurate-subclassification-of-nonsmall-cell-lung-carcinoma-nsclc-for-targeted-therapies-evide.php?aid=83873
