PMID,Journal,publisher_guess,year,doi,doi_url
26900602,Int J Hematol Ther,Unknown,2015,10.15436/2381-1404.15.003,https://www.ommegaonline.org/article-details/Exploring-Adult-Care-Experiences-and-Barriers-to-Transition-in-Adult-Patients-with-Sickle-Cell-Disease/451
29104965,J Stem Cell Regen Biol,Unknown,2017,10.15436/2471-0598.17.022,https://www.ommegaonline.org/article-details/Immunomodulation-by-Mesenchymal-Stromal-Cells-and-Their-Clinical-Applications/1446
28868525,Int J Neurol Brain Disord,Unknown,2016,10.15436/2377-1348.16.729,https://www.ommegaonline.org/article-details/Potential-Contributions-of-the-Tobacco-Nicotine-Derived-Nitrosamine-Ketone-to-White-Matter-Molecular-Pathology-in-Fetal-Alcohol-Spectrum-Disorder/729
32095535,J Diabetes Obes,Unknown,2017,10.15436/2376-0494.17.1108,https://www.ommegaonline.org/article-details/Relationships-between-Weight-Adiposity-Functional-Status-and-Left-Ventricle-Characteristics-in-Overweight-and-Obese-Patients-with-Heart-Failure/1108
26120596,J Diabetes Obes,Unknown,2015,10.15436/2376-0494.15.007,https://www.ommegaonline.org/article-details/Differential-Association-of-Niemann-Pick-C1-Gene-Polymorphisms--with-Maternal--Prepregnancy-Overweight--and-Gestational-Diabetes/193
29399636,Int J Cancer Oncol,Unknown,2017,10.15436/2377-0902.17.1469,https://www.ommegaonline.org/article-details/Overcoming-Barriers-to-Lung-Cancer-Screening-by-Implementing-a-Single-Visit-Patient-Experience/1469
27517093,Int J Cancer Oncol,Unknown,2016,10.15436/2377-0902.16.026,https://www.ommegaonline.org/article-details/Protection-Against-Dimethylbenza-Anthracene-Induced-Breast-Cancer-in-Female-Rats-by-%CE%B1-Lactalbumin/727
29881781,J Nanotechnol Mater Sci,Unknown,2017,10.15436/2377-1372.17.1583,https://www.ommegaonline.org/article-details/Nanoparticle-Encapsulation-for-Antiretroviral-Pre-Exposure-Prophylaxis/1583
28626796,J Environ Health Sci,Unknown,2016,10.15436/2378-6841.16.1131,https://www.ommegaonline.org/article-details/Determining-Underground-Mining-Work-Postures-Using-Motion-Capture-and-Digital-Human-Modeling/1131
26726316,J Heart Cardiol,Unknown,2015,10.15436/2378-6914/15/010,https://www.ommegaonline.org/article-details/Impaired-Coronary-Endothelial-Vasorelaxation-in-a-Preclinical-Model-of-Peripheral-Arterial-Insufficiency-/332
29756083,J Addict Depend,Unknown,2016,10.15436/2471-061X-16-021,https://www.ommegaonline.org/article-details/Drugs-to-Treat-Alcohol-Dependence-A-Perspective/902
29355245,J Pharm Pharm,Unknown,2017,10.15436/2377-1313.17.1331,https://www.ommegaonline.org/article-details/The-obstacles-to-current-extracellular-vesicle-mediated-drug-delivery-research-/1331
