PMID,Journal,publisher_guess,year,doi,doi_url
31656366,Representations (Berkeley),Unknown,2019,10.1525/rep.2019.147.1.1,https://online.ucpress.edu/representations/article/147/1/1/109823/His-Belly-Her-Seed-Gender-and-Medicine-in-Early
20821890,Mex Stud,Unknown,2010,10.1525/msem.2010.26.2.379,https://online.ucpress.edu/msem/article/26/2/379/61479/Degeneration-and-the-Origins-of-Mexico-s-War-on
21114060,Pac Hist Rev,Unknown,2010,10.1525/phr.2010.79.4.513,https://online.ucpress.edu/phr/article/79/4/513/103923/Remedial-Agents-Missionary-Physicians-and-the
12295079,Communist Post-Communist Stud,Unknown,1997,10.1016/s0967-067x(97)00011-1,https://online.ucpress.edu/cpcs/article/30/3/321/412/Documented-Homicides-and-Excess-Deaths-New
19170273,Communist Post-Communist Stud,Unknown,2001,10.1016/s0967-067x(01)00004-6,https://online.ucpress.edu/cpcs/article/34/2/241/462/The-operation-failed-but-the-patient-survived
18646378,Hist Stud Phys Biol Sci,Unknown,2001,10.1525/hsps.2001.31.2.249,https://online.ucpress.edu/hsns/article/31/2/249/47889/Spirit-air-and-quicksilver-The-search-for-the-real
27416651,Public Hist,Unknown,2016,10.1525/tph.2016.38.2.10,https://online.ucpress.edu/tph/article/38/2/10/90062/REPORT-FROM-THE-FIELDHistory-Matters-What-Happens
20503914,Public Hist,Unknown,2010,10.1525/tph.2010.32.1.45,https://online.ucpress.edu/tph/article/32/1/45/88812/Where-Are-the-Bodies-The-Haunting-of-Indonesia
38798763,Music Percept,Unknown,2023,10.1525/MP.2023.40.4.277,https://online.ucpress.edu/mp/article/40/4/277/195885/Anti-Colonial-Strategies-in-Cross-cultural-Music
26120242,Music Percept,Unknown,2015,10.1525/mp.2015.32.3.232,https://online.ucpress.edu/mp/article/32/3/232/62648/A-DualStream-Neuroanatomy-of-Singing
34926709,Elementa (Wash D C),Unknown,2021,10.1525/elementa.2020.00163,https://online.ucpress.edu/elementa/article/9/1/00163/116980/The-Korea-United-States-Air-Quality-KORUS-AQ-field
30997362,Elementa (Wash D C),Unknown,2017,10.1525/elementa.188,https://online.ucpress.edu/elementa/article/doi/10.1525/elementa.188/112417/The-Indianapolis-Flux-Experiment-INFLUX-A-test-bed
37621697,Sociol Dev (Oakl),Unknown,2021,10.1525/sod.2020.0042,https://online.ucpress.edu/socdev/article/7/4/469/118608/The-Gender-System-and-Class-MobilityHow-Wealth-and
26457325,Sociol Dev (Oakl),Unknown,2015,10.1525/sod.2015.1.2.277,https://online.ucpress.edu/socdev/article/1/2/277/68120/Developmental-IdealismThe-Cultural-Foundations-of
21972474,Hist Stud Nat Sci,Unknown,2011,10.1525/hsns.2011.41.3.277,https://online.ucpress.edu/hsns/article/41/3/277/105657/Constructing-a-Scientist-Expert-Authority-and
20964086,Ninet Century Lit,Unknown,2010,10.1525/ncl.2010.65.2.214,https://online.ucpress.edu/ncl/article/65/2/214/94110/This-Immense-Expense-of-Art-George-Eliot-and-John
20217971,19th Century Music,Unknown,2001,10.1525/ncm.2001.25.2-3.91,https://online.ucpress.edu/ncm/article/25/2-3/91/69398/The-Child-and-the-Daemon-Mozart-and-Deep-Play
29610538,Am Biol Teach,Unknown,2018,10.1525/abt.2018.80.3.168,https://online.ucpress.edu/abt/article/80/3/168/19075/New-Approaches-in-Cancer-Biology-Can-Inform-the
29652406,Psychology,Unknown,2018,10.1525/collabra.116,https://online.ucpress.edu/collabra/article/4/1/6/112950/Individual-Importance-Weighting-of-Domain
38463460,Collabra Psychol,Unknown,2024,10.1525/collabra.92949,https://online.ucpress.edu/collabra/article/10/1/92949/200115/Characterizing-Human-Habits-in-the-Lab
38528944,Collabra Psychol,Unknown,2023,10.1525/collabra.77837,https://online.ucpress.edu/collabra/article/9/1/77837/196650/Measuring-CHAOS-Evaluating-the-Short-form
34267602,Gastronomica (Berkeley Calif),Unknown,2020,10.1525/gfc.2020.20.3.28,https://online.ucpress.edu/gastronomica/article/20/3/28/111216/Community-Health-Research-Restaurants-and
21539056,Gastronomica (Berkeley Calif),Unknown,2010,10.1525/gfc.2010.10.1.119,https://online.ucpress.edu/gastronomica/article/10/1/119/44413/The-Color-of-Hay-The-Peasants-of-Maramuress
