PMID,Journal,publisher_guess,year,doi,doi_url
27077135,Radiol Open J,Unknown,2015,10.17140/roj-1-101,https://openventio.org/wp-content/uploads/Recent-Developments-in-Diffusion-Tensor-Imaging-of-Brain-ROJ-1-101.pdf
32104721,Pulm Res Respir Med,Unknown,2019,10.17140/PRRMOJ-5-139,https://openventio.org/wp-content/uploads/A-Rare-Case-of-Gemcitabine-Induced-Pulmonary-Hypertension-PRRMOJ-5-139.pdf
32149269,Toxicol Forensic Med,Unknown,2019,10.17140/tfmoj-4-128,https://openventio.org/wp-content/uploads/A-Cycle-of-Altered-Proteasome-and-Reactive-Oxygen-Species-Production-in-Renal-Proximal-Tubular-Cells-TFMOJ-4-128.pdf
32030361,Pancreas (Fairfax),Unknown,2019,10.17140/POJ-3-e010,https://openventio.org/wp-content/uploads/Why-HALO-301-Failed-and-Implications-for-Treatment-of-Pancreatic-Cancer-POJ-3-e010.pdf
37994348,Pediatr Neonatal Nurs,Unknown,2022,10.17140/pnnoj-8-135,https://openventio.org/wp-content/uploads/Can-Automated-Text-Messaging-Successfully-Monitor-Antibiotic-Adherence-for-Urban-Adolescents-and-Young-Women-Managed-for-Pelvic-Inflammatory-Disease-in-the-Outpatient-Setting-PNNOJ-8-135.pdf
28280783,Pediatr Neonatal Nurs,Unknown,2016,10.17140/pnnoj-4-124,https://openventio.org/wp-content/uploads/Perceived-Social-Support-Parental-Notification-and-arental-Engagement-after-Pelvic-Inflammatory-Disease-among-Urban-Adolescent-and-Young-Adults-PNNOJ-4-124.pdf
29167823,Diabetes Res (Fairfax),Unknown,2015,10.17140/DROJ-1-115,https://openventio.org/wp-content/uploads/Apelin-Gene-Therapy-Increases-Autophagy-via-Activation-of-Sirtuin-3-in-Diabetic-Heart-DROJ-1-115.pdf
31098393,HIV/AIDS Res Treat,Unknown,2015,10.17140/HARTOJ-1-101,https://openventio.org/wp-content/uploads/Religious-and-Psychosocial-Covariates-of-Health-Related-Quality-of-Life-in-People-Living-with-HIV-AIDS-HARTOJ-1-101.pdf
28317037,Public Health (Fairfax),Unknown,2016,10.17140/PHOJ-1-110,https://openventio.org/wp-content/uploads/The-Role-of-Familismo-and-Acculturation-as-Moderators-of-the-Association-Between-Family-Conflict-and-Substance-Abuse-on-Latino-Adult-Males-PHOJ-1-110.pdf
29399638,Psychol Cogn Sci,Unknown,2017,10.17140/PCSOJ-3-127,https://openventio.org/wp-content/uploads/A-Randomized-Controlled-Study-on-the-Effects-of-a-Documentary-on-Students-Empathy-and-Attitudes-towards-Older-Adults-PCSOJ-3-127.pdf
