PMID,Journal,publisher_guess,year,doi,doi_url
35494404,Adv Opt Photonics,Unknown,2021,10.1364/AOP.417837,https://opg.optica.org/aop/abstract.cfm?uri=aop-13-2-353
27182429,Adv Opt Photonics,Unknown,2015,10.1364/AOP.7.000276,https://opg.optica.org/aop/abstract.cfm?uri=aop-7-2-276
18689007,J Opt Soc Am A,Unknown,1998,10.1364/josaa.15.002302,https://opg.optica.org/josaa/abstract.cfm?uri=josaa-15-9-2302
8478747,J Opt Soc Am A,Unknown,1993,10.1364/josaa.10.000213,https://opg.optica.org/josaa/abstract.cfm?uri=josaa-10-2-213
6663375,J Opt Soc Am,Unknown,1983,10.1364/josa.73.001709,https://opg.optica.org/josa/abstract.cfm?uri=josa-73-12-1709
6663374,J Opt Soc Am,Unknown,1983,10.1364/josa.73.001701,https://opg.optica.org/josa/abstract.cfm?uri=josa-73-12-1701
35350105,Front Opt,Unknown,2020,10.1364/fio.2020.fm5c.3,https://opg.optica.org/abstract.cfm?URI=FiO-2020-FM5C.3
37476693,Conf Lasers Electro Optics,Unknown,2022,10.1364/cleo_at.2022.atu5i.6,https://opg.optica.org/abstract.cfm?URI=CLEO_AT-2022-ATu5I.6
38261806,Conf Lasers Electro Optics,Unknown,2021,10.1364/cleo_at.2021.af2q.3,https://opg.optica.org/abstract.cfm?URI=CLEO_AT-2021-AF2Q.3
36199810,Opt Photonics News,Unknown,2021,10.1364/opn.32.4.000042,https://opg.optica.org/opn/abstract.cfm?uri=opn-32-4-42
36726861,J Opt Soc Am B,Unknown,2022,10.1364/JOSAB.440232,https://opg.optica.org/josab/abstract.cfm?uri=josab-39-1-137
38856583,J Opt Soc Am A Opt Image Sci Vis,Unknown,2024,10.1364/JOSAA.515243,https://opg.optica.org/josaa/abstract.cfm?uri=josaa-41-5-969
36996345,Biomed Opt,Unknown,2022,10.1364/translational.2022.jtu3a.45,https://opg.optica.org/abstract.cfm?URI=Translational-2022-JTu3A.45
36996332,Biomed Opt,Unknown,2022,10.1364/OTS.2022.OTu2D.3,https://opg.optica.org/abstract.cfm?URI=OTS-2022-OTu2D.3
38856630,Appl Opt,Unknown,2024,10.1364/AO.525008,https://opg.optica.org/ao/abstract.cfm?uri=ao-63-16-4480
38856544,Appl Opt,Unknown,2024,10.1364/AO.523804,https://opg.optica.org/ao/abstract.cfm?uri=ao-63-13-3585
38875663,Opt Lett,Unknown,2024,10.1364/OL.527533,https://opg.optica.org/ol/abstract.cfm?uri=ol-49-12-3532
