PMID,Journal,publisher_guess,year,doi,doi_url
11655974,New Scholasticism,Unknown,1989,10.5840/newscholas19896345,https://www.pdcnet.org/newscholas/content/newscholas_1989_0063_0004_0463_0484
11661041,New Scholasticism,Unknown,1973,10.5840/newscholas19734747,https://www.pdcnet.org/newscholas/content/newscholas_1973_0047_0004_0501_0515
11649632,Thought,Unknown,1982,10.5840/thought198257438,https://www.pdcnet.org/thought/content/thought_1982_0057_0004_0422_0437
11656685,Int Philos Q,Unknown,1992,10.5840/ipq199232156,https://www.pdcnet.org/ipq/content/ipq_1992_0032_0001_0105_0118
11663523,Int Philos Q,Unknown,1974,10.5840/ipq197414339,https://www.pdcnet.org/ipq/content/ipq_1974_0014_0003_0347_0362
11617735,Mod Schoolman,Unknown,1978,10.5840/schoolman197855230,https://www.pdcnet.org/schoolman/content/schoolman_1978_0055_0002_0165_0177
11658295,Dialect Hum,Unknown,1977,10.5840/dialecticshumanism19774345,https://www.pdcnet.org/dialecticshumanism/content/dialecticshumanism_1977_0004_0003_0119_0125
11662188,Southwest J Philos,Unknown,1975,10.5840/swjphil19756237,https://www.pdcnet.org/swjphil/content/swjphil_1975_0006_0002_0123_0128
11656177,Philos Res Arch,Unknown,1987,10.5840/pra1986/19871218,https://www.pdcnet.org/pra/content/pra_1987_0012_0000_0101_0124
11659315,Philos Theol,Unknown,1988,10.5840/philtheol19882410,https://www.pdcnet.org/philtheol/content/philtheol_1988_0002_0004_0305_0326
11655460,Appl Philos,Unknown,1982,10.5840/ijap1982113,https://www.pdcnet.org/ijap/content/ijap_1982_0001_0001_0026_0036
11661775,Teach Philos,Unknown,1977,10.5840/teachphil197723/424,https://www.pdcnet.org/teachphil/content/teachphil_1977_0002_39876_0309_0318
29109591,J Philos,Unknown,2017,10.5840/jphil2017114829,https://www.pdcnet.org/jphil/content/jphil_2017_0114_0008_0422_0448
17269199,Anc Philos,Unknown,2000,10.5840/ancientphil200020248,https://www.pdcnet.org/ancientphil/content/ancientphil_2000_0020_0002_0532_0537
11616806,Chesterton Rev,Unknown,1977,10.5840/chesterton19773219,https://www.pdcnet.org/chesterton/content/chesterton_1977_0003_0002_0246_0259
30854347,J Early Mod Stud (Bucur),Unknown,2018,10.5840/jems2018714,https://www.pdcnet.org/jems/content/jems_2018_0007_0001_0073_0103
17091548,Natl Cathol Bioeth Q,Unknown,2006,10.5840/ncbq20066325,https://www.pdcnet.org/ncbq/content/ncbq_2006_0006_0003_0413_0420
11657844,Environ Ethics,Unknown,1999,10.5840/enviroethics199921148,https://www.pdcnet.org/enviroethics/content/enviroethics_1999_0021_0001_0111_0112
15195649,Bus Prof Ethics J,Unknown,2001,10.5840/bpej2001203/416,https://www.pdcnet.org/bpej/content/bpej_2001_0020_0003_0129_0143
12528733,Bus Prof Ethics J,Unknown,1998,10.5840/bpej1998171/218,https://www.pdcnet.org/bpej/content/bpej_1998_0017_0001_0073_0093
11651862,Philos Context,Unknown,1984,10.5840/philcontext1984143,https://www.pdcnet.org/philcontext/content/philcontext_1984_0014_0009_0018
11651857,Philos Context,Unknown,1984,10.5840/philcontext1984144,https://www.pdcnet.org/philcontext/content/philcontext_1984_0014_0019_0028
25075133,Soc Theory Pract,Unknown,2014,10.5840/soctheorpract201440329,https://www.pdcnet.org/soctheorpract/content/soctheorpract_2014_0040_0003_0483_0498
15000086,Soc Theory Pract,Unknown,2003,10.5840/soctheorpract20032911,https://www.pdcnet.org/soctheorpract/content/soctheorpract_2003_0029_0001_0019_0038
26549927,Int J Appl Philos,Unknown,2014,10.5840/ijap2014121736,https://www.pdcnet.org/ijap/content/ijap_2014_0028_0002_0331_0346
