PMID,Journal,publisher_guess,year,doi,doi_url
11635891,Romania,Unknown,1985,10.3406/roma.1985.1737,https://www.persee.fr/doc/roma_0035-8029_1985_num_106_421_1737
11616722,Bull Ec Fr Extr Orient,Unknown,1987,10.3406/befeo.1987.1724,https://www.persee.fr/doc/befeo_0336-1519_1987_num_76_1_1724
11632227,J Agric Tradit Bot Appl,Unknown,1982,10.3406/jatba.1982.3862,https://www.persee.fr/doc/jatba_0183-5173_1982_num_29_1_3862
11632229,J Agric Trop Bot Appl,Unknown,1976,10.3406/jatba.1976.3228,https://www.persee.fr/doc/jatba_0021-7662_1976_num_23_1_3228
11636688,J Agric Trop Bot Appl,Unknown,1969,10.3406/jatba.1969.3024,https://www.persee.fr/doc/jatba_0021-7662_1969_num_16_2_3024
22232816,Rev Fr Hist Outre Mer,Unknown,1999,10.3406/outre.1999.3719,https://www.persee.fr/doc/outre_0300-9513_1999_num_86_322_3719
18350677,Rev Hist Eglise Fr,Unknown,2000,10.3406/rhef.2000.1432,https://www.persee.fr/doc/rhef_0300-9505_2000_num_86_217_1432
22220337,Rev Hist Eglise Fr,Unknown,1999,10.3406/rhef.1999.1352,https://www.persee.fr/doc/rhef_0300-9505_1999_num_85_214_1352
12233502,Etud Irl,Unknown,1997,10.3406/irlan.1997.1388,https://www.persee.fr/doc/irlan_0183-973x_1997_num_22_1_1388
19009717,Ann Midi,Unknown,2001,10.3406/anami.2001.2742,https://www.persee.fr/doc/anami_0003-4398_2001_num_113_236_2742
19294807,Ann Midi,Unknown,1999,10.3406/anami.1999.2635,https://www.persee.fr/doc/anami_0003-4398_1999_num_111_227_2635
18939347,Rev Hist Sci (Paris),Unknown,2000,10.3406/rhs.2000.2098,https://www.persee.fr/doc/rhs_0151-4105_2000_num_53_3_2098
17219714,Scriptorium,Unknown,1997,10.3406/scrip.1997.1811,https://www.persee.fr/doc/scrip_0036-9772_1997_num_51_2_1811
11615948,Scriptorium,Unknown,1982,10.3406/scrip.1982.1250,https://www.persee.fr/doc/scrip_0036-9772_1982_num_36_1_1250
25530620,Bull Acad Vet Fr,Unknown,2014,10.4267/2042/54201,https://www.persee.fr/doc/bavf_0001-4192_2014_num_167_3_1825
12294524,Espace Geogr,Unknown,1998,10.3406/spgeo.1998.1142,https://www.persee.fr/doc/spgeo_0046-2497_1998_num_27_2_1142
12348729,Espace Geogr,Unknown,1997,10.3406/spgeo.1997.1097,https://www.persee.fr/doc/spgeo_0046-2497_1997_num_26_4_1097
12292545,Bull Assoc Geogr Fr,Unknown,1996,10.3406/bagf.1996.1887,https://www.persee.fr/doc/bagf_0004-5322_1996_num_73_2_1887
12318342,Rev Geogr Pyren Sud Ouest,Unknown,1991,10.3406/rgpso.1991.3234,https://www.persee.fr/doc/rgpso_0035-3221_1991_num_62_1_3234
12318341,Rev Geogr Pyren Sud Ouest,Unknown,1991,10.3406/rgpso.1991.3236,https://www.persee.fr/doc/rgpso_0035-3221_1991_num_62_1_3236
12285581,Rev Geogr Est,Unknown,1992,10.3406/rgest.1992.2220,https://www.persee.fr/doc/rgest_0035-3213_1992_num_32_1_2220
