PMID,Journal,publisher_guess,year,doi,doi_url
38884803,Biochem Soc Trans,Unknown,2024,10.1042/BST20230724,https://portlandpress.com/biochemsoctrans/article/52/3/1131/234568/Proofreading-mechanisms-of-the-innate-immune
38629621,Biochem Soc Trans,Unknown,2024,10.1042/BST20230256,https://portlandpress.com/biochemsoctrans/article-abstract/52/2/567/234305/The-ring-rules-the-chain-inositol-pyrophosphates?redirectedFrom=fulltext
38868916,Essays Biochem,Unknown,2024,10.1042/EBC20230083,https://portlandpress.com/essaysbiochem/article-abstract/doi/10.1042/EBC20230083/234563/Exploring-the-uncharted-territory-of-the-potential?redirectedFrom=fulltext
37068264,Essays Biochem,Unknown,2023,10.1042/EBC20220154,https://portlandpress.com/essaysbiochem/article/67/3/533/232890/Hemicellulolytic-enzymes-in-lignocellulose
38904187,Clin Sci (Lond),Unknown,2024,10.1042/CS20220428,https://portlandpress.com/clinsci/article/138/13/761/234586/Molecular-regulators-of-defective-placental-and
38804865,Clin Sci (Lond),Unknown,2024,10.1042/CS20240341,https://portlandpress.com/clinsci/article-abstract/138/12/711/234504/Endothelin-1-impairs-skeletal-muscle-myogenesis?redirectedFrom=fulltext
720006,Clin Sci Mol Med,Unknown,1978,10.1042/cs0550509,https://portlandpress.com/clinsci/article-abstract/55/5/509/72326/Small-Intestinal-Changes-Induced-by-an-Elemental?redirectedFrom=fulltext
657729,Clin Sci Mol Med,Unknown,1978,10.1042/cs0540609,https://portlandpress.com/clinsci/article-abstract/54/6/609/70900/Central-and-Peripheral-Fatigue-in-Sustained?redirectedFrom=fulltext
365434,Clin Sci Mol Med Suppl,Unknown,1978,10.1042/cs055409s,https://portlandpress.com/clinsci/article-abstract/55/s4/409s/101479/Closing-Address-Au-Revoir-Et-A-Bientot?redirectedFrom=fulltext
282039,Clin Sci Mol Med Suppl,Unknown,1978,10.1042/cs055125s,https://portlandpress.com/clinsci/article-abstract/55/s4/125s/101467/Is-High-Molecular-Weight-Renin-Binding-of-Renin-to?redirectedFrom=fulltext
16626292,Biochem Soc Symp,Unknown,2006,10.1042/bss0730109,https://portlandpress.com/biochemsocsymp/article-abstract/doi/10.1042/bss0730109/50838/Nucleosome-dynamics?redirectedFrom=fulltext
38904175,Biosci Rep,Unknown,2024,10.1042/BSR-2019-4347_EOC,https://portlandpress.com/bioscirep/article/44/6/BSR-2019-4347_EOC/234584/Expression-of-Concern-Madecassoside-protects
38836325,Biosci Rep,Unknown,2024,10.1042/BSR20232162,https://portlandpress.com/bioscirep/article/44/6/BSR20232162/234535/Bioactivity-hemocompatibility-and-inflammatory
36874249,Biochem (Lond),Unknown,2022,10.1042/bio_2022_125,https://portlandpress.com/biochemist/article/44/5/9/231947/Fertilization-what-we-can-learn-from-worms
38362914,Emerg Top Life Sci,Unknown,2024,10.1042/ETLS20230115,https://portlandpress.com/emergtoplifesci/article/8/1/45/234064/Resisting-death-by-metal-metabolism-and-Cu-Zn
35191478,Emerg Top Life Sci,Unknown,2022,10.1042/ETLS20210262,https://portlandpress.com/emergtoplifesci/article/6/2/175/230818/Metabolomics-as-an-emerging-tool-to-study-plant
38572143,Neuronal Signal,Unknown,2024,10.1042/NS20230057,https://portlandpress.com/neuronalsignal/article/8/1/NS20230057/233816/Neural-mechanisms-of-dopamine-function-in-learning
32714576,Neuronal Signal,Unknown,2017,10.1042/NS20160005,https://portlandpress.com/neuronalsignal/article/1/2/NS20160005/13/Conventional-protein-kinase-C-in-the-brain-40
