PMID,Journal,publisher_guess,year,doi,doi_url
38680616,Stat Surv,Unknown,2023,10.1214/22-SS140,https://projecteuclid.org/journals/statistics-surveys/volume-17/issue-none/Causal-mediation-analysis--From-simple-to-more-robust-strategies/10.1214/22-SS140.full
19816591,Stat Surv,Unknown,2008,10.1214/08-ss036,https://projecteuclid.org/journals/statistics-surveys/volume-2/issue-none/Testing-polynomial-covariate-effects-in-linear-and-generalized-linear-mixed/10.1214/08-SS036.full
38706584,Ann Stat,Unknown,2024,10.1214/23-aos2339,https://projecteuclid.org/journals/annals-of-statistics/volume-52/issue-1/Rank-based-indices-for-testing-independence-between-two-high-dimensional/10.1214/23-AOS2339.short
29353943,Ann Stat,Unknown,2017,10.1214/16-AOS1535,https://projecteuclid.org/journals/annals-of-statistics/volume-45/issue-6/Nonparametric-goodness-of-fit-tests-for-uniform-stochastic-ordering/10.1214/16-AOS1535.full
36313278,Ann Appl Stat,Unknown,2021,10.1214/20-aoas1425,https://projecteuclid.org/journals/annals-of-applied-statistics/volume-15/issue-3/Function-on-function-regression-for-the-identification-of-epigenetic-regions/10.1214/20-AOAS1425.short
38463692,Electron J Stat,Unknown,2023,10.1214/23-ejs2151,https://projecteuclid.org/journals/electronic-journal-of-statistics/volume-17/issue-2/Adversarial-meta-learning-of-Gamma-minimax-estimators-that-leverage-prior/10.1214/23-EJS2151.full
28845209,Electron J Stat,Unknown,2017,10.1214/17-EJS1251,https://projecteuclid.org/journals/electronic-journal-of-statistics/volume-11/issue-1/Nearly-assumptionless-screening-for-the-mutually-exciting-multivariate-Hawkes-process/10.1214/17-EJS1251.full
21113327,Collections,Unknown,2010,10.1214/10-IMSCOLL607,https://projecteuclid.org/ebooks/institute-of-mathematical-statistics-collections/Borrowing-Strength--Theory-Powering-Applications--A-Festschrift-for/chapter/High-dimensional-Bernstein-von-Mises-simple-examples/10.1214/10-IMSCOLL607
35321441,Ann I H P Probab Stat,Unknown,2020,10.1214/19-aihp1034,https://projecteuclid.org/journals/annales-de-linstitut-henri-poincare-probabilites-et-statistiques/volume-56/issue-3/Performance-guarantees-for-policy-learning/10.1214/19-AIHP1034.full
38770434,Bayesian Anal,Unknown,2023,10.1214/22-ba1308,https://projecteuclid.org/journals/bayesian-analysis/volume-18/issue-2/Shrinkage-with-Shrunken-Shoulders--Gibbs-Sampling-Shrinkage-Model-Posteriors/10.1214/22-BA1308.full
35978607,Bayesian Anal,Unknown,2019,10.1214/19-BA1169,https://projecteuclid.org/journals/bayesian-analysis/volume-14/issue-4/Latent-Nested-Nonparametric-Priors-with-Discussion/10.1214/19-BA1169.full
34733110,Bernoulli (Andover),Unknown,2021,10.3150/20-BEJ1309,https://projecteuclid.org/journals/bernoulli/volume-27/issue-4/Universal-sieve-based-strategies-for-efficient-estimation-using-machine-learning/10.3150/20-BEJ1309.short
25313292,Bernoulli (Andover),Unknown,2014,10.3150/12-BEJ499,https://projecteuclid.org/journals/bernoulli/volume-20/issue-2/Information-bounds-for-Gaussian-copulas/10.3150/12-BEJ499.full
23667298,Ann Appl Probab,Unknown,2012,10.1214/11-AAP819,https://projecteuclid.org/journals/annals-of-applied-probability/volume-22/issue-5/Fast-approach-to-the-TracyWidom-law-at-the-edge-of/10.1214/11-AAP819.full
31274932,Rocky Mt J Math,Unknown,2017,10.1216/RMJ-2017-47-4-1227,https://projecteuclid.org/journals/rocky-mountain-journal-of-mathematics/volume-47/issue-4/Heron-quadrilaterals-via-elliptic-curves/10.1216/RMJ-2017-47-4-1227.full
37799327,Braz J Probab Stat,Unknown,2016,10.1214/15-bjps283,https://projecteuclid.org/journals/brazilian-journal-of-probability-and-statistics/volume-30/issue-3/A-semiparametric-Bayesian-model-for-comparing-DNA-copy-numbers/10.1214/15-BJPS283.full
38638306,Stat Sci,Unknown,2023,10.1214/23-sts890,https://projecteuclid.org/journals/statistical-science/volume-38/issue-4/Methods-for-Integrating-Trials-and-Non-experimental-Data-to-Examine/10.1214/23-STS890.full
28979066,Stat Sci,Unknown,2016,10.1214/15-STS533,https://projecteuclid.org/journals/statistical-science/volume-31/issue-1/Mitigating-Bias-in-Generalized-Linear-Mixed-Models--The-Case/10.1214/15-STS533.full
31423074,Electron J Probab,Unknown,2019,10.1214/19-EJP282,https://projecteuclid.org/journals/electronic-journal-of-probability/volume-24/issue-none/A-random-walk-with-catastrophes/10.1214/19-EJP282.full
31396009,Electron J Probab,Unknown,2019,10.1214/19-EJP330,https://projecteuclid.org/journals/electronic-journal-of-probability/volume-24/issue-none/Random-walks-in-a-moderately-sparse-random-environment/10.1214/19-EJP330.full
23599556,Ann Probab,Unknown,2012,10.1214/11-AOP653,https://projecteuclid.org/journals/annals-of-probability/volume-40/issue-4/Generalized-self-intersection-local-time-for-a-superprocess-over-a/10.1214/11-AOP653.full
