PMID,Journal,publisher_guess,year,doi,doi_url
38884978,Health Psychol,Unknown,2024,10.1037/hea0001386,https://psycnet.apa.org:443/doiLanding?doi=10.1037/hea0001386&
38512211,Health Psychol,Unknown,2024,10.1037/hea0001379,https://psycnet.apa.org:443/doiLanding?doi=10.1037/hea0001379&
31548915,Sport Exerc Perform Psychol,Unknown,2019,10.1037/spy0000157,https://psycnet.apa.org:443/doiLanding?doi=10.1037/spy0000157&
29130023,Sport Exerc Perform Psychol,Unknown,2017,10.1037/spy0000098,https://psycnet.apa.org:443/doiLanding?doi=10.1037/spy0000098&
38799224,Stigma Health,Unknown,2024,10.1037/sah0000312,https://psycnet.apa.org:443/doiLanding?doi=10.1037/sah0000312&
37636031,Stigma Health,Unknown,2023,10.1037/sah0000406,https://psycnet.apa.org:443/doiLanding?doi=10.1037/sah0000406&
38435411,Behav Anal (Wash D C),Unknown,2023,10.1037/bar0000269,https://psycnet.apa.org:443/doiLanding?doi=10.1037/bar0000269&
29333486,Behav Anal (Wash D C),Unknown,2017,10.1037/bar0000074,https://psycnet.apa.org:443/fulltext/2017-51612-003.html
38586162,Pract Innov (Wash D C),Unknown,2024,10.1037/pri0000230,https://psycnet.apa.org:443/doiLanding?doi=10.1037/pri0000230&
30906873,Pract Innov (Wash D C),Unknown,2018,10.1037/pri0000070,https://psycnet.apa.org:443/doiLanding?doi=10.1037/pri0000070&
38269365,Psychol Aesthet Creat Arts,Unknown,2023,10.1037/aca0000401,https://psycnet.apa.org:443/doiLanding?doi=10.1037/aca0000401&
28458764,Psychol Aesthet Creat Arts,Unknown,2016,10.1037/aca0000046,https://psycnet.apa.org:443/doiLanding?doi=10.1037/aca0000046&
38780567,J Exp Psychol Anim Learn Cogn,Unknown,2024,10.1037/xan0000381,https://psycnet.apa.org:443/fulltext/2024-85609-001.html
37079823,J Exp Psychol Anim Learn Cogn,Unknown,2023,10.1037/xan0000349,https://psycnet.apa.org:443/doiLanding?doi=10.1037/xan0000349&
