PMID,Journal,publisher_guess,year,doi,doi_url
976558,Aust J Zool,Unknown,1976,10.1071/zo9760019,https://www.publish.csiro.au/zo/ZO9760019
4475649,Aust J Zool,Unknown,1974,10.1071/zo9740277,https://www.publish.csiro.au/zo/ZO9740277
38909607,Invertebr Syst,Unknown,2024,10.1071/IS24010,https://www.publish.csiro.au/IS/IS24010
38744524,Invertebr Syst,Unknown,2024,10.1071/IS23041,https://www.publish.csiro.au/IS/IS23041
38902906,Funct Plant Biol,Unknown,2024,10.1071/FP24058,https://www.publish.csiro.au/FP/FP24058
37780415,Aust J Chem,Unknown,2023,10.1071/ch23063,https://www.publish.csiro.au/CH/CH23063
22399824,Aust J Chem,Unknown,2011,10.1071/ch11264,https://www.publish.csiro.au/ch/CH11264
11537970,Aust J Plant Physiol,Unknown,1993,10.1071/pp9930771,https://www.publish.csiro.au/fp/PP9930771
30505203,Mar Freshw Res,Unknown,2017,10.1071/MF16372,https://www.publish.csiro.au/mf/MF16372
22319023,Mar Freshw Res,Unknown,2011,10.1071/MF10282,https://www.publish.csiro.au/mf/MF10282
3271386,Aust J Biol Sci,Unknown,1988,10.1071/bi9880589,https://www.publish.csiro.au/bi/BI9880589
3662967,Aust J Biol Sci,Unknown,1987,10.1071/bi9870125,https://www.publish.csiro.au/bi/BI9870125
38914423,Aust Health Rev,Unknown,2024,10.1071/AH24117,https://www.publish.csiro.au/ah/AH24117
38029447,Aust Health Rev,Unknown,2023,10.1071/AH23186,https://www.publish.csiro.au/AH/AH23186
18386420,Hist Rec Aust Sci,Unknown,2000,10.1071/hr0001320161,https://www.publish.csiro.au/hr/HR0001320161
11617106,Hist Rec Aust Sci,Unknown,1985,10.1071/hr9850620115,https://www.publish.csiro.au/hr/HR9850620115
21423860,Aust Syst Bot,Unknown,2008,10.1071/sb08010,https://www.publish.csiro.au/sb/SB08010
38905444,Reprod Fertil Dev,Unknown,2024,10.1071/RD23233,https://www.publish.csiro.au/RD/RD23233
38739739,Aust J Prim Health,Unknown,2024,10.1071/PY23173,https://www.publish.csiro.au/PY/PY23173
38237267,Aust J Prim Health,Unknown,2024,10.1071/PY23045,https://www.publish.csiro.au/PY/PY23045
38546785,J Prim Health Care,Unknown,2024,10.1071/HC23081,https://www.publish.csiro.au/HC/HC23081
37756242,J Prim Health Care,Unknown,2023,10.1071/HC23099,https://www.publish.csiro.au/HC/HC23099
38875446,Brain Impair,Unknown,2024,10.1071/IB23111,https://www.publish.csiro.au/IB/IB23111
38833543,Sex Health,Unknown,2024,10.1071/SH24033,https://www.publish.csiro.au/SH/SH24033
38566300,Sex Health,Unknown,2024,10.1071/SH23126_CO,https://www.publish.csiro.au/SH/SH23126_CO
33692653,Environ Chem,Unknown,2020,10.1071/en19270,https://www.publish.csiro.au/en/EN19270
34316290,Environ Chem,Unknown,2019,10.1071/EN19047,https://www.publish.csiro.au/en/EN19047
33312239,Crop Pasture Sci,Unknown,2018,10.1071/CP17348,https://www.publish.csiro.au/cp/CP17348
32226946,Microbiol Aust,Unknown,2020,10.1071/MA20013,https://www.publish.csiro.au/ma/MA20013
12333019,Aust J Agric Res,Unknown,1972,10.1071/ar9720473,https://www.publish.csiro.au/cp/AR9720473
12331907,Aust J Agric Res,Unknown,1970,10.1071/ar9700807,https://www.publish.csiro.au/cp/AR9700807
38588711,Funct Plant Biol,Unknown,2024,10.1071/FP23312,https://www.publish.csiro.au/FP/FP23312
12987372,Aust J Sci Res B,Unknown,1952,10.1071/bi9520374,https://www.publish.csiro.au/bi/BI9520374
24539954,Aust J Sci Res B,Unknown,1950,10.1071/bi9500474,https://www.publish.csiro.au/bi/BI9500474
35875325,Int J Wildland Fire,Unknown,2022,10.1071/wf20140,https://www.publish.csiro.au/WF/WF20140
33424209,Int J Wildland Fire,Unknown,2018,10.1071/wf18053,https://www.publish.csiro.au/wf/WF18053
33584863,Soil Res,Unknown,2017,10.1071/SR16332,https://www.publish.csiro.au/sr/SR16332
