PMID,Journal,publisher_guess,year,doi,doi_url
31396364,Am Econ J Microecon,Unknown,2018,10.1257/mic.20160125,https://pubs.aeaweb.org/doi/10.1257/mic.20160125
25664144,Am Econ J Microecon,Unknown,2015,10.1257/mic.20120109,https://pubs.aeaweb.org/doi/10.1257/mic.20120109
38013825,Am Econ J Appl Econ,Unknown,2023,10.1257/app.20210692,https://pubs.aeaweb.org/doi/10.1257/app.20210692
24163722,Am Econ J Appl Econ,Unknown,2013,10.1257/app.5.2.58,https://pubs.aeaweb.org/doi/10.1257/app.5.2.58
38144872,Am Econ Rev,Unknown,2023,10.1257/aer.20210013,https://pubs.aeaweb.org/doi/10.1257/aer.20210013
37986734,J Econ Perspect,Unknown,2022,10.1257/jep.36.2.149,https://pubs.aeaweb.org/doi/10.1257/jep.36.2.149
20052301,J Econ Perspect,Unknown,2009,10.1257/jep.23.3.77,https://pubs.aeaweb.org/doi/10.1257/jep.23.3.77
38433953,Am Econ J Econ Policy,Unknown,2024,10.1257/pol.20210393,https://pubs.aeaweb.org/doi/10.1257/pol.20210393
27928462,Am Econ J Econ Policy,Unknown,2015,10.1257/pol.20140262,https://pubs.aeaweb.org/doi/10.1257/pol.20140262
37009208,Am Econ Rev Insights,Unknown,2022,10.1257/aeri.20200792,https://pubs.aeaweb.org/doi/10.1257/aeri.20200792
38665387,AEA Pap Proc,Unknown,2023,10.1257/pandp.20231112,https://pubs.aeaweb.org/doi/10.1257/pandp.20231112
38125738,AEA Pap Proc,Unknown,2021,10.1257/pandp.20211016,https://pubs.aeaweb.org/doi/10.1257/pandp.20211016
37075070,J Econ Lit,Unknown,2022,10.1257/jel.20201482,https://pubs.aeaweb.org/doi/10.1257/jel.20201482
11657714,Am Enterp,Unknown,1999,10.1257/aer.89.2.261,https://pubs.aeaweb.org/doi/10.1257/aer.89.2.261
