PMID,Journal,publisher_guess,year,doi,doi_url
38912290,Struct Dyn,Unknown,2024,10.1063/4.0000259,https://pubs.aip.org/aca/sdy/article-abstract/11/3/030401/3299182/Preface-to-Special-Topic-The-Advent-of-Ultrafast-X?redirectedFrom=fulltext
38304444,Struct Dyn,Unknown,2024,10.1063/4.0000238,https://pubs.aip.org/aca/sdy/article/11/1/014301/3261390/BioCARS-Synchrotron-facility-for-probing
38784221,Appl Phys Rev,Unknown,2024,10.1063/5.0171364,https://pubs.aip.org/apr/article/11/1/011306/3135212/Interplay-of-graphene-DNA-interactions-Unveiling
35003482,Appl Phys Rev,Unknown,2021,10.1063/5.0070658,https://pubs.aip.org/apr/article/8/4/041326/1076111/Understanding-and-utilizing-textile-based
38899164,Biomicrofluidics,Unknown,2024,10.1063/5.0206058,https://pubs.aip.org/aip/bmf/article-abstract/18/3/031506/3298670/Application-and-prospect-of-microfluidic-devices?redirectedFrom=fulltext
37425484,Biomicrofluidics,Unknown,2023,10.1063/5.0146375,https://pubs.aip.org/aip/bmf/article-abstract/17/4/044101/2901147/Machine-learning-augmented-fluid-dynamics?redirectedFrom=fulltext
37849975,Phys Fluids (1994),Unknown,2023,10.1063/5.0167285,https://pubs.aip.org/aip/pof/article-abstract/35/10/103117/2916695/Deciphering-viscoelastic-cell-manipulation-in?redirectedFrom=fulltext
33953531,Phys Fluids (1994),Unknown,2021,10.1063/5.0048848,https://pubs.aip.org/aip/pof/article/33/4/047111/1065725/Evaluating-flow-field-and-expelled-droplets-in-the
38836787,Biointerphases,Unknown,2024,10.1116/6.0003611,https://pubs.aip.org/avs/bip/article-abstract/19/3/031002/3296059/Tailoring-bisphosphonate-doped-titanium-films-to?redirectedFrom=fulltext
37850854,Biointerphases,Unknown,2023,10.1116/6.0003009,https://pubs.aip.org/avs/bip/article-abstract/18/5/051002/2917385/Using-1-8-cineole-plasma-with-both-pulsed-and?redirectedFrom=fulltext
20526428,J Vac Sci Technol B Microelectron Nanometer Struct Process Meas Phenom,Unknown,2009,10.1116/1.3259953,https://pubs.aip.org/avs/jvb/article-abstract/27/6/3088/591235/Gold-tipped-elastomeric-pillars-for-cellular?redirectedFrom=fulltext
