PMID,Journal,publisher_guess,year,doi,doi_url
26500714,Perspect Gerontol,Unknown,2012,10.1044/gero17.2.37,http://pubs.asha.org/doi/10.1044/gero17.2.37
27057267,Perspect Speech Sci Orofac Disord,Unknown,2015,10.1044/ssod25.1.17,https://pubs.asha.org/doi/10.1044/ssod25.1.17
24027604,Perspect Neurophysiol Neurogenic Speech Lang Disord,Unknown,2012,10.1044/nnsld22.2.67,https://pubs.asha.org/doi/10.1044/nnsld22.2.67
20011667,Perspect Neurophysiol Neurogenic Speech Lang Disord,Unknown,2008,10.1044/nnsld18.2.45,https://pubs.asha.org/doi/10.1044/nnsld18.2.45
26366247,Perspect Lang Learn Educ,Unknown,2015,10.1044/lle22.2.50,http://pubs.asha.org/doi/10.1044/lle22.2.50
20442807,Perspect Lang Learn Educ,Unknown,2008,10.1044/lle15.3.119,http://pubs.asha.org/doi/10.1044/lle15.3.119
38913843,J Speech Lang Hear Res,Unknown,2024,10.1044/2024_JSLHR-23-00527,https://pubs.asha.org/doi/10.1044/2024_JSLHR-23-00527
38683058,J Speech Lang Hear Res,Unknown,2024,10.1044/2024_JSLHR-23-00576,https://pubs.asha.org/doi/10.1044/2024_JSLHR-23-00576
2232759,J Speech Hear Disord,Unknown,1990,10.1044/jshd.5504.804,https://pubs.asha.org/doi/10.1044/jshd.5504.804
2381185,J Speech Hear Disord,Unknown,1990,10.1044/jshd.5503.434,http://pubs.asha.org/doi/10.1044/jshd.5503.434
8959616,J Speech Hear Res,Unknown,1996,10.1044/jshr.3906.1315,http://pubs.asha.org/doi/10.1044/jshr.3906.1315
8959600,J Speech Hear Res,Unknown,1996,10.1044/jshr.3906.1149,https://pubs.asha.org/doi/10.1044/jshr.3906.1149
38900988,Am J Audiol,Unknown,2024,10.1044/2024_AJA-23-00177,https://pubs.asha.org/doi/10.1044/2024_AJA-23-00177
38635409,Am J Audiol,Unknown,2024,10.1044/2024_AJA-23-00256,https://pubs.asha.org/doi/10.1044/2024_AJA-23-00256
14946845,J Speech Disord,Unknown,1952,10.1044/jshd.1702.213,https://pubs.asha.org/doi/10.1044/jshd.1702.213
24244099,ASHA Lead,Unknown,2012,10.1044/sasd21.2.52,http://pubs.asha.org/doi/10.1044/sasd21.2.52
24392179,Perspect Augment altern commun,Unknown,2012,10.1044/aac21.4.159,http://pubs.asha.org/doi/10.1044/aac21.4.159
23710266,Perspect Augment altern commun,Unknown,2011,10.1044/aac20.4.119,https://pubs.asha.org/doi/10.1044/aac20.4.119
26929789,Perspect Hear Hear Disord Child,Unknown,2015,10.1044/hhdc25.2.48,https://pubs.asha.org/doi/10.1044/hhdc25.2.48
38901004,Am J Speech Lang Pathol,Unknown,2024,10.1044/2024_AJSLP-23-00456,https://pubs.asha.org/doi/10.1044/2024_AJSLP-23-00456
38536727,Am J Speech Lang Pathol,Unknown,2024,10.1044/2024_AJSLP-23-00405,https://pubs.asha.org/doi/10.1044/2024_AJSLP-23-00405
38913847,Lang Speech Hear Serv Sch,Unknown,2024,10.1044/2024_LSHSS-23-00170,https://pubs.asha.org/doi/10.1044/2024_LSHSS-23-00170
38701432,Lang Speech Hear Serv Sch,Unknown,2024,10.1044/2024_LSHSS-23-00106,https://pubs.asha.org/doi/10.1044/2024_LSHSS-23-00106
38912383,Perspect ASHA Spec Interest Groups,Unknown,2024,10.1044/2024_PERSP-23-00204,https://pubs.asha.org/doi/10.1044/2024_PERSP-23-00204
31544152,Perspect ASHA Spec Interest Groups,Unknown,2019,10.1044/2018_PERS-SIG3-2018-0014,https://pubs.asha.org/doi/10.1044/2018_PERS-SIG3-2018-0014
21949564,Perspect Fluen Fluen Disord,Unknown,2010,10.1044/ffd20.2.51,https://pubs.asha.org/doi/10.1044/ffd20.2.51
