PMID,Journal,publisher_guess,year,doi,doi_url
5136495,Discuss Faraday Soc,Unknown,1971,10.1039/df9715100190,https://pubs.rsc.org/en/content/articlelanding/1971/df/df9715100190
1231999,Faraday Discuss Chem Soc,Unknown,1975,10.1039/dc9755900218,https://pubs.rsc.org/en/content/articlelanding/1975/dc/dc9755900218
38694426,React Chem Eng,Unknown,2024,10.1039/d3re00490b,https://pubs.rsc.org/en/content/articlelanding/2024/re/d3re00490b
38798903,Environ Sci (Camb),Unknown,2024,10.1039/D3EW00915G,https://pubs.rsc.org/en/content/articlelanding/2024/ew/d3ew00915g
36353217,Environ Sci (Camb),Unknown,2022,10.1039/d2ew00127f,https://pubs.rsc.org/en/content/articlelanding/2022/ew/d2ew00127f
38881831,Environ Sci Nano,Unknown,2024,10.1039/d3en00382e,https://pubs.rsc.org/en/content/articlelanding/2024/en/d3en00382e
25621175,Environ Sci Nano,Unknown,2014,10.1039/C3EN00053B,https://pubs.rsc.org/en/content/articlelanding/2014/en/c3en00053b
38916578,Mater Horiz,Unknown,2024,10.1039/d4mh00066h,https://pubs.rsc.org/en/content/articlelanding/2024/mh/d4mh00066h
38647314,Mater Horiz,Unknown,2024,10.1039/d4mh00023d,https://pubs.rsc.org/en/content/articlelanding/2024/mh/d4mh00023d
38420599,Inorg Chem Front,Unknown,2024,10.1039/d3qi02482b,https://pubs.rsc.org/en/content/articlelanding/2024/qi/d3qi02482b
38235273,Inorg Chem Front,Unknown,2024,10.1039/d3qi02032k,https://pubs.rsc.org/en/content/articlelanding/2024/qi/d3qi02032k
38298566,Org Chem Front,Unknown,2024,10.1039/d3qo01865b,https://pubs.rsc.org/en/content/articlelanding/2024/qo/d3qo01865b
38298564,Org Chem Front,Unknown,2024,10.1039/d3qo01762a,https://pubs.rsc.org/en/content/articlelanding/2024/qo/d3qo01762a
38419975,CrystEngComm,Unknown,2024,10.1039/d3ce01062g,https://pubs.rsc.org/en/content/articlelanding/2024/ce/d3ce01062g
26778918,CrystEngComm,Unknown,2015,10.1039/C5CE01148E,https://pubs.rsc.org/en/content/articlelanding/2015/ce/c5ce01148e
38916454,Chem Commun (Camb),Unknown,2024,10.1039/d4cc02638a,https://pubs.rsc.org/en/content/articlelanding/2024/cc/d4cc02638a
38881339,Chem Commun (Camb),Unknown,2024,10.1039/d4cc01870b,https://pubs.rsc.org/en/content/articlelanding/2024/cc/d4cc01870b
38912871,Chem Soc Rev,Unknown,2024,10.1039/d4cs00390j,https://pubs.rsc.org/en/content/articlelanding/2024/cs/d4cs00390j
38465517,Chem Soc Rev,Unknown,2024,10.1039/d3cs00923h,https://pubs.rsc.org/en/content/articlelanding/2024/cs/d3cs00923h
30364406,J Chem Soc Chem Commun,Unknown,1992,10.1039/C39920001673,https://pubs.rsc.org/en/content/articlelanding/1992/c3/c39920001673
27867221,J Chem Soc Chem Commun,Unknown,1991,10.1039/C39910001161,https://pubs.rsc.org/en/content/articlelanding/1991/c3/c39910001161
38737797,J Anal At Spectrom,Unknown,2024,10.1039/d4ja00058g,https://pubs.rsc.org/en/content/articlelanding/2024/ja/d4ja00058g
36776552,J Anal At Spectrom,Unknown,2023,10.1039/d2ja00134a,https://pubs.rsc.org/en/content/articlelanding/2023/ja/d2ja00134a
24092955,J Mater Chem,Unknown,2012,10.1039/C2JM34782B,https://pubs.rsc.org/en/content/articlelanding/2012/jm/c2jm34782b
20740060,J Mater Chem,Unknown,2009,10.1039/b904197d,https://pubs.rsc.org/en/content/articlelanding/2009/jm/b904197d
38689796,New J Chem,Unknown,2024,10.1039/d4nj00859f,https://pubs.rsc.org/en/content/articlelanding/2024/nj/d4nj00859f
25214759,New J Chem,Unknown,2014,10.1039/C4NJ00521J,https://pubs.rsc.org/en/content/articlelanding/2014/nj/c4nj00521j
38910409,Faraday Discuss,Unknown,2024,10.1039/d3fd00156c,https://pubs.rsc.org/en/content/articlelanding/2024/fd/d3fd00156c
37812402,Faraday Discuss,Unknown,2024,10.1039/d3fd00090g,https://pubs.rsc.org/en/content/articlelanding/2024/fd/d3fd00090g
38841155,Catal Sci Technol,Unknown,2024,10.1039/d4cy00204k,https://pubs.rsc.org/en/content/articlelanding/2024/cy/d4cy00204k
30319759,Catal Sci Technol,Unknown,2018,10.1039/c8cy01214h,https://pubs.rsc.org/en/content/articlelanding/2018/cy/c8cy01214h
38916870,Nanoscale,Unknown,2024,10.1039/d4nr02110j,https://pubs.rsc.org/en/content/articlelanding/2024/nr/d4nr02110j
38869377,Nanoscale,Unknown,2024,10.1039/d4nr01328j,https://pubs.rsc.org/en/content/articlelanding/2024/nr/d4nr01328j
38912177,J Mater Chem C Mater,Unknown,2024,10.1039/d4tc01401d,https://pubs.rsc.org/en/content/articlelanding/2024/tc/d4tc01401d
