PMID,Journal,publisher_guess,year,doi,doi_url
36034163,Oper Res,Unknown,2022,10.1287/opre.2021.2123,https://pubsonline.informs.org/doi/10.1287/opre.2021.2123
10112157,Oper Res,Unknown,1991,10.1287/opre.39.3.484,https://pubsonline.informs.org/doi/10.1287/opre.39.3.484
38223784,Manage Sci,Unknown,2023,10.1287/mnsc.2023.01831,https://pubsonline.informs.org/doi/10.1287/mnsc.2023.01831
33033417,Manage Sci,Unknown,2018,10.1287/mnsc.2017.2900,https://pubsonline.informs.org/doi/10.1287/mnsc.2017.2900
38883557,INFORMS J Comput,Unknown,2024,10.1287/ijoc.2022.0207,https://pubsonline.informs.org/doi/10.1287/ijoc.2022.0207
35814619,INFORMS J Comput,Unknown,2022,10.1287/ijoc.2021.1062,https://pubsonline.informs.org/doi/10.1287/ijoc.2021.1062
24489978,Serv Sci,Unknown,2012,10.1287/serv.1120.0030,https://pubsonline.informs.org/doi/10.1287/serv.1120.0030
36452218,Manuf Serv Oper Manag,Unknown,2022,10.1287/msom.2022.1110,https://pubsonline.informs.org/doi/10.1287/msom.2022.1110
26966422,Decis Anal,Unknown,2015,10.1287/deca.2015.0314,https://pubsonline.informs.org/doi/10.1287/deca.2015.0314
34421152,Interfaces (Providence),Unknown,2015,10.1287/inte.2015.0810,https://pubsonline.informs.org/doi/10.1287/inte.2015.0810
21760650,Interfaces (Providence),Unknown,2011,10.1287/inte.1100.0511,https://pubsonline.informs.org/doi/10.1287/inte.1100.0511
29569650,Inf Syst Res,Unknown,2017,10.1287/isre.2016.0676,https://pubsonline.informs.org/doi/10.1287/isre.2016.0676
