PMID,Journal,publisher_guess,year,doi,doi_url
38905586,Int J Prosthodont,Unknown,2024,10.11607/ijp.8301,https://www.quintessence-publishing.com/usa/en/article/5488197/the-international-journal-of-prosthodontics/2024/03/does-continuous-chemical-disinfection-affect-mechanical-properties-of-cadcam-pmma
38787589,Int J Prosthodont,Unknown,2024,10.11607/ijp.8828,https://www.quintessence-publishing.com/usa/en/article/5379595/the-international-journal-of-prosthodontics/2024/07/additive-manufacturing-technologies-where-did-we-start-and-where-have-we-landed-a-narrative-review
24171187,J Orofac Pain,Unknown,2013,10.11607/jop.1164,https://www.quintessence-publishing.com/usa/en?iss2_id=1154&article_id=13648&article=10&title=Cutaneous%2520Mastocytosis%2520as%2520a%2520Rare%2520Differential%2520Diagnosis%2520for%2520Unilateral%2520Chronic%2520Facial%2520Pain%2520and%2520Erythema:%2520A%2520Case%2520Report#.UnAWdiSJSiY
38785223,J Adhes Dent,Unknown,2024,10.3290/j.jad.b5378611,https://www.quintessence-publishing.com/deu/de/article/5378611/the-journal-of-adhesive-dentistry/2024/volume-26/the-influence-of-erbium-laser-pretreatment-on-dentin-shear-bond-strength-and-bond-failure-modes-a-systematic-review-and-network-meta-analysis
37843502,J Adhes Dent,Unknown,2023,10.3290/j.jad.b4515555,https://www.quintessence-publishing.com/deu/de/article/4515555/the-journal-of-adhesive-dentistry/2023/volume-25/new-methods-for-replacing-single-missing-teeth-with-non-prep-bridges-npbs-a-case-series
38546525,Chin J Dent Res,Unknown,2024,10.3290/j.cjdr.b5128671,https://www.quintessence-publishing.com/deu/de/article/5128671/chinese-journal-of-dental-research/2024/01/hub-genes-possible-pathways-and-predicted-drugs-in-hereditary-gingival-fibromatosis-by-bioinformatics-analysis
35293708,Chin J Dent Res,Unknown,2022,10.3290/j.cjdr.b2752709,https://www.quintessence-publishing.com/deu/de/article/2752709/chinese-journal-of-dental-research/2022/01/microspheres-and-their-potential-in-endodontic-regeneration-application
38912671,Quintessence Int,Unknown,2024,10.3290/j.qi.b5503749,https://www.quintessence-publishing.com/deu/de/article/5503749/quintessence-international/preprint/integrative-approach-for-supernumerary-teeth-a-single-center-retrospective-analysis
38619260,Quintessence Int,Unknown,2024,10.3290/j.qi.b5213685,https://www.quintessence-publishing.com/deu/de/article/5213685/quintessence-international/2024/06/marginal-bone-loss-in-ball-versus-locator-attachments-in-implant-retained-overdentures-systematic-review-and-meta-analysis
38905119,Int J Oral Maxillofac Implants,Unknown,2024,10.11607/jomi.10360,https://www.quintessence-publishing.com/usa/en/article/5487237/the-international-journal-of-oral-maxillofacial-implants/2024/03/il-6-inhibitor-tocilizumab-reduces-bone-resorption-around-implants-with-bacterial-infection-during-osseointegration-a-pilot-study-in-rabbits
38394442,Int J Oral Maxillofac Implants,Unknown,2024,10.11607/jomi.10787,https://www.quintessence-publishing.com/usa/en/article/5016289/the-international-journal-of-oral-maxillofacial-implants/preprint/analyzing-linear-and-angular-deviations-after-guided-surgery-for-dental-implant-placement-a-preliminary-study
38820278,Int J Periodontics Restorative Dent,Unknown,2024,10.11607/prd.7197,https://www.quintessence-publishing.com/usa/en/article/5416567/international-journal-of-periodontics-restorative-dentistry/preprint/the-use-of-titanium-pins-for-the-management-and-fixation-of-free-gingival-grafts-and-apically-repositioned-flaps-during-vestibuloplasty.-a-technique-report
37677141,Int J Periodontics Restorative Dent,Unknown,2023,10.11607/prd.6664,https://www.quintessence-publishing.com/usa/en/article/4378103/international-journal-of-periodontics-restorative-dentistry/preprint/one-year-outcomes-of-subcrestal-platform-switched-implants-with-and-without-sterile-prosthetic-abutments-a-randomized-controlled-trial
38842260,Int J Comput Dent,Unknown,2024,10.3290/j.ijcd.b5434089,https://www.quintessence-publishing.com/deu/de/article/5434089/international-journal-of-computerized-dentistry/2024/02/leitlinien-in-der-zahn-medizin
36625372,Int J Comput Dent,Unknown,2023,10.3290/j.ijcd.b3774269,https://www.quintessence-publishing.com/deu/de/article/3774269/international-journal-of-computerized-dentistry/2023/03/vergleich-der-belastbarkeit-von-keramikkronen-mit-zirkonoxid-und-polyetherketonketon-geruesten
38864381,Oral Health Prev Dent,Unknown,2024,10.3290/j.ohpd.b5458595,https://www.quintessence-publishing.com/deu/de/article/5458595/oral-health-and-preventive-dentistry/2024/volume-22/in-vitro-measurement-of-forces-during-debridement-with-a-piezoelectric-ultrasonic-periodontal-scaler
36259441,Oral Health Prev Dent,Unknown,2022,10.3290/j.ohpd.b3500619,https://www.quintessence-publishing.com/deu/de/article/3500619/oral-health-and-preventive-dentistry/2022/01/clinical-attitudes-behaviors-and-perceived-stress-towards-the-covid-19-pandemic-a-questionnaire-survey-among-swiss-dentists
23646344,Orthodontics (Chic.),Unknown,2013,10.11607/ortho.911,https://www.quintessence-publishing.com/usa/en?article_id=13212
