PMID,Journal,publisher_guess,year,doi,doi_url
18711845,South Atl Q,Unknown,2001,10.1215/00382876-100-2-423,https://read.dukeupress.edu/south-atlantic-quarterly/article-abstract/100/2/423/3076/Gendering-the-Revolution-Language-Politics-and-the?redirectedFrom=fulltext
21922686,Eighteenth Century Life,Unknown,2011,10.1215/00982601-1214101,https://read.dukeupress.edu/eighteenth-century-life/article-abstract/35/2/102/739/Society-Creativity-and-Science-Mrs-Delany-and-the?redirectedFrom=fulltext
18798375,Eighteenth Century Life,Unknown,2001,10.1215/00982601-25-1-17,https://read.dukeupress.edu/eighteenth-century-life/article-abstract/25/1/17/61154/A-Truly-Christian-Hero-Religion-Effeminacy-and?redirectedFrom=fulltext
29081535,Ethnohistory,Unknown,2017,10.1215/00141801-3688391,https://read.dukeupress.edu/ethnohistory/article-abstract/64/1/91/63354/Why-Shall-Wee-Have-Peace-to-Bee-Made-Slaves-Indian?redirectedFrom=fulltext
17985477,Ethnohistory,Unknown,2001,10.1215/00141801-48-4-613,https://read.dukeupress.edu/ethnohistory/article-abstract/48/4/613/8308/Does-the-House-Hold-History-and-the-Shape-of-Mien?redirectedFrom=fulltext
18198530,Radic Hist Rev,Unknown,2001,10.1215/01636545-2001-80-76,https://read.dukeupress.edu/radical-history-review/article-abstract/2001/80/76/52517/Of-Oxford-Bags-and-Twirling-Canes-The-State?redirectedFrom=fulltext
11615090,Radic Hist Rev,Unknown,1979,10.1215/01636545-1979-20-3,https://read.dukeupress.edu/radical-history-review/article-abstract/1979/20/3/75415/Sexual-Matters-On-Conceptualizing-Sexuality-In?redirectedFrom=fulltext
18677835,Hist Polit Econ,Unknown,2001,10.1215/00182702-33-4-697,https://read.dukeupress.edu/hope/article-abstract/33/4/697/12038/Malthus-Population-and-the-Generational-Bargain?redirectedFrom=fulltext
18464341,Hist Polit Econ,Unknown,2001,10.1215/00182702-33-3-437,https://read.dukeupress.edu/hope/article-abstract/33/3/437/12034/Max-Weber-s-Analysis-of-Marginal-Utility-Theory?redirectedFrom=fulltext
38861667,Demography,Unknown,2024,10.1215/00703370-11314758,https://read.dukeupress.edu/demography/article/61/3/665/387308/At-the-Intersection-of-Adverse-Life-Course
37905475,Demography,Unknown,2023,10.1215/00703370-11037907,https://read.dukeupress.edu/demography/article/60/6/1791/383167/Welfare-Reform-and-the-Quality-of-Young-Children-s
12283228,South Asia Bull,Unknown,1986,10.1215/07323867-6-1-38,https://read.dukeupress.edu/cssaame/article-abstract/6/1/38/581/The-Cultural-Articulation-of-Patriarchy-Legal?redirectedFrom=fulltext
12265860,South Asia Bull,Unknown,1982,10.1215/07323867-2-2-1,https://read.dukeupress.edu/cssaame/article-abstract/2/2/1/513/Emigration-and-Development-in-Pakistan?redirectedFrom=fulltext
25859054,Am Speech,Unknown,2013,10.1215/00031283-2322637,https://read.dukeupress.edu/american-speech/article-abstract/88/1/63/5965/EVERYBODY-SOUNDS-THE-Same-OTHERWISE-OVERLOOKED?redirectedFrom=fulltext
17607880,Am Lit,Unknown,2000,10.1215/00029831-72-2-291,https://read.dukeupress.edu/american-literature/article-abstract/72/2/291/3883/W-E-B-DuBois-s-Family-Crisis?redirectedFrom=fulltext
18807277,Fr Hist Stud,Unknown,2001,10.1215/00161071-24-2-185,https://read.dukeupress.edu/french-historical-studies/article-abstract/24/2/185/9340/Separated-by-Death-Burials-Cemeteries-and?redirectedFrom=fulltext
21212853,Hisp Am Hist Rev,Unknown,2010,10.1215/00182168-2010-044,https://read.dukeupress.edu/hahr/article-abstract/90/4/627/35909/Making-the-Immoral-Moral-Consensual-Unions-and?redirectedFrom=fulltext
37675079,Agric Hist,Unknown,2023,10.1215/00021482-10474437,https://read.dukeupress.edu/agricultural-history/article/97/3/414/381630/Diversifying-DescriptionSweet-Potato-Science-and
34191876,J Asian Stud,Unknown,2020,10.1017/S0021911820002338,https://read.dukeupress.edu/journal-of-asian-studies/article-abstract/79/3/621/321458/Afterword-Lives-Interrupted-Trends-Continued?redirectedFrom=fulltext
25729631,Hist Present (Champaign),Unknown,2011,10.5406/historypresent.1.2.0244,https://read.dukeupress.edu/history-of-the-present/article-abstract/1/2/244/152846/I-suffer-in-an-unknown-manner-that-is?redirectedFrom=fulltext
38836417,J Health Polit Policy Law,Unknown,2024,10.1215/03616878-11377933,https://read.dukeupress.edu/jhppl/article/doi/10.1215/03616878-11377933/388126/Policy-Feedback-and-the-Politics-of-Childhood
37988071,J Health Polit Policy Law,Unknown,2024,10.1215/03616878-11066336,https://read.dukeupress.edu/jhppl/article/49/3/351/383873/Partisanship-and-the-Pandemic-How-and-Why
22165433,World Policy J,Unknown,2011,10.1177/0740277511412480,https://read.dukeupress.edu/world-policy-journal/article-abstract/28/2/111/84914/Drinking-GamesCan-Russia-Admit-It-Has-a-Problem?redirectedFrom=fulltext
20229647,Positions (Durh N C),Unknown,2001,10.1215/10679847-9-1-105,https://read.dukeupress.edu/positions/article-abstract/9/1/105/22052/For-Your-Reading-Pleasure-Self-Health-Ziwo-Baojian?redirectedFrom=fulltext
36544892,Environ Humanit,Unknown,2022,10.1215/22011919-9962937,https://read.dukeupress.edu/environmental-humanities/article/14/3/618/319748/Queer-Ecology-in-Loie-Fuller-s-Modernist-Dance-and
29056881,Labor (Durh),Unknown,2012,10.1215/15476715-1634105,https://read.dukeupress.edu/labor/article-abstract/9/3/53/15482/Rosie-the-Riveter-s-Job-Market-Advertising-for?redirectedFrom=fulltext
