PMID,Journal,publisher_guess,year,doi,doi_url
6252555,Proc Clin Dial Transplant Forum,Unknown,1980,10.1098/rstb.1980.0092,https://royalsocietypublishing.org/doi/10.1098/rstb.1980.0092
6297852,Curr Popul Rep Spec Censuses,Unknown,1982,10.1098/rspb.1982.0098,https://royalsocietypublishing.org/doi/10.1098/rspb.1982.0098
38913067,Philos Trans R Soc Lond B Biol Sci,Unknown,2024,10.1098/rstb.2023.0128,https://royalsocietypublishing.org/doi/10.1098/rstb.2023.0128
38583474,Philos Trans R Soc Lond B Biol Sci,Unknown,2024,10.1098/rstb.2023.0011,https://royalsocietypublishing.org/doi/10.1098/rstb.2023.0011
26113752,Biogr Mem Fellows R Soc,Unknown,2013,10.1098/rsbm.2012.0038,https://royalsocietypublishing.org/doi/10.1098/rsbm.2012.0038
35974900,Notes Rec R Soc Lond,Unknown,2022,10.1098/rsnr.2022.0022,https://royalsocietypublishing.org/doi/10.1098/rsnr.2022.0022
31390415,Notes Rec R Soc Lond,Unknown,2017,10.1098/rsnr.2016.0011,https://royalsocietypublishing.org/doi/10.1098/rsnr.2016.0011
38725522,R Soc Open Sci,Unknown,2024,10.1098/rsos.240287,https://royalsocietypublishing.org/doi/10.1098/rsos.240287
38571911,R Soc Open Sci,Unknown,2024,10.1098/rsos.230740,https://royalsocietypublishing.org/doi/10.1098/rsos.230740
2165613,Proc R Soc Lond B Biol Sci,Unknown,1990,10.1098/rspb.1990.0047,https://royalsocietypublishing.org/doi/10.1098/rspb.1990.0047
1972989,Proc R Soc Lond B Biol Sci,Unknown,1990,10.1098/rspb.1990.0024,https://royalsocietypublishing.org/doi/10.1098/rspb.1990.0024
38618239,Interface Focus,Unknown,2024,10.1098/rsfs.2023.0068,https://royalsocietypublishing.org/doi/10.1098/rsfs.2023.0068
37065269,Interface Focus,Unknown,2023,10.1098/rsfs.2022.0041,https://royalsocietypublishing.org/doi/10.1098/rsfs.2022.0041
18129715,Proc R Soc Lond A Math Phys Sci,Unknown,1949,10.1098/rspa.1949.0045,https://royalsocietypublishing.org/doi/10.1098/rspa.1949.0045
38916901,J R Soc Interface,Unknown,2024,10.1098/rsif.2024.0042,https://royalsocietypublishing.org/doi/10.1098/rsif.2024.0042
38053385,J R Soc Interface,Unknown,2023,10.1098/rsif.2023.0485,https://royalsocietypublishing.org/doi/10.1098/rsif.2023.0485
37767180,Proc Math Phys Eng Sci,Unknown,2022,10.1098/rspa.2022.0177,https://royalsocietypublishing.org/doi/10.1098/rspa.2022.0177
35811638,Proc Math Phys Eng Sci,Unknown,2022,10.1098/rspa.2022.0026,https://royalsocietypublishing.org/doi/10.1098/rspa.2022.0026
38889776,Biol Lett,Unknown,2024,10.1098/rsbl.2024.0102,https://royalsocietypublishing.org/doi/10.1098/rsbl.2024.0102
38087941,Biol Lett,Unknown,2023,10.1098/rsbl.2023.0411,https://royalsocietypublishing.org/doi/10.1098/rsbl.2023.0411
38896086,Open Biol,Unknown,2024,10.1098/rsob.240028,https://royalsocietypublishing.org/doi/10.1098/rsob.240028
37922024,Open Biol,Unknown,2023,10.1098/rsob.230403,https://royalsocietypublishing.org/doi/10.1098/rsob.230403
38910456,Philos Trans A Math Phys Eng Sci,Unknown,2024,10.1098/rsta.2023.0124,https://royalsocietypublishing.org/doi/10.1098/rsta.2023.0124
38403059,Philos Trans A Math Phys Eng Sci,Unknown,2024,10.1098/rsta.2023.0145,https://royalsocietypublishing.org/doi/10.1098/rsta.2023.0145
11539065,Philos Trans R Soc Lond A,Unknown,1988,10.1098/rsta.1988.0072,https://royalsocietypublishing.org/doi/10.1098/rsta.1988.0072
38889795,Proc Biol Sci,Unknown,2024,10.1098/rspb.2024.1198,https://royalsocietypublishing.org/doi/10.1098/rspb.2024.1198
38628123,Proc Biol Sci,Unknown,2024,10.1098/rspb.2024.0524,https://royalsocietypublishing.org/doi/10.1098/rspb.2024.0524
11540310,Philos Trans Phys Sci Eng,Unknown,1994,10.1098/rsta.1994.0125,https://royalsocietypublishing.org/doi/10.1098/rsta.1994.0125
