PMID,Journal,publisher_guess,year,doi,doi_url
27708453,Chaucer Rev,Unknown,2016,10.5325/chaucerrev.51.1.0011,https://scholarlypublishingcollective.org/psup/chaucer/article-abstract/51/1/11/249913/Affective-Reading-Chaucer-Women-and-Romance?redirectedFrom=fulltext
38269304,Aquat Ecosyst Health Manag,Unknown,2022,10.14321/aehm.025.01.102,https://scholarlypublishingcollective.org/msup/aehm/article-abstract/25/1/102/315232/Autonomous-underwater-glider-observations-in?redirectedFrom=fulltext
28077928,Aquat Ecosyst Health Manag,Unknown,2015,10.1080/14634988.2015.1011030,https://scholarlypublishingcollective.org/msup/aehm/article-abstract/18/2/212/169236/Phytoplankton-composition-and-microcystin?redirectedFrom=fulltext
32973372,J Appalach Stud,Unknown,2020,10.5406/jappastud.26.1.0106,https://scholarlypublishingcollective.org/uip/jas/article-abstract/26/1/106/224672/Mountains-of-Abundance-A-Fruit-and-Vegetable?redirectedFrom=fulltext
22165428,J Am Folk,Unknown,2011,10.5406/jamerfolk.124.493.0147,https://scholarlypublishingcollective.org/uip/jaf/article-abstract/124/493/147/228313/On-the-Verge-Phenomenology-and-Empathic?redirectedFrom=fulltext
22165427,J Am Folk,Unknown,2011,10.5406/jamerfolk.124.493.0127,https://scholarlypublishingcollective.org/uip/jaf/article-abstract/124/493/127/228308/Folklore-as-a-Map-of-the-World-Rejecting-Home-as-a?redirectedFrom=fulltext
33678806,Am J Psychol,Unknown,2020,10.5406/amerjpsyc.133.3.0295,https://scholarlypublishingcollective.org/uip/ajp/article-abstract/133/3/295/257633/Attributing-Social-Meaning-to-Animated-Shapes-A?redirectedFrom=fulltext
29558052,Am J Psychol,Unknown,2016,10.5406/amerjpsyc.129.4.0443,https://scholarlypublishingcollective.org/uip/ajp/article-abstract/129/4/443/258552/Hierarchical-Mazes-in-Psychological-Research?redirectedFrom=fulltext
29098205,J Posthum Stud,Unknown,2017,10.5325/jpoststud.1.1.0026,https://scholarlypublishingcollective.org/psup/posthuman-studies/article-abstract/1/1/26/199975/Better-Minds-Better-Morals-A-Procedural-Guide-to?redirectedFrom=fulltext
29782622,AbOrig,Unknown,2017,10.5325/aboriginal.1.2.0176,https://scholarlypublishingcollective.org/psup/ab-original/article-abstract/1/2/176/201792/Language-as-a-Facilitator-of-Cultural-Connection?redirectedFrom=fulltext
