PMID,Journal,publisher_guess,year,doi,doi_url
32802944,World J Educ Res,Unknown,2020,10.22158/wjer.v7n3p1,http://www.scholink.org/ojs/index.php/wjer/article/view/3001
34734154,Res Health Sci,Unknown,2021,10.22158/rhs.v6n2p76,http://www.scholink.org/ojs/index.php/rhs/article/view/4185
33163825,Res Health Sci,Unknown,2020,10.22158/rhs.v5n4p46,http://www.scholink.org/ojs/index.php/rhs/article/view/3285
34307868,J Econ Public Financ,Unknown,2021,10.22158/jepf.v7n1p19,http://www.scholink.org/ojs/index.php/jepf/article/view/3524
33123624,J Econ Public Financ,Unknown,2020,10.22158/jepf.v6n4p1,http://www.scholink.org/ojs/index.php/jepf/article/view/3334
34308264,J Educ Cult Stud,Unknown,2021,10.22158/jecs.v5n1p1,http://www.scholink.org/ojs/index.php/jecs/article/view/3506
33241230,J Econ Trade Mark Manag,Unknown,2020,10.22158/jetmm.v2n4p38,http://www.scholink.org/ojs/index.php/jetmm/article/view/3355
33241229,J Psychol Behav Res,Unknown,2020,10.22158/jpbr.v2n2p49,http://www.scholink.org/ojs/index.php/jpbr/article/view/3385
33215166,Stud Soc Sci Res,Unknown,2020,10.22158/sssr.v1n2p62,http://www.scholink.org/ojs/index.php/sssr/article/view/3384
33299967,Child Teenagers,Unknown,2020,10.22158/ct.v3n2p72,http://www.scholink.org/ojs/index.php/ct/article/view/3467
33283174,Child Teenagers,Unknown,2020,10.22158/ct.v3n2p50,http://www.scholink.org/ojs/index.php/ct/article/view/3403
34308362,Adv Soc Sci Cult,Unknown,2020,10.22158/assc.v2n4p132,http://www.scholink.org/ojs/index.php/assc/article/view/3425
