PMID,Journal,publisher_guess,year,doi,doi_url
27695577,Int J Cancer Res,Unknown,2016,10.3923/ijcr.2016.92.100,https://scialert.net/abstract/?doi=ijcr.2016.92.100
27429653,Int J Cancer Res,Unknown,2016,10.3923/ijcr.2016.69.81,https://scialert.net/abstract/?doi=ijcr.2016.69.81
38840468,Pak J Biol Sci,Unknown,2024,10.3923/pjbs.2024.276.282,https://scialert.net/abstract/?doi=pjbs.2024.276.282
38516748,Pak J Biol Sci,Unknown,2024,10.3923/pjbs.2024.69.79,https://scialert.net/abstract/?doi=pjbs.2024.69.79
26180524,Int J Poult Sci,Unknown,2014,10.3923/ijps.2014.62.69,https://scialert.net/abstract/?doi=ijps.2014.62.69
25285100,Int J Poult Sci,Unknown,2011,10.3923/ijps.2011.680.684,https://scialert.net/abstract/?doi=ijps.2011.680.684
20209034,Trends Appl Sci Res,Unknown,2008,10.3923/tasr.2008.285.291,https://scialert.net/abstract/?doi=tasr.2008.285.291
33281888,Biotechnology (Faisalabad),Unknown,2018,10.3923/biotech.2018.12.18,https://scialert.net/abstract/?doi=biotech.2018.12.18
29861700,Am J Food Technol,Unknown,2011,10.3923/ajft.2011.235.243,https://scialert.net/abstract/?doi=ajft.2011.235.243
30271428,Asian J Plant Sci,Unknown,2013,10.3923/ajps.2013.11.20,https://scialert.net/abstract/?doi=ajps.2013.11.20
