PMID,Journal,publisher_guess,year,doi,doi_url
27547768,Clin Nurs Stud,Unknown,2015,10.5430/cns.v3n4p60,https://www.sciedupress.com/journal/index.php/cns/article/view/7059
27766266,Clin Nurs Stud,Unknown,2015,10.5430/cns.v3n1p82,https://www.sciedupress.com/journal/index.php/cns/article/view/5605
36579144,J Nurs Educ Pract,Unknown,2022,10.5430/jnep.v12n12p69,https://www.sciedupress.com/journal/index.php/jnep/article/view/22178
32968471,J Solid Tumors,Unknown,2020,10.5430/jst.v10n2p1,https://www.sciedupress.com/journal/index.php/jst/article/view/16204
37360571,Case Rep Intern Med,Unknown,2020,10.5430/crim.v7n1p1,https://www.sciedupress.com/journal/index.php/crim/article/view/15970
30976363,J Hosp Adm,Unknown,2019,10.5430/jha.v8n2p1,https://www.sciedupress.com/journal/index.php/jha/article/view/14340
27148428,J Hosp Adm,Unknown,2014,10.5430/jha.v3n6p103,https://www.sciedupress.com/journal/index.php/jha/article/view/5303
28798837,J Biomed Graph Comput,Unknown,2017,10.5430/jbgc.v7n1p1,https://www.sciedupress.com/journal/index.php/jbgc/article/view/10771
36741506,Int J Healthc,Unknown,2022,10.5430/ijh.v8n2p9,https://www.sciedupress.com/journal/index.php/ijh/article/view/21707
30410985,Int J Healthc,Unknown,2018,10.5430/ijh.v4n1p25,https://www.sciedupress.com/journal/index.php/ijh/article/view/12483
27331142,J Biomed Eng Inform,Unknown,2016,10.5430/jbei.v2n1p119,https://www.sciedupress.com/journal/index.php/jbei/article/view/7710
27857981,Case Stud Surg,Unknown,2016,10.5430/css.v2n4p58,https://www.sciedupress.com/journal/index.php/css/article/view/10294
28070226,Artif Intell Res,Unknown,2016,10.5430/air.v5n1p135,https://www.sciedupress.com/journal/index.php/air/article/view/8218
