PMID,Journal,publisher_guess,year,doi,doi_url
38896633,Mem Inst Oswaldo Cruz,Unknown,2024,10.1590/0074-02760240013,https://www.scielo.br/j/mioc/a/bWXnWVtKYbDGdkRj7trWZTg/?lang=en
36383820,Mem Inst Oswaldo Cruz,Unknown,2022,10.1590/0074-02760220114,https://www.scielo.br/j/mioc/a/RQvTYYJrCvzc7myD4dmV3Hh/?lang=en
23766547,Quim Nova,Unknown,2013,10.1590/S0100-40422013000200014,https://www.scielo.br/j/qn/a/9SxcQ9wnjCwZDvfyQzJJXPR/?lang=en
38896730,Braz J Biol,Unknown,2024,10.1590/1519-6984.281588,https://www.scielo.br/j/bjb/a/DKSfqZ6tcvP53L7FK8R4kQh/?lang=en
38422296,Braz J Biol,Unknown,2024,10.1590/1519-6984.279163,https://www.scielo.br/j/bjb/a/7TqVL4Ly3QTjqPkm9NfhSSx/?lang=en
15107921,Pesqui Odontol Bras,Unknown,2003,10.1590/s1517-74912003000400013,https://www.scielo.br/j/pob/a/rLqWtvyxxs49dJWKSwdnZbd/?lang=en
12908065,Pesqui Odontol Bras,Unknown,2003,10.1590/s1517-74912003000100015,https://www.scielo.br/j/pob/a/DqJDNVKNx6NmMYCRW8Wr3Yp/?lang=en
38896744,Codas,Unknown,2024,10.1590/2317-1782/20242023098pt,https://www.scielo.br/j/codas/a/pChjZWRwzYPmGBZMcyHCzPQ/?lang=pt
37970895,Codas,Unknown,2023,10.1590/2317-1782/20232022327pt,https://www.scielo.br/j/codas/a/QFYpzZFV3yntsW3cMcVchCx/?lang=pt
19708275,Rev Bras Hist,Unknown,2001,10.1590/s0102-01882001000200009,https://www.scielo.br/j/rbh/a/gLSbT884tq5WjQsYrmTBszP/?lang=pt
19708272,Rev Bras Hist,Unknown,2001,10.1590/s0102-01882001000200011,https://www.scielo.br/j/rbh/a/b8r3scP7h8vNVK6PwsjZ9DK/?lang=pt
19890473,J Braz Chem Soc,Unknown,2008,10.1590/S0103-50532008000400003,https://www.scielo.br/j/jbchs/a/4Rj6ZqcMQGcwFCXCBHX9bWL/?lang=en
38915449,J Venom Anim Toxins Incl Trop Dis,Unknown,2024,10.1590/1678-9199-JVATITD-2023-0056,https://www.scielo.br/j/jvatitd/a/jBxDmn6npbFCzgZjjSKVSCB/?lang=en
33889182,J Venom Anim Toxins Incl Trop Dis,Unknown,2021,10.1590/1678-9199-JVATITD-2020-0027,https://www.scielo.br/j/jvatitd/a/7gxR7nVfTLwc7snjh4F8RpQ/?lang=en
23358522,Rev Bras Fisioter,Unknown,2012,10.1590/s1413-35552012005000048,https://www.scielo.br/j/rbfis/a/KPf8MFJZYTW3TK8hcKcVt3B/?lang=en
38865557,Rev Lat Am Enfermagem,Unknown,2024,10.1590/1518-8345.6924.4191,https://www.scielo.br/j/rlae/a/pDvTqXjMmDVp7FfQqSqgNYz/?lang=en
37970988,Rev Lat Am Enfermagem,Unknown,2023,10.1590/1518-8345.0000.4098,https://www.scielo.br/j/rlae/a/ptWZgMssJs8dQH3nbWJKygt/?lang=en
25627061,Arq Bras Endocrinol Metabol,Unknown,2014,10.1590/0004-2730000003664,https://www.scielo.br/j/abem/a/ScXKDfnGyHnBDydqwgNtKvS/?lang=en
25166044,Arq Bras Endocrinol Metabol,Unknown,2014,10.1590/0004-2730000003360,https://www.scielo.br/j/abem/a/Xb9Bdbn43tJZTkHGH6jjz5M/?lang=en
38808912,Arq Bras Oftalmol,Unknown,2024,10.5935/0004-2749.2024-1009,https://www.scielo.br/j/abo/a/W8ffjypmFbTvrsvSDW8gDXf/?lang=en
37018825,Arq Bras Oftalmol,Unknown,2023,10.5935/0004-2749.2022-0172,https://www.scielo.br/j/abo/a/9YSkKk5J7GFmdcJSg3cnXSP/?lang=en
38896641,J Appl Oral Sci,Unknown,2024,10.1590/1678-7757-2024-0018,https://www.scielo.br/j/jaos/a/snPhW7ytxj6yVjGkfkzjMwf/?lang=en
38536995,J Appl Oral Sci,Unknown,2024,10.1590/1678-7757-2023-0416,https://www.scielo.br/j/jaos/a/ynSsgnQnKQ863tnQDR97YNy/?lang=en
38896752,Hist Cienc Saude Manguinhos,Unknown,2024,10.1590/S0104-59702024000100029,https://www.scielo.br/j/hcsm/a/KbnLY7m85SNDSbtSmWJ58Qk/?lang=pt
36542031,Hist Cienc Saude Manguinhos,Unknown,2022,10.1590/S0104-59702022000400004,https://www.scielo.br/j/hcsm/a/ghHrynS73YbcJbCBnTV3fqF/?lang=pt
21980215,Physis,Unknown,2010,10.1590/S0103-73312010000100011,https://www.scielo.br/j/physis/a/8cPRvVD7XtJKLYfT6qHHH6f/?lang=pt
38775594,Braz Dent J,Unknown,2024,10.1590/0103-6440202405883,https://www.scielo.br/j/bdj/a/N38ZYyRVdvt8hQqyXwC7nms/?lang=en
37194854,Braz Dent J,Unknown,2023,10.1590/0103-6440202305226,https://www.scielo.br/j/bdj/a/cZ4PqrGkkV8V5y5b9BKmKrL/?lang=en
38896645,Braz J Med Biol Res,Unknown,2024,10.1590/1414-431X2024e13528,https://www.scielo.br/j/bjmbr/a/X9w6q8ZKwpYntN3QHWNtc3z/?lang=en
37851792,Braz J Med Biol Res,Unknown,2023,10.1590/1414-431X2023e12957,https://www.scielo.br/j/bjmbr/a/SLxB5h9GvyMC4LhhtvPLYxg/?lang=en
38896736,Rev Assoc Med Bras (1992),Unknown,2024,10.1590/1806-9282.20240005,https://www.scielo.br/j/ramb/a/K8XR6tdDKsgmQ57HkcfbvcF/?lang=en
38865538,Rev Assoc Med Bras (1992),Unknown,2024,10.1590/1806-9282.2024S118,https://www.scielo.br/j/ramb/a/Crcm75hLFD7BPGzzCkqdCTG/?lang=en
