PMID,Journal,publisher_guess,year,doi,doi_url
27867255,Int J Morphol,Unknown,2016,10.4067/S0717-95022016000300041,https://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000300041&lng=en&nrm=iso&tlng=en
25937698,Int J Morphol,Unknown,2014,10.4067/S0717-95022014000200048,https://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022014000200048&lng=en&nrm=iso&tlng=en
22577618,Estud Econ,Unknown,2011,10.4067/s0718-52862011000100004,https://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-52862011000100004&lng=en&nrm=iso&tlng=en
32346186,Rev Chil Obstet Ginecol,Unknown,2018,10.4067/s0717-75262018000100027,https://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262018000100027&lng=en&nrm=iso&tlng=en
38801392,Rev Med Chil,Unknown,2023,10.4067/s0034-98872023000600805,https://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872023000600805&lng=en&nrm=iso&tlng=en
37906789,Rev Med Chil,Unknown,2022,10.4067/s0034-98872022001201674,https://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872022001201674&lng=en&nrm=iso&tlng=en
19946384,Acta Bioeth,Unknown,2008,10.4067/S1726-569X2008000100010,https://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2008000100010&lng=en&nrm=iso&tlng=en
20046815,Rev Chil Nutr,Unknown,2006,10.4067/S0717-75182006000400001,https://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75182006000400001&lng=en&nrm=iso&tlng=en
36165650,Rev Chilena Infectol,Unknown,2022,10.4067/s0716-10182022000200294,https://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182022000300294&lng=en&nrm=iso&tlng=en
35735282,Rev Chilena Infectol,Unknown,2022,10.4067/S0716-10182022000100071,https://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182022000100071&lng=en&nrm=iso&tlng=en
