PMID,Journal,publisher_guess,year,doi,doi_url
38575384,Pril (Makedon Akad Nauk Umet Odd Med Nauki),Unknown,2024,10.2478/prilozi-2024-0003,https://sciendo.com/article/10.2478/prilozi-2024-0003
36987763,Pril (Makedon Akad Nauk Umet Odd Med Nauki),Unknown,2023,10.2478/prilozi-2023-0017,https://sciendo.com/article/10.2478/prilozi-2023-0017
32855626,J Soc Struct,Unknown,2019,10.21307/joss-2019-007,https://sciendo.com/article/10.21307/joss-2019-007
31827412,J Soc Struct,Unknown,2019,10.21307/joss-2019-004,https://sciendo.com/article/10.21307/joss-2019-004
38846256,Gravit Space Res,Unknown,2024,10.2478/gsr-2024-0003,https://sciendo.com/article/10.2478/gsr-2024-0003
38855080,J Nematol,Unknown,2024,10.2478/jofnem-2024-0019,https://sciendo.com/article/10.2478/jofnem-2024-0019
36880011,J Nematol,Unknown,2023,10.2478/jofnem-2023-0003,https://sciendo.com/article/10.2478/jofnem-2023-0003
38861539,Endocr Regul,Unknown,2024,10.2478/enr-2024-0016,https://sciendo.com/article/10.2478/enr-2024-0016
34523298,Endocr Regul,Unknown,2021,10.2478/enr-2021-0018,https://sciendo.com/article/10.2478/enr-2021-0018
38905615,Rom J Intern Med,Unknown,2024,10.2478/rjim-2024-0022,https://sciendo.com/article/10.2478/rjim-2024-0022
38421902,Rom J Intern Med,Unknown,2024,10.2478/rjim-2024-0004,https://sciendo.com/article/10.2478/rjim-2024-0004
30636239,Dev Period Med,Unknown,2018,10.34763/devperiodmed.20182204.390395,https://sciendo.com/article/10.34763/devperiodmed.20182204.390395
38711908,Balkan J Med Genet,Unknown,2023,10.2478/bjmg-2023-0004,https://sciendo.com/article/10.2478/bjmg-2023-0004
33816068,Balkan J Med Genet,Unknown,2020,10.2478/bjmg-2020-0028,https://sciendo.com/article/10.2478/bjmg-2020-0028
38855577,Scand J Child Adolesc Psychiatr Psychol,Unknown,2024,10.2478/sjcapp-2024-0003,https://sciendo.com/article/10.2478/sjcapp-2024-0003
38163086,Scand J Child Adolesc Psychiatr Psychol,Unknown,2023,10.2478/sjcapp-2023-0016,https://sciendo.com/article/10.2478/sjcapp-2023-0016
32461723,Interdiscip Toxicol,Unknown,2019,10.2478/intox-2019-0024,https://sciendo.com/article/10.2478/intox-2019-0024
31762683,Interdiscip Toxicol,Unknown,2018,10.2478/intox-2018-0031,https://sciendo.com/article/10.2478/intox-2018-0031
38863504,J Electr Bioimpedance,Unknown,2024,10.2478/joeb-2024-0007,https://sciendo.com/article/10.2478/joeb-2024-0007
33584876,J Electr Bioimpedance,Unknown,2019,10.2478/joeb-2019-0001,https://sciendo.com/article/10.2478/joeb-2019-0001
38881636,Zdr Varst,Unknown,2024,10.2478/sjph-2024-0018,https://sciendo.com/article/10.2478/sjph-2024-0018
35111265,Zdr Varst,Unknown,2022,10.2478/sjph-2022-0007,https://sciendo.com/article/10.2478/sjph-2022-0007
26989447,Forum Clin Oncol,Unknown,2014,10.2478/fco-2014-0006,https://sciendo.com/article/10.2478/fco-2014-0006
38861691,Radiol Oncol,Unknown,2024,10.2478/raon-2024-0033,https://sciendo.com/article/10.2478/raon-2024-0033
38038420,Radiol Oncol,Unknown,2023,10.2478/raon-2023-0053,https://sciendo.com/article/10.2478/raon-2023-0053
38708335,Asian Biomed (Res Rev News),Unknown,2024,10.2478/abm-2024-0012,https://sciendo.com/article/10.2478/abm-2024-0012
37551329,Asian Biomed (Res Rev News),Unknown,2021,10.2478/abm-2021-0023,https://sciendo.com/article/10.2478/abm-2021-0023
32327867,Beitr Tab Int,Unknown,2019,10.2478/cttr-2019-0001,https://sciendo.com/article/10.2478/cttr-2019-0001
37200863,Beitr Tab Int,Unknown,2019,10.2478/cttr-2019-0011,https://sciendo.com/article/10.2478/cttr-2019-0011
31179123,Biomed Hum Kinet,Unknown,2019,10.2478/bhk-2019-0011,https://sciendo.com/article/10.2478/bhk-2019-0011
29973983,Biomed Hum Kinet,Unknown,2010,10.2478/v10101-0021-y,https://sciendo.com/article/10.2478/v10101-0021-y
31098341,Rev Rom Med Lab,Unknown,2016,10.1515/rrlm-2016-0031,https://sciendo.com/article/10.1515/rrlm-2016-0031
31080636,Acta Med Marisiensis,Unknown,2017,10.1515/amma-2017-0029,https://sciendo.com/article/10.1515/amma-2017-0029
37843970,J Mother Child,Unknown,2023,10.34763/jmotherandchild.20232701.d-22-00052,https://sciendo.com/article/10.34763/jmotherandchild.20232701.d-22-00052
38548384,Arh Hig Rada,Unknown,2024,10.2478/aiht-2024-75-3803,https://sciendo.com/article/10.2478/aiht-2024-75-3803
37357880,Arh Hig Rada,Unknown,2023,10.2478/aiht-2023-74-3733,https://sciendo.com/article/10.2478/aiht-2023-74-3733
38815207,Acta Pharm,Unknown,2024,10.2478/acph-2024-0023,https://sciendo.com/article/10.2478/acph-2024-0023
38554385,Acta Pharm,Unknown,2024,10.2478/acph-2024-0005,https://sciendo.com/article/10.2478/acph-2024-0005
38910446,Immunohematology,Unknown,2024,10.2478/immunohematology-2024-008,https://sciendo.com/article/10.2478/immunohematology-2024-008
34051068,Immunohematology,Unknown,2020,10.21307/immunohematology-2019-709,https://sciendo.com/article/10.21307/immunohematology-2019-709
38905281,Pol J Microbiol,Unknown,2024,10.33073/pjm-2024-020,https://sciendo.com/article/10.33073/pjm-2024-020
38437466,Pol J Microbiol,Unknown,2024,10.33073/pjm-2024-012,https://sciendo.com/article/10.33073/pjm-2024-012
37453122,Prilozi,Unknown,2023,10.2478/prilozi-2023-0032,https://sciendo.com/article/10.2478/prilozi-2023-0032
38659650,Helminthologia,Unknown,2023,10.2478/helm-2023-0002,https://sciendo.com/article/10.2478/helm-2023-0002
37305673,Helminthologia,Unknown,2023,10.2478/helm-2023-0009,https://sciendo.com/article/10.2478/helm-2023-0009
37969884,J Crit Care Med (Targu Mures),Unknown,2023,10.2478/jccm-2023-0031,https://sciendo.com/article/10.2478/jccm-2023-0031
37969877,J Crit Care Med (Targu Mures),Unknown,2023,10.2478/jccm-2023-0030,https://sciendo.com/article/10.2478/jccm-2023-0030
38525236,J Vet Res,Unknown,2024,10.2478/jvetres-2024-0010,https://sciendo.com/article/10.2478/jvetres-2024-0010
37786430,J Vet Res,Unknown,2023,10.2478/jvetres-2023-0026,https://sciendo.com/article/10.2478/jvetres-2023-0026
29355246,J Data Inf Sci,Unknown,2017,10.1515/jdis-2017-0019,https://sciendo.com/article/10.1515/jdis-2017-0019
