PMID,Journal,publisher_guess,year,doi,doi_url
38501146,J Diabetes Clin Res,Unknown,2024,10.33696/diabetes.6.056,https://www.scientificarchives.com/article/ephrin-b1-regulates-inflammatory-pathways-in-retinal-muller-cells
33604590,J Diabetes Clin Res,Unknown,2020,10.33696/diabetes.1.028,https://www.scientificarchives.com/article/can-monoclonal-antibodies-against-cgrp-offer-new-treatment-options-for-type-2-diabetes
35224553,J Phys Med Rehabil,Unknown,2021,10.33696/rehabilitation.3.022,https://www.scientificarchives.com/article/the-use-of-consumer-wearable-physical-activity-monitors-in-clinical-populations-with-functional-l-imitations
38846356,J Cancer Immunol (Wilmington),Unknown,2024,10.33696/cancerimmunol.6.078,https://www.scientificarchives.com/article/the-role-of-tumor-and-host-microbiome-on-immunotherapy-response-in-urologic-cancers
35938052,J Cancer Immunol (Wilmington),Unknown,2021,10.33696/cancerimmunol.3.053,https://www.scientificarchives.com/article/high-expression-of-tim-3-and-galectin-9-on-immunohistochemistry-staining-of-tumor-specimen-at-diagnosis-in-pediatric-patients-with-ewing-sarcoma
38826152,J Cell Signal,Unknown,2024,10.33696/signaling.5.114,https://www.scientificarchives.com/article/navigating-the-adipocyte-precursor-niche-cell-cell-interactions-regulatory-mechanisms-and-implications-for-adipose-tissue-homeostasis
35128538,J Cell Signal,Unknown,2021,10.33696/signaling.2.041,https://www.scientificarchives.com/article/phosphorylation-of-riam-activates-its-adaptor-function-in-mediating-integrin-signaling
38434588,J Exp Neurol,Unknown,2024,10.33696/neurol.5.087,https://www.scientificarchives.com/article/cerebrovascular-dysfunction-in-alzheimer-s-disease-and-transgenic-rodent-models
33768215,J Exp Neurol,Unknown,2020,10.33696//Neurol.1.025,https://www.scientificarchives.com
32728674,Arch Cancer Biol Ther,Unknown,2020,10.33696/cancerbiology.1.005,https://www.scientificarchives.com/article/lessons-learnt-from-covid-19-how-can-we-prepare-for-another-pandemic
38845818,J AIDS HIV Treat,Unknown,2024,10.33696/aids.6.048,https://www.scientificarchives.com/article/potential-advantages-of-a-well-balanced-nutrition-regimen-for-people-living-with-human-immunodeficiency-virus-type-1
38883270,J Cell Immunol,Unknown,2024,10.33696/immunology.6.189,https://www.scientificarchives.com/article/essentials-of-car-t-therapy-and-associated-microbial-challenges-in-long-run-immunotherapy
35291721,J Cell Immunol,Unknown,2021,10.33696/immunology.3.110,https://www.scientificarchives.com/article/short-and-sweet-viral-5-utr-as-a-canonical-and-non-canonical-translation-initiation-switch
38283799,Arch Pharmacol Ther,Unknown,2024,10.33696/Pharmacol.6.047,https://www.scientificarchives.com/article/why-can-modulation-of-alpha-6-containing-gabaa-receptors-reduce-the-symptoms-of-multiple-neuropsychiatric-disorders
34766166,Arch Pharmacol Ther,Unknown,2021,10.33696/pharmacol.3.028,https://www.scientificarchives.com/article/prolung-budesonide-inhibits-sars-cov-2-replication-and-reduces-lung-inflammation
34604860,J Cell Signal,Unknown,2021,10.33696/Signaling.2.051,https://www.scientificarchives.com/article/targeting-cullin-ring-e3-ubiquitin-ligase-4-by-small-molecule-modulators
