PMID,Journal,publisher_guess,year,doi,doi_url
29057330,Obes Open Access,Unknown,2017,10.16966/2380-5528.127,https://sciforschenonline.org/journals/obesity/OOA-3-127.php
27500279,J Diabetes Res Ther,Unknown,2015,10.16966/2380-5544.108,https://www.sciforschenonline.org/journals/diabetes/JDRT-1-108.php
28989976,Int J Cancer Res Mol Mech,Unknown,2017,10.16966/2381-3318.130,https://sciforschenonline.org/journals/cancer-research/IJCRMM-3-130.php
26900603,Int J Cancer Res Mol Mech,Unknown,2015,10.16966/2381-3318.113,https://www.sciforschenonline.org/journals/cancer-research/IJCRMM-1-113.php
32500108,J Clin Anesth Manag,Unknown,2016,10.16966/2470-9956.103,https://sciforschenonline.org/journals/clinical-anesthesia/JCAM-1-103.php
27088131,J Neurol Neurobiol,Unknown,2015,10.16966/2379-7150.114,https://www.sciforschenonline.org/journals/neurology/JNNB-1-114.php
26937489,J Neurol Neurobiol,Unknown,2015,10.16966/2379-7150.109,https://www.sciforschenonline.org/journals/neurology/JNNB-1-109.php
31448365,J Environ Toxicol Stud,Unknown,2017,10.16966/2576-6430.106,https://sciforschenonline.org/journals/environmental-toxicological-studies/JETS-1-106.php
28018978,Int J Endocrinol Metab Disord,Unknown,2016,10.16966/2380-548X.129,https://www.sciforschenonline.org/journals/endocrinology/IJEMD-2-129.php
29333532,J Mol Med Clin Appl,Unknown,2017,10.16966/2575-0305.106,https://www.sciforschenonline.org/journals/molecular-biology-medicine/IJMBM-2-106.php
29104939,Int J Nephrol Kidney Fail,Unknown,2017,10.16966/2380-5498.141,https://sciforschenonline.org/journals/nephrology-kidney/IJNKF-3-141.php
29607423,J Emerg Dis Virol,Unknown,2017,10.16966/2473-1846.127,https://sciforschenonline.org/journals/virology/JEDV-3-127.php
28868516,J Emerg Dis Virol,Unknown,2017,10.16966/2473-1846.133,https://sciforschenonline.org/journals/virology/JEDV-3-133.php
34307877,J HIV AIDS,Unknown,2020,10.16966/2380-5536.175,https://www.sciforschenonline.org/journals/hiv-aids/JHA175.php
30733998,J HIV AIDS,Unknown,2018,10.16966/2380-5536.150,https://sciforschenonline.org/journals/hiv-aids/JHA-4-150.php
28367537,J Infect Pulm Dis,Unknown,2017,10.16966/2470-3176.120,https://sciforschenonline.org/journals/pulmonary-diseases/JIPD-3-120.php
30393761,J Heart Health,Unknown,2018,10.16966/2379-769X.146,https://sciforschenonline.org/journals/heart/JHH-4-146.php
27761524,J Epidemiol Public Health Rev,Unknown,2016,10.16966/2471-8211.119,https://sciforschenonline.org/journals/epidemiology-public-health/JEPHR-1-119.php
29457146,Cell Stem Cells Regen Med,Unknown,2017,10.16966/2472-6990.113,https://sciforschenonline.org/journals/stem_cell/CSRM-3-113.php
33969184,Int J Dent Oral Health,Unknown,2021,10.16966/2378-7090.347,https://www.sciforschenonline.org/journals/dentistry/IJDOH347.php
28042605,Int J Dent Oral Health,Unknown,2016,10.16966/2378-7090.209,https://sciforschenonline.org/journals/dentistry/IJDOH-2-209.php
28042613,Int J Nanomed Nanosurg,Unknown,2016,10.16966/2470-3206.116,https://sciforschenonline.org/journals/nanomedicine/IJNN-2-116.php
28956023,Int J Nanomed Nanosurg,Unknown,2016,10.16966/2470-3206,https://www.sciforschenonline.org/journals/nanomedicine/
28042612,Autoimmune Infect Dis,Unknown,2016,10.16966/2470-1025.119,https://sciforschenonline.org/journals/autoimmune-infectious/AIDOA-2-119.php
33884377,J Biochem Anal Stud,Unknown,2020,10.16966/2576-5833.117,https://sciforschenonline.org/journals/bioanalytical-techniques/JBAS117.php
30123890,J Biochem Anal Stud,Unknown,2017,10.16966/2576-5833.109,https://sciforschenonline.org/journals/bioanalytical-techniques/JBT-2-109.php
