PMID,Journal,publisher_guess,year,doi,doi_url
27213116,Surg Sci,Unknown,2015,10.4236/ss.2015.68050,https://www.scirp.org/journal/paperinformation?paperid=58249
27195185,Intell Inf Manag,Unknown,2016,10.4236/iim.2016.81002,https://www.scirp.org/journal/paperinformation?paperid=62729
28983419,Intell Inf Manag,Unknown,2016,10.4236/iim.2016.83006,https://www.scirp.org/journal/paperinformation?paperid=66990
27042384,J Surf Eng Mater Adv Technol,Unknown,2015,10.4236/jsemat.2015.54022,https://www.scirp.org/journal/paperinformation?paperid=60335
36051907,J Tuberc Res,Unknown,2022,10.4236/jtr.2022.101004,https://www.scirp.org/journal/paperinformation?paperid=116144
27471657,Open J Polit Sci,Unknown,2013,10.4236/ojps.2013.31006,https://www.scirp.org/journal/paperinformation?paperid=27428
27478682,Low Carbon Econ,Unknown,2012,10.4236/lce.2012.34018,https://www.scirp.org/journal/paperinformation?paperid=25946
37229182,Am J Clim Change,Unknown,2020,10.4236/ajcc.2020.92011,https://www.scirp.org/journal/paperinformation?paperid=101008
24409401,Open J Med Microbiol,Unknown,2012,10.4236/ojmm.2012.23019,https://www.scirp.org/journal/paperinformation?paperid=22844
25419488,Open J Anim Sci,Unknown,2013,10.4236/ojas.2013.34A2005,https://www.scirp.org/journal/paperinformation?paperid=39675
25414802,Open J Anim Sci,Unknown,2013,10.4236/ojas.2013.34A2003,https://www.scirp.org/journal/paperinformation?paperid=39673
36909676,World J Cardiovasc Surg,Unknown,2022,10.4236/wjcs.2022.129017,https://www.scirp.org/journal/paperinformation?paperid=120122
34306838,Adv Breast Cancer Res,Unknown,2015,10.4236/abcr.2015.41001,https://www.scirp.org/journal/paperinformation?paperid=53047
24829844,Open J Genet,Unknown,2013,10.4236/ojgen.2013.34027,https://www.scirp.org/journal/paperinformation?paperid=40720
30310730,Open J Endocr Metab Dis,Unknown,2013,10.4236/ojemd.2013.34A2002,https://www.scirp.org/journal/paperinformation?paperid=35507
27239390,Open J Biophys,Unknown,2015,10.4236/ojbiphy.2015.53007,https://www.scirp.org/journal/paperinformation?paperid=58155
36033966,Open J Stat,Unknown,2022,10.4236/ojs.2022.124029,https://www.scirp.org/journal/paperinformation?paperid=119122
34367727,Open J Stat,Unknown,2014,10.4236/ojs.2014.49072,https://www.scirp.org/journal/paperinformation?paperid=50921
28944100,Open J Mol Integr Physiol,Unknown,2016,10.4236/ojmip.2016.63004,https://www.scirp.org/journal/paperinformation?paperid=69940
25379358,Open J Inorg Chem,Unknown,2013,10.4236/ojic.2013.31002,https://www.scirp.org/journal/paperinformation?paperid=27472
33996249,Adv J Mol Imaging,Unknown,2021,10.4236/ami.2021.111001,https://www.scirp.org/journal/paperinformation?paperid=107209
25364629,Adv J Mol Imaging,Unknown,2013,10.4236/ami.2013.34007,https://www.scirp.org/journal/paperinformation?paperid=37802
35919104,Int J Org Chem (Irvine),Unknown,2022,10.4236/ijoc.2022.122010,https://www.scirp.org/journal/paperinformation?paperid=118347
30090690,Int J Org Chem (Irvine),Unknown,2018,10.4236/ijoc.2018.82015,https://www.scirp.org/journal/paperinformation?paperid=84889
25360396,Mod Res Inflamm,Unknown,2014,10.4236/mri.2014.32006,https://www.scirp.org/pdf/MRI_2014050613184870.pdf
34296220,Health N Hav,Unknown,2015,10.4236/health.2015.711156,https://www.scirp.org/journal/paperinformation?paperid=61014
31123623,Appl Math (Irvine),Unknown,2016,10.4236/am.2016.713125,https://www.scirp.org/journal/paperinformation?paperid=69745
27398258,Appl Math (Irvine),Unknown,2014,10.4236/am.2014.521319,https://www.scirp.org/journal/paperinformation?paperid=52225
27795973,Adv Enzyme Res,Unknown,2014,10.4236/aer.2014.21004,https://www.scirp.org/journal/paperinformation?paperid=43905
38873169,Adv Alzheimer Dis,Unknown,2023,10.4236/aad.2023.123004,https://www.scirp.org/journal/paperinformation?paperid=127622
