PMID,Journal,publisher_guess,year,doi,doi_url
31058201,J Appl Bioinforma Comput Biol,Unknown,2018,10.4172/2329-9533.1000155,https://www.scitechnol.com/peer-review/profiling-of-differential-expression-of-genes-in-mice-carrying-both-mutant-presenilin-1-and-amyloid-precursor-protein-transgenes-w-ubqt.php?article_id=8114
26618187,J Appl Bioinforma Comput Biol,Unknown,2015,10.4172/2329-9533.1000114,https://www.scitechnol.com/semiautomated-image-processing-for-preclinicalbioluminescent-imaging-R4xP.php?article_id=3333
27158680,Int J Ment Health Psychiatry,Unknown,2016,10.4172/2471-4372.1000116,https://www.scitechnol.com/peer-review/a-qualitative-analysis-of-substance-use-among-liberian-youth-understanding-behaviors-consequences-and-protective-factors-involving-LrXw.php?article_id=4503
25426491,J Trauma Stress Disord Treat,Unknown,2014,10.4172/2324-8947.1000126,https://www.scitechnol.com/hair-cortisol-perceived-stress-and-dispositional-optimism-a-pilot-study-among-adolescents-CAUQ.php?article_id=2004
31692999,J Addict Behav Ther Rehabil,Unknown,2018,10.4172/2324-9005.1000178,https://www.scitechnol.com/peer-review/hookah-use-and-perceptions-among-young-adult-hookah-users-Qq58.php?article_id=7531
25635257,J Addict Behav Ther Rehabil,Unknown,2014,10.4172/2324-9005.1000115,https://www.scitechnol.com/stigma-among-individuals-with-substance-use-disorders-does-it-predict-substance-use-and-does-it-diminish-with-treatment-vY89.php?article_id=1776
25419530,J Spine Neurosurg,Unknown,2013,10.4172/2325-9701.S1-004,https://www.scitechnol.com/role-of-il-in-glioma-progression-iotE.php?article_id=1581
25419531,J Spine Neurosurg,Unknown,2013,10.4172/2325-9701.S1-e002,https://www.scitechnol.com/towards-a-targeted-molecular-approach-for-brain-metastases-BTNm.php?article_id=1435
24901014,J Genit Syst Disord,Unknown,2012,10.4172/2325-9728.1000e102,https://www.scitechnol.com/quantitative-analysis-of-uterine-action-potentials-2YLA.php?article_id=238
25309937,J Mol Cloning Genet Recomb,Unknown,2013,10.4172/2325-9787.1000101,https://www.scitechnol.com/use-of-single-stranded-targeting-dna-or-negative-selection-does-not-provide-additional-enrichment-from-a-ggta-promoter-trap-afy8.php?article_id=684
