PMID,Journal,publisher_guess,year,doi,doi_url
31534985,J Astron Telesc Instrum Syst,Unknown,2018,10.1117/1.JATIS.4.2.021403,https://www.spiedigitallibrary.org/journals/Journal-of-Astronomical-Telescopes-Instruments-and-Systems/volume-4/issue-02/021403/Design-and-on-orbit-operation-of-the-soft-x-ray/10.1117/1.JATIS.4.2.021403.full#_=_
38898963,Neurophotonics,Unknown,2024,10.1117/1.NPh.11.2.025007,https://www.spiedigitallibrary.org/journals/neurophotonics/volume-11/issue-02/025007/Wavelength-swept-spontaneous-Raman-spectroscopy-system-improves-fiber-based-collection/10.1117/1.NPh.11.2.025007.full#_=_
37636490,Neurophotonics,Unknown,2023,10.1117/1.NPh.10.4.044405,https://www.spiedigitallibrary.org/journals/neurophotonics/volume-10/issue-04/044405/Addressing-annotation-and-data-scarcity-when-designing-machine-learning-strategies/10.1117/1.NPh.10.4.044405.full#_=_
29225433,J Electron Imaging,Unknown,2017,10.1117/1.JEI.26.6.061607,https://www.spiedigitallibrary.org/journals/journal-of-electronic-imaging/volume-26/issue-6/061607/Supervoxels-for-graph-cuts-based-deformable-image-registration-using-guided/10.1117/1.JEI.26.6.061607.short
20186290,J Electron Imaging,Unknown,2007,10.1117/1.2768092,https://www.spiedigitallibrary.org/journals/journal-of-electronic-imaging/volume-16/issue-3/033009/Real-time-restoration-of-white-light-confocal-microscope-optical-sections/10.1117/1.2768092.short
21403765,J Nanophotonics,Unknown,2010,10.1117/1.3500463,https://www.spiedigitallibrary.org/journals/journal-of-nanophotonics/volume-4/issue-1/043516/Plasmonic-platforms-of-self-assembled-silver-nanostructures-in-application-to/10.1117/1.3500463.short
38910837,J Med Imaging (Bellingham),Unknown,2024,10.1117/1.JMI.11.3.035502,https://www.spiedigitallibrary.org/journals/journal-of-medical-imaging/volume-11/issue-3/035502/Interpretation-time-efficiency-with-radiographs--a-comparison-study-between/10.1117/1.JMI.11.3.035502.short
38510544,J Med Imaging (Bellingham),Unknown,2024,10.1117/1.JMI.11.2.024502,https://www.spiedigitallibrary.org/journals/journal-of-medical-imaging/volume-11/issue-2/024502/Detecting-bone-lesions-in-X-ray-under-diverse-acquisition-conditions/10.1117/1.JMI.11.2.024502.short
38912214,J Biomed Opt,Unknown,2024,10.1117/1.JBO.29.7.076501,https://www.spiedigitallibrary.org/journals/journal-of-biomedical-optics/volume-29/issue-07/076501/NerveTracker--a-Python-based-software-toolkit-for-visualizing-and/10.1117/1.JBO.29.7.076501.full#_=_
38333219,J Biomed Opt,Unknown,2024,10.1117/1.JBO.29.S1.S11520,https://www.spiedigitallibrary.org/journals/journal-of-biomedical-optics/volume-29/issue-S1/S11520/Intravital-photoacoustic-brain-stimulation-with-high-precision/10.1117/1.JBO.29.S1.S11520.full#_=_
21152337,Vis Data Anal,Unknown,2010,10.1117/12.839818,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/7530/1/Linked-exploratory-visualizations-for-uncertain-MR-spectroscopy-data/10.1117/12.839818.short
38912380,Proc SPIE Int Soc Opt Eng,Unknown,2024,10.1117/12.3005223,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/12926/3005223/ASL-MRI-denoising-via-multi-channel-collaborative-low-rank-regularization/10.1117/12.3005223.short
38752165,Proc SPIE Int Soc Opt Eng,Unknown,2024,10.1117/12.3006796,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/12933/3006796/Enhancing-colorectal-cancer-tumor-bud-detection-using-deep-learning-from/10.1117/12.3006796.short
21152365,Smart Struct Mater Nondestruct Eval Health Monit Diagn,Unknown,2009,10.1117/12.816478,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/7287/1/In-vitro-investigations-of-a-pH--and-ionic-strength/10.1117/12.816478.short
20428483,Optoelectron Mater Devices,Unknown,2008,10.1117/12.807153,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/7135/1/Microfluidic-photonic-integrated-circuits/10.1117/12.807153.short
36711441,Opt Eng,Unknown,2022,10.1117/1.oe.61.2.026112,https://www.spiedigitallibrary.org/journals/optical-engineering/volume-61/issue-2/026112/Comparison-of-fiber-optic-linear-beam-shaping-designs-for-laparoscopic/10.1117/1.OE.61.2.026112.short
24976654,Opt Eng,Unknown,2012,10.1117/1.OE.51.4.043203,https://www.spiedigitallibrary.org/journals/optical-engineering/volume-51/issue-4/043203/Correction-of-vignetting-and-distortion-errors-induced-by-two-axis/10.1117/1.OE.51.4.043203.short
37719176,J Photonics Energy,Unknown,2021,10.1117/1.jpe.11.032105,https://www.spiedigitallibrary.org/journals/journal-of-photonics-for-energy/volume-11/issue-3/032105/Direct-method-of-extracting-broadband-complex-refractive-index-from-spectrophotometric/10.1117/1.JPE.11.032105.short
34084268,J Photonics Energy,Unknown,2019,10.1117/1.jpe.9.032708,https://www.spiedigitallibrary.org/journals/journal-of-photonics-for-energy/volume-9/issue-3/032708/Tunable-wavelength-selectivity-of-photonic-metamaterials-based-thermal-devices/10.1117/1.JPE.9.032708.short
32440310,J Appl Remote Sens,Unknown,2020,10.1117/1.jrs.14.032402,https://www.spiedigitallibrary.org/journals/journal-of-applied-remote-sensing/volume-14/issue-3/032402/Removing-solar-artifacts-from-Geostationary-Lightning-Mapper-data-to-document/10.1117/1.JRS.14.032402.short
21799706,J Appl Remote Sens,Unknown,2010,10.1117/1.3501124,https://www.spiedigitallibrary.org/journals/journal-of-applied-remote-sensing/volume-4/issue-1/041880/Detection-of-urban-expansion-in-an-urban-rural-landscape-with/10.1117/1.3501124.short
33304445,J Micro Nanolithogr MEMS MOEMS,Unknown,2020,10.1117/1.jmm.19.1.014004,https://www.spiedigitallibrary.org/journals/journal-of-micro-nanolithography-mems-and-moems/volume-19/issue-1/014004/Wear-comparison-of-critical-dimension-atomic-force-microscopy-tips/10.1117/1.JMM.19.1.014004.short
