PMID,Journal,publisher_guess,year,doi,doi_url
29629436,SOJ Immunol,Unknown,2017,10.15226/2372-0948/5/1/00155,https://symbiosisonlinepublishing.com/immunology/immunology55.php
25346944,SOJ Pharm Pharm Sci,Unknown,2014,10.15226/2374-6866/1/1/00106,https://symbiosisonlinepublishing.com/pharmacy-pharmaceuticalsciences/pharmacy-pharmaceuticalsciences06.php
25574503,Palliat Med Care,Unknown,2014,10.15226/2374-8362/1/3/00111,https://symbiosisonlinepublishing.com/palliative-medicine-care/palliative-medicine-care11.php
28154840,J Nutrit Health Food Sci,Unknown,2016,10.15226/jnhfs.2016.00171,https://symbiosisonlinepublishing.com/nutritionalhealth-foodscience/nutritionalhealth-foodscience71.php
25614902,J Nutrit Health Food Sci,Unknown,2014,10.15226/jnhfs.2014.00108,https://symbiosisonlinepublishing.com/nutritionalhealth-foodscience/nutritionalhealth-foodscience08.php
30035213,J Exerc Sports Orthop,Unknown,2017,10.15226/2374-6904/4/3/00164,https://symbiosisonlinepublishing.com/exercise-sports-orthopedics/exercise-sports-orthopedics64.php
29457130,J Endocrinol Diabetes,Unknown,2017,10.15226/2374-6890/4/3/00181,https://symbiosisonlinepublishing.com/endocrinology-diabetes/endocrinology-diabetes81.php
25621306,SOJ Biochem,Unknown,2014,10.15226/2376-4589/1/1/00103,https://symbiosisonlinepublishing.com/biochemistry/biochemistry03.php
30740522,J Gastroenterol Pancreatol Liver Disord,Unknown,2018,10.15226/2374-815X/6/3/001126,https://symbiosisonlinepublishing.com/gastroenterology-pancreatology-liverdisorders/gastroenterology-pancreatology-liverdisorders126.php
28603774,J Gastroenterol Pancreatol Liver Disord,Unknown,2016,10.15226/2374-815X/3/4/00166,https://symbiosisonlinepublishing.com/gastroenterology-pancreatology-liverdisorders/gastroenterology-pancreatology-liverdisorders66.php
33693055,SOJ Neurol,Unknown,2017,10.15226/2374-6858/4/1/00132,https://symbiosisonlinepublishing.com/neurology/neurology32.php
27840848,SOJ Neurol,Unknown,2015,10.15226/2374-6858/2/2/00118,https://symbiosisonlinepublishing.com/neurology/neurology18.php
36034468,SOJ Microbiol Infect Dis,Unknown,2021,10.15226/sojmid/8/1/001107,https://symbiosisonlinepublishing.com/microbiology-infectiousdiseases/microbiology-infectiousdiseases107.php
29756026,SOJ Microbiol Infect Dis,Unknown,2014,10.15226/sojmid/2/3/00122,https://symbiosisonlinepublishing.com/microbiology-infectiousdiseases/microbiology-infectiousdiseases22.php
26526218,SOJ Anesthesiol Pain Manag,Unknown,2015,10.15226/2374-684X/2/2/00120,https://symbiosisonlinepublishing.com/anesthesiology-painmanagement/anesthesiology-painmanagement20.php
37168092,SOJ Anesthesiol Pain Manag,Unknown,2014,10.15226/2374-684x/1/1/00104,https://symbiosisonlinepublishing.com/anesthesiology-painmanagement/anesthesiology-painmanagement04.php
30701190,SOJ Surg,Unknown,2014,10.15226/2376-4570/1/1/00103,https://symbiosisonlinepublishing.com/surgery/surgery03.php
34708151,SOJ Psychol,Unknown,2016,10.15226/2374-6874/3/2/00129,https://symbiosisonlinepublishing.com/psychology/psychology29.php
29204592,J Biosens Biomark Diagn,Unknown,2017,10.15226/2575-6303/2/1/00113,https://symbiosisonlinepublishing.com/biosensors-biomarkers-diagnostics/biosensors-biomarkers-diagnostics13.php
27331196,SOJ Urol Nephrol Open Access,Unknown,2016,10.15226/2473-6430/2/1/00109,https://symbiosisonlinepublishing.com/urology-nephrology/urology-nephrology09.php
29399657,SOJ Nurs Health Care,Unknown,2017,10.15226/2471-6529/3/2/00133,https://symbiosisonlinepublishing.com/nursing-healthcare/nursing-health-care33.php
33344874,SOJ Nurs Health Care,Unknown,2017,10.15226/2471-6529/3/2/00130,https://symbiosisonlinepublishing.com/nursing-healthcare/nursing-health-care30.php
