PMID,Journal,publisher_guess,year,doi,doi_url
38616946,Postepy Kardiol Interwencyjnej,Unknown,2024,10.5114/aic.2024.136392,"https://www.termedia.pl/Comparison-of-efficacy-of-pharmacological-cardioversion-r-nwith-antazoline-and-propafenone-versus-electrical-r-ncardioversion-in-atrial-fibrillation-during-cryoablation,35,52660,0,1.html"
38187492,Postepy Kardiol Interwencyjnej,Unknown,2023,10.5114/aic.2023.133256,"https://www.termedia.pl/Endovascular-repair-versus-best-medical-treatment-for-uncomplicated-acute-type-B-acute-aorta-dissection-a-meta-analysis,35,51922,0,1.html"
38571545,Prz Gastroenterol,Unknown,2024,10.5114/pg.2024.134519,"https://www.termedia.pl/Diagnostic-value-of-apparent-diffusion-coefficient-of-psoas-muscles-for-evaluating-complications-in-patients-with-Crohn-s-disease,41,52269,0,1.html"
36514456,Prz Gastroenterol,Unknown,2022,10.5114/pg.2022.112777,"https://www.termedia.pl/Vonoprazan-in-the-management-of-gastric-peptic-ulcers-a-systematic-review-of-safety-data,41,46211,0,1.html"
38741437,Folia Neuropathol,Unknown,2024,10.5114/fn.2024.135291,"https://www.termedia.pl/Extranodal-marginal-zone-lymphoma-of-mucosa-associated-lymphoid-tissue-of-the-dura-mimicking-meningioma-a-case-report-and-literature-review,20,52374,0,1.html"
36734380,Folia Neuropathol,Unknown,2022,10.5114/fn.2022.120101,"https://www.termedia.pl/Cerebral-ischemia-reperfusion-injury-from-public-health-perspectives-to-mechanisms,20,47959,0,1.html"
38808606,Pol J Pathol,Unknown,2024,10.5114/pjp.2024.136281,"https://www.termedia.pl/A-study-on-expression-of-programmed-death-ligand-1-r-nin-small-cell-lung-carcinoma-and-correlation-with-r-nclinicopathological-parameters,55,52640,0,1.html"
38477085,Pol J Pathol,Unknown,2023,10.5114/pjp.2023.134317,"https://www.termedia.pl/Single-minded-homolog-2-as-a-potential-prognostic-signature-and-assessment-of-its-correlation-with-immune-cell-infiltration-in-pancreatic-cancer,55,52239,0,1.html"
38741450,Anaesthesiol Intensive Ther,Unknown,2024,10.5114/ait.2024.136026,"https://www.termedia.pl/Navigating-through-the-paradox-of-choice-prediction-of-outcome-in-aneurysmal-subarachnoid-hemorrhage,118,52542,0,1.html"
37409836,Anaesthesiol Intensive Ther,Unknown,2023,10.5114/ait.2023.128704,"https://www.termedia.pl/Echocardiography-and-Ultrasound-Committee-statement-for-the-accreditation-programme-in-point-of-care-ultrasonography-in-Poland,118,50859,0,1.html"
38812610,Cent Eur J Immunol,Unknown,2024,10.5114/ceji.2024.138748,"https://www.termedia.pl/Influence-of-dietary-and-lifestyle-factors-r-non-levels-of-inflammatory-markers-r-n-IL-6-IFN-and-TNF-in-obese-subjects,10,53940,0,1.html"
35600150,Cent Eur J Immunol,Unknown,2022,10.5114/ceji.2022.115628,"https://www.termedia.pl/Downregulation-of-lncRNA-NEAT1-alleviates-sepsis-induced-acute-kidney-injury,10,46876,0,1.html"
38693991,Kardiochir Torakochirurgia Pol,Unknown,2024,10.5114/kitp.2024.138574,"https://www.termedia.pl/Cardiac-solitary-fibrous-tumor-an-extremely-rare-but-potentially-fatal-diagnosis,40,53906,0,1.html"
38693987,Kardiochir Torakochirurgia Pol,Unknown,2024,10.5114/kitp.2024.138626,"https://www.termedia.pl/Comment-on-Evaluation-of-perioperative-risk-factors-in-pediatric-patients-with-left-ventricle-outflow-tract-obstruction-,40,53917,0,1.html"
38690072,Prz Menopauzalny,Unknown,2024,10.5114/pm.2024.136954,"https://www.termedia.pl/To-B-or-not-to-B-the-application-of-uterine-compression-sutures-to-reduce-blood-loss-after-myomectomy,4,52706,0,1.html"
37829264,Prz Menopauzalny,Unknown,2023,10.5114/pm.2023.131456,"https://www.termedia.pl/A-rare-case-of-squamous-cell-carcinoma-associated-with-a-huge-ovarian-dermoid-cyst-in-a-postmenopausal-woman,4,51467,0,1.html"
38800536,Contemp Oncol (Pozn),Unknown,2024,10.5114/wo.2024.138842,"https://www.termedia.pl/Survival-after-docetaxel-for-metastatic-castration-resistant-prostate-cancer-in-a-rural-health-care-setting,3,53958,0,1.html"
37794990,Contemp Oncol (Pozn),Unknown,2023,10.5114/wo.2023.127436,"https://www.termedia.pl/Prognostic-value-of-geriatric-nutritional-risk-index-for-patients-with-biliary-tract-cancer-undergoing-surgical-resection-a-single-institution-retrospective-cohort-study,3,50683,0,1.html"
38784937,Postepy Dermatol Alergol,Unknown,2024,10.5114/ada.2024.138818,"https://www.termedia.pl/Afamelanotide-in-protoporphyria-and-other-skin-diseases-a-review,7,53950,0,1.html"
38784929,Postepy Dermatol Alergol,Unknown,2024,10.5114/ada.2024.138836,"https://www.termedia.pl/Allergy-to-ceftazidime-avibactam-diagnosis-r-nand-desensitization,7,53955,0,1.html"
38239588,Wideochir Inne Tech Maloinwazyjne,Unknown,2023,10.5114/wiitm.2023.133439,"https://www.termedia.pl/A-meta-analysis-of-randomized-controlled-trials-comparing-enteral-immunonutrition-EIN-and-standard-enteral-nutrition-regarding-biochemical-immunological-and-clinical-outcomes-in-gastrectomy-patients-w,42,51952,0,1.html"
36187063,Wideochir Inne Tech Maloinwazyjne,Unknown,2022,10.5114/wiitm.2022.115572,"https://www.termedia.pl/Efficacy-and-safety-of-microwave-ablation-for-benign-breast-lesions-a-systematic-review-and-meta-analysis,42,46861,0,1.html"
38808212,J Contemp Brachytherapy,Unknown,2024,10.5114/jcb.2024.139279,"https://www.termedia.pl/The-role-of-EUS-guided-iodine-125-seed-implantation-in-patients-with-unresectable-ampullary-cancer-after-relief-of-obstructive-jaundice,54,54078,0,1.html"
38808204,J Contemp Brachytherapy,Unknown,2024,10.5114/jcb.2024.139103,"https://www.termedia.pl/Salvage-percutaneous-high-dose-rate-brachyablation-after-stereotactic-body-radiation-therapy-for-early-stage-non-small-cell-lung-cancer,54,54025,0,1.html"
38282496,Pediatr Endocrinol Diabetes Metab,Unknown,2023,10.5114/pedm.2023.133122,"https://www.termedia.pl/Pediatric-obesity-time-to-act-as-early-as-possible,138,51886,0,1.html"
38282495,Pediatr Endocrinol Diabetes Metab,Unknown,2023,10.5114/pedm.2023.132030,"https://www.termedia.pl/Late-diagnosis-of-DiGeorge-syndrome-in-a-13-year-old-male-with-subclinical-r-ncourse-of-the-disease-case-report-and-literature-review,138,51639,0,1.html"
38524831,Biol Sport,Unknown,2024,10.5114/biolsport.2024.131818,"https://www.termedia.pl/Technical-and-tactical-evolution-of-the-offensive-team-sequences-r-nin-LaLiga-between-2008-and-2021-Is-Spanish-football-now-a-more-r-nassociative-game-,78,51582,0,1.html"
38524809,Biol Sport,Unknown,2024,10.5114/biolsport.2024.129487,"https://www.termedia.pl/Effects-of-light-vs-heavy-load-squat-training-on-velocity-strength-r-npower-and-total-mechanical-work-in-recreationally-trained-men-r-nand-women,78,51101,0,1.html"
38774204,Clin Exp Hepatol,Unknown,2023,10.5114/ceh.2023.132813,"https://www.termedia.pl/Comparison-of-intravenous-terlipressin-infusion-versus-bolus-in-patients-with-acute-on-chronic-liver-failure-acute-kidney-injury-an-open-label-RCT,80,51763,0,1.html"
36092757,Clin Exp Hepatol,Unknown,2022,10.5114/ceh.2022.115124,"https://www.termedia.pl/Activity-of-aminotransferases-as-a-marker-of-liver-injury-in-home-parenteral-nutrition-patients,80,46773,0,1.html"
