PMID,Journal,publisher_guess,year,doi,doi_url
25485283,J Org Biomol Simul,Unknown,2014,10.3844/jobsp.2014.1.13,https://thescipub.com/abstract/10.3844/jobsp.2014.1.13
26692957,Am Med J,Unknown,2015,10.3844/amjsp.2015.9.13,https://thescipub.com/abstract/10.3844/amjsp.2015.9.13
27688738,Am J Biochem Biotechnol,Unknown,2008,10.3844/ajbbsp.2008.114.120,https://thescipub.com/abstract/ajbbsp.2008.114.120
27683277,Am J Biochem Biotechnol,Unknown,2008,10.3844/ajbbsp.2008.121.129,https://thescipub.com/abstract/ajbbsp.2008.121.129
26561480,Am J Infect Dis,Unknown,2013,10.3844/ajidsp.2013.77.93,https://thescipub.com/abstract/10.3844/ajidsp.2013.77.93
22162956,Am J Infect Dis,Unknown,2006,10.3844/ajidsp.2006.159.166,https://thescipub.com/abstract/ajidsp.2006.159.166
35821964,Int J Res Nurs,Unknown,2021,10.3844/ijrnsp.2021.1.2,https://thescipub.com/abstract/10.3844/ijrnsp.2021.1.2
24478822,Am J Neurosci,Unknown,2012,10.3844/amjnsp.2012.1.9,https://thescipub.com/abstract/10.3844/amjnsp.2012.1.9
26949380,Am J Pharmacol Toxicol,Unknown,2008,10.3844/ajptsp.2008.152.159,https://thescipub.com/abstract/ajptsp.2008.152.159
19890461,Am J Pharmacol Toxicol,Unknown,2006,10.3844/ajptsp.2006.83.86,https://thescipub.com/abstract/ajptsp.2006.83.86
23869197,Am J Immunol,Unknown,2012,10.3844/ajisp.2012.44.51,https://thescipub.com/abstract/10.3844/ajisp.2012.44.51
20182648,Am J Immunol,Unknown,2009,10.3844/ajisp.2009.65.83,https://www.thescipub.com/abstract/10.3844/ajisp.2009.65.83
31186621,J Math Stat,Unknown,2019,10.3844/jmssp.2019.55.64,https://thescipub.com/abstract/10.3844/jmssp.2019.55.64
28706582,Am J Biostat,Unknown,2016,10.3844/amjbsp.2016.1.11,https://thescipub.com/abstract/10.3844/amjbsp.2016.1.11
28105290,Curr Res Psychol,Unknown,2016,10.3844/crpsp.2015.22.30,https://thescipub.com/abstract/10.3844/crpsp.2015.22.30
28203321,Am J Virol,Unknown,2016,10.3844/ajvsp.2016.1.7,https://thescipub.com/abstract/10.3844/ajvsp.2016.1.7
21479150,Am J Environ Sci,Unknown,2010,10.3844/ajessp.2010.249.252,https://www.thescipub.com/abstract/10.3844/ajessp.2010.249.252
25587244,Online J Biol Sci,Unknown,2014,10.3844/ojbsci.2014.49.56,https://thescipub.com/abstract/10.3844/ojbsci.2014.49.56
21935356,Online J Biol Sci,Unknown,2011,10.3844/ojbsci.2011.27.36,https://www.thescipub.com/abstract/10.3844/ojbsci.2011.27.36
