PMID,Journal,publisher_guess,year,doi,doi_url
38740374,Methods Inf Med,Unknown,2024,10.1055/s-0044-1786839,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-0044-1786839
36473495,Methods Inf Med,Unknown,2023,10.1055/a-1993-8036,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-1993-8036
8309498,Neurochirurgia (Stuttg),Unknown,1993,10.1055/s-2008-1053830,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-2008-1053830
8446292,Neurochirurgia (Stuttg),Unknown,1993,10.1055/s-2008-1052286,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-2008-1052286
6893742,Neuropadiatrie,Unknown,1980,10.1055/s-2008-1071381,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-2008-1071381
219391,Neuropadiatrie,Unknown,1979,10.1055/s-0028-1085314,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-0028-1085314
38788776,Nuklearmedizin,Unknown,2024,10.1055/a-2319-8306,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-2319-8306
38378023,Nuklearmedizin,Unknown,2024,10.1055/a-2265-4049,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-2265-4049
7208605,Pharmakopsychiatr Neuropsychopharmakol,Unknown,1980,10.1055/s-2007-1019652,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-2007-1019652
6102771,Pharmakopsychiatr Neuropsychopharmakol,Unknown,1980,10.1055/s-2007-1019604,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-2007-1019604
6665029,Pharmacopsychiatria,Unknown,1983,10.1055/s-2007-1019498,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-2007-1019498
6136997,Pharmacopsychiatria,Unknown,1983,10.1055/s-2007-1017452,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-2007-1017452
38897220,Pharmacopsychiatry,Unknown,2024,10.1055/a-2331-7684,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-2331-7684
35297031,Pharmacopsychiatry,Unknown,2022,10.1055/a-1704-8260,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-1704-8260
38885660,Planta Med,Unknown,2024,10.1055/a-2320-8822,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-2320-8822
37541437,Planta Med,Unknown,2023,10.1055/a-2148-7427,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-2148-7427
38914119,Pneumologie,Unknown,2024,10.1055/a-2331-8978,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-2331-8978
37619576,Pneumologie,Unknown,2023,10.1055/a-1849-4345,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-1849-4345
38863149,Dtsch Med Wochenschr,Unknown,2024,10.1055/a-2312-5950,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-2312-5950
38848750,Dtsch Med Wochenschr,Unknown,2024,10.1055/a-2328-5953,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-2328-5953
38914110,Endoscopy,Unknown,2024,10.1055/a-2341-0784,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-2341-0784
38759972,Endoscopy,Unknown,2024,10.1055/a-2308-8176,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-2308-8176
8056059,Exp Clin Endocrinol,Unknown,1994,10.1055/s-0029-1211270,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-0029-1211270
8299703,Exp Clin Endocrinol,Unknown,1993,10.1055/s-0029-1211244,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-0029-1211244
38901434,Fortschr Neurol Psychiatr,Unknown,2024,10.1055/a-2332-6107,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-2332-6107
7005040,Fortschr Neurol Psychiatr Grenzgeb,Unknown,1980,10.1055/s-2007-1005821,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-2007-1005821
6903554,Fortschr Neurol Psychiatr Grenzgeb,Unknown,1980,10.1055/s-2007-1002392,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-2007-1002392
38884029,Geburtshilfe Frauenheilkd,Unknown,2024,10.1055/a-2295-1725,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-2295-1725
38178899,Geburtshilfe Frauenheilkd,Unknown,2024,10.1055/a-2202-5282,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-2202-5282
38889804,Facial Plast Surg,Unknown,2024,10.1055/s-0044-1787723,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-0044-1787723
38806148,Facial Plast Surg,Unknown,2024,10.1055/s-0044-1786824,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-0044-1786824
38914123,Handchir Mikrochir Plast Chir,Unknown,2024,10.1055/a-2322-1325,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-2322-1325
38574754,Handchir Mikrochir Plast Chir,Unknown,2024,10.1055/a-2204-7599,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-2204-7599
38897225,J Knee Surg,Unknown,2024,10.1055/s-0044-1787829,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-0044-1787829
37903501,J Knee Surg,Unknown,2023,10.1055/s-0043-1773801,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-0043-1773801
38863150,Aorta (Stamford),Unknown,2023,10.1055/s-0044-1787743,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-0044-1787743
36521814,Aorta (Stamford),Unknown,2022,10.1055/s-0042-1756670,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-0042-1756670
38533093,European J Pediatr Surg Rep,Unknown,2024,10.1055/a-2280-9708,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-2280-9708
35795172,European J Pediatr Surg Rep,Unknown,2022,10.1055/s-0042-1750134,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-0042-1750134
38846596,Sleep Sci,Unknown,2024,10.1055/s-0043-1777776,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-0043-1777776
36419817,Sleep Sci,Unknown,2022,10.5935/1984-0063.20220071,https://www.thieme-connect.de/products/ejournals/abstract/10.5935/1984-0063.20220071
31922012,AIMS Genet,Unknown,2019,10.3934/genet.2019.4.88,https://www.thieme-connect.de/products/ejournals/abstract/10.3934/genet.2019.4.88
31435519,AIMS Genet,Unknown,2018,10.3934/genet.2018.2.161,https://www.thieme-connect.de/products/ejournals/abstract/10.3934/genet.2018.2.161
34012997,J Neuroanaesth Crit Care,Unknown,2019,10.1055/s-0039-1694688,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-0039-1694688
22187412,Cent Eur Neurosurg,Unknown,2011,10.1055/s-0031-1280838,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-0031-1280838
20094980,Cent Eur Neurosurg,Unknown,2010,10.1055/s-0029-1225325,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-0029-1225325
38774739,Indian J Plast Surg,Unknown,2024,10.1055/s-0044-1786816,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-0044-1786816
38026776,Indian J Plast Surg,Unknown,2023,10.1055/s-0043-1774385,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-0043-1774385
38912256,Indian J Radiol Imaging,Unknown,2024,10.1055/s-0044-1779587,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-0044-1779587
38549903,Indian J Radiol Imaging,Unknown,2024,10.1055/s-0043-1776064,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-0043-1776064
38772404,Hamostaseologie,Unknown,2024,10.1055/s-0044-1787122,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-0044-1787122
36958372,Hamostaseologie,Unknown,2023,10.1055/a-1916-7764,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-1916-7764
17345552,Z Orthop Ihre Grenzgeb,Unknown,2007,10.1055/s-2007-960533,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-2007-960533
16991066,Z Orthop Ihre Grenzgeb,Unknown,2006,10.1055/s-2006-942239,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-2006-942239
38885663,Zentralbl Chir,Unknown,2024,10.1055/a-2324-1692,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-2324-1692
38382561,Zentralbl Chir,Unknown,2024,10.1055/a-2257-9739,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-2257-9739
17213978,Zentralbl Gynakol,Unknown,2006,10.1055/s-2006-933425,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-2006-933425
15800841,Zentralbl Gynakol,Unknown,2005,10.1055/s-2005-836327,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-2005-836327
19016383,Zentralbl Neurochir,Unknown,2008,10.1055/s-0028-1100380,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-0028-1100380
16958009,Zentralbl Neurochir,Unknown,2006,10.1055/s-2006-942146,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-2006-942146
2293541,Z Kinderchir,Unknown,1990,10.1055/s-2008-1042623,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-2008-1042623
2375189,Z Kinderchir,Unknown,1990,10.1055/s-2008-1042576,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-2008-1042576
38810967,Semin Speech Lang,Unknown,2024,10.1055/s-0044-1787098,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-0044-1787098
33725733,Semin Speech Lang,Unknown,2021,10.1055/s-0041-1723842,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-0041-1723842
22287030,Minim Invasive Neurosurg,Unknown,2011,10.1055/s-0031-1287774,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-0031-1287774
21863517,Minim Invasive Neurosurg,Unknown,2011,10.1055/s-0031-1283129,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-0031-1283129
38871000,Z Geburtshilfe Neonatol,Unknown,2024,10.1055/a-2325-5490,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-2325-5490
38286412,Z Geburtshilfe Neonatol,Unknown,2024,10.1055/a-2222-6568,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-2222-6568
10851575,Semin Reprod Endocrinol,Unknown,1999,10.1055/s-2007-1016245,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-2007-1016245
10406077,Semin Reprod Endocrinol,Unknown,1999,10.1055/s-2007-1016213,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-2007-1016213
38701802,Tierarztl Prax Ausg G Grosstiere Nutztiere,Unknown,2024,10.1055/a-2253-8103,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-2253-8103
35523193,Tierarztl Prax Ausg G Grosstiere Nutztiere,Unknown,2022,10.1055/a-1812-6337,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-1812-6337
38889899,Arq Neuropsiquiatr,Unknown,2024,10.1055/s-0044-1787187,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-0044-1787187
38641339,Arq Neuropsiquiatr,Unknown,2024,10.1055/s-0044-1785691,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-0044-1785691
38914080,Anasthesiol Intensivmed Notfallmed Schmerzther,Unknown,2024,10.1055/a-2265-8168,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-2265-8168
36958311,Anasthesiol Intensivmed Notfallmed Schmerzther,Unknown,2023,10.1055/a-1861-0043,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-1861-0043
38710219,J Am Acad Audiol,Unknown,2024,10.1055/a-2320-5600,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/a-2320-5600
