PMID,Journal,publisher_guess,year,doi,doi_url
37275473,Can Public Policy,Unknown,2022,10.3138/cpp.2021-043,https://utpjournals.press/doi/10.3138/cpp.2021-043
18727218,Can J Hist,Unknown,2001,10.3138/cjh.36.1.27,https://utpjournals.press/doi/10.3138/cjh.36.1.27
19967826,Can J Hist,Unknown,1999,10.3138/cjh.34.1.51,https://utpjournals.press/doi/10.3138/cjh.34.1.51
38725606,Physiother Can,Unknown,2024,10.3138/ptc-2022-0027-cc,https://utpjournals.press/doi/10.3138/ptc-2022-0027-cc
38465305,Physiother Can,Unknown,2024,10.3138/ptc-2021-0110,https://utpjournals.press/doi/10.3138/ptc-2021-0110
21910268,J Can Stud,Unknown,2011,10.3138/jcs.45.1.178,https://utpjournals.press/doi/10.3138/jcs.45.1.178
11635224,J Can Stud,Unknown,1984,10.3138/jcs.19.3.50,https://utpjournals.press/doi/10.3138/jcs.19.3.50
11657457,Canadian,Unknown,1993,10.3138/cbmh.10.1.49,https://utpjournals.press/doi/10.3138/cbmh.10.1.49
11651339,Tor J Theol,Unknown,1990,10.3138/tjt.6.1.44,https://utpjournals.press/doi/10.3138/tjt.6.1.44
11651338,Tor J Theol,Unknown,1990,10.3138/tjt.6.1.27,https://utpjournals.press/doi/10.3138/tjt.6.1.27
38031553,Int J Fem Approaches Bioeth,Unknown,2022,10.3138/ijfab.15.2.03,https://utpjournals.press/doi/10.3138/ijfab.15.2.03
35991863,Int J Fem Approaches Bioeth,Unknown,2021,10.3138/ijfab-14.1.03,https://utpjournals.press/doi/10.3138/ijfab-14.1.03
38546383,Clin Invest Med,Unknown,2024,10.3138/cim-2024-2672,https://utpjournals.press/doi/10.3138/cim-2024-2672
37769276,Clin Invest Med,Unknown,2023,10.25011/cim.v46i3.40273,https://utpjournals.press/loi/cim
22229165,Can Hist Rev,Unknown,2011,10.3138/chr.92.4.637,https://utpjournals.press/doi/10.3138/chr.92.4.637
21188886,Can Rev Am Stud,Unknown,2010,10.3138/cras.40.3.351,https://utpjournals.press/doi/10.3138/cras.40.3.351
16805058,Can Rev Am Stud,Unknown,2000,10.3138/cras-s030-03-02,https://utpjournals.press/doi/10.3138/CRAS-s030-03-02
11621327,Bull Can Hist Med,Unknown,1986,10.3138/cbmh.3.1.97,https://utpjournals.press/doi/10.3138/cbmh.3.1.97
11621332,Bull Can Hist Med,Unknown,1986,10.3138/cbmh.3.2.225,https://utpjournals.press/doi/10.3138/cbmh.3.2.225
11635456,Newsl Can Soc Hist Med,Unknown,1979,10.3138/cbmh.1979.9,https://utpjournals.press/doi/10.3138/cbmh.1979.9
37274840,Can J Hum Sex,Unknown,2022,10.3138/cjhs.2022-0020,https://utpjournals.press/doi/10.3138/cjhs.2022-0020
35979063,Can J Program Eval,Unknown,2022,10.3138/cjpe.72386,https://utpjournals.press/doi/10.3138/cjpe.72386
35506606,Can Bull Med Hist,Unknown,2022,10.3138/cjhh.562-012022,https://utpjournals.press/doi/10.3138/cjhh.562-012022
29661005,Can Bull Med Hist,Unknown,2018,10.3138/cbmh.191-122016,https://utpjournals.press/doi/10.3138/cbmh.191-122016
