PMID,Journal,publisher_guess,year,doi,doi_url
38914107,Phys Med Biol,Unknown,2024,10.1088/1361-6560/ad5b48,"https://validate.perfdrive.com/fb803c746e9148689b3984a31fccd902/?ssa=10bb9ed0-bd47-47f8-8c2e-1868897e9fc6&ssb=07387291816&ssc=https%3A%2F%2Fiopscience.iop.org%2Farticle%2F10.1088%2F1361-6560%2Fad5b48&ssi=7970de97-8427-443b-ae11-6fa108702bcd&ssk=support@shieldsquare.com&ssm=13924454794465333109013254033264&ssn=5106f03fd890d9f8e58be387cacca578b970bb217569-edcc-4e45-a51fef&sso=4407b5a9-c975a68efcacb9711b493ba900305896cce3b214e4bafe30&ssp=56057371351720149051172010774315721&ssq=65893523842513853379338425823397627723367&ssr=MTk4LjI3LjE4My4xMTc=&sst=Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/58.0.3029.110%20Safari/537.36&ssu=&ssv=&ssw=&ssx=eyJyZCI6ImlvcC5vcmciLCJfX3V6bWYiOiI3ZjYwMDA2YjMwYWY1OC0yY2ViLTQ2YzgtYmY4OS0yODgzNzE2NjYwMTExNzIwMTM4NDI1MTQ2MC1hZmExY2YyODQzMjBhMTRmMTAiLCJ1em14IjoiN2Y5MDAwOGFhZjkwNTAtOGY0ZS00ZGE3LTkzNjItMjk3ZjZiZTA3ZjY5MS0xNzIwMTM4NDI1MTQ2MC0wZjkxYzA2ZDdhZDc3OGU4MTAifQ=="
38729180,Phys Med Biol,Unknown,2024,10.1088/1361-6560/ad4a01,"https://validate.perfdrive.com/fb803c746e9148689b3984a31fccd902/?ssa=98a792cb-f329-4f2a-a623-b6c9dcb2ab4f&ssb=93230217586&ssc=https%3A%2F%2Fiopscience.iop.org%2Farticle%2F10.1088%2F1361-6560%2Fad4a01&ssi=123a3c76-8427-484b-b9bc-a419bb5b9dbd&ssk=support@shieldsquare.com&ssm=65243354191109910100937870263666&ssn=6f8d60675af58043605e6b5f68e092ffcb2a595848b9-684e-45aa-abdfcc&sso=bb15ac0c-a3d908dc039d2ad937fb4bc939e6074c78ca1b48364fb204&ssp=49434180641720197589172018500550595&ssq=67339173842695806537438426841267850613129&ssr=MTk4LjI3LjE4My4xMTc=&sst=Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/58.0.3029.110%20Safari/537.36&ssu=&ssv=&ssw=&ssx=eyJyZCI6ImlvcC5vcmciLCJ1em14IjoiN2Y5MDAwZThmMjE2OGEtY2M4MC00MDcxLTg4NmEtOGMyZDZjMjQ5ZjE5MS0xNzIwMTM4NDI2NjcwMC01NzY3NmE3YjY0ZWU0YzkxMTAiLCJfX3V6bWYiOiI3ZjYwMDBjNzgwZDJhMi1kNzNlLTQ1ZDktOTRhYy05YmRhODIyNDcxMDMxNzIwMTM4NDI2NjcwMC01MzYwOGQwN2RlN2NhZDQ3MTAifQ=="
29531793,Converg Sci Phys Oncol,Unknown,2017,10.1088/2057-1739/aa9263,"https://validate.perfdrive.com/fb803c746e9148689b3984a31fccd902/?ssa=384da140-a542-40d0-8ea6-f18c4695de54&ssb=73614239798&ssc=https%3A%2F%2Fiopscience.iop.org%2Farticle%2F10.1088%2F2057-1739%2Faa9263&ssi=24c06d9b-8427-450c-9f8e-0b69e98dd437&ssk=support@shieldsquare.com&ssm=43869641339550073107329979614240&ssn=bcaedb46c598f3a0db96afe2a54ee1328c310b519c3f-224d-4a3a-b2574c&sso=707cae91-8607c12e723fecf526676aac3a2e75e0f74d8234dacd6e6e&ssp=81383082741720212846172022280201793&ssq=43813459426023856945694260967979681740858&ssr=MTk4LjI3LjE4MC4xNTI=&sst=Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/58.0.3029.110%20Safari/537.36&ssu=&ssv=&ssw=&ssx=eyJfX3V6bWYiOiI3ZjYwMDBlZjNiZjcxMy02OGRlLTQ1OGEtOGVlOC05MWIxMmIyOTZjYzExNzIwMjk0MjYwMzE2MC0xMjE4NGNjNmJhMTk0ZWY3MTAiLCJ1em14IjoiN2Y5MDAwM2ZhZjBiNWYtMjMzNy00ZTUzLTk0NWEtOWY2ZmU5MTJmYTRkMS0xNzIwMjk0MjYwMzE2MC1kMGIxMDljZmFkNWU4NzlkMTAiLCJyZCI6ImlvcC5vcmcifQ=="
38906125,Biomed Phys Eng Express,Unknown,2024,10.1088/2057-1976/ad5a9e,"https://validate.perfdrive.com/fb803c746e9148689b3984a31fccd902/?ssa=5b20fa37-0f54-4230-8069-d6b6b32763c6&ssb=51564230278&ssc=https%3A%2F%2Fiopscience.iop.org%2Farticle%2F10.1088%2F2057-1976%2Fad5a9e&ssi=96d68791-8427-4d17-9bc3-09f751483828&ssk=support@shieldsquare.com&ssm=12387340835443507106438255330051&ssn=9e438cdfc148c1b0e01b8d5a776c8ffd3d0aa48698ab-d200-44b0-a5526b&sso=70b5b679-3c6ba6390889e8589fda810876c3eb5cc5d43f54d8b8cca2&ssp=59730731421720221449172023012997282&ssq=18469539461417399599094614586329554953163&ssr=MTk4LjI3LjE4MC4xNTI=&sst=Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/58.0.3029.110%20Safari/537.36&ssu=&ssv=&ssw=&ssx=eyJ1em14IjoiN2Y5MDAwNTYwMTBmZmQtYzVjNi00YWM5LWEzYTAtZmI4NzQwYzk4MjNiMS0xNzIwMjk0NjE0NjQ0MC03YjI0YjdhZGMwOGE0MDc1MTAiLCJfX3V6bWYiOiI3ZjYwMDA2YWRkMTRjMi03NmFiLTRjNmItOGVhMC1mOGYwNDQ0Y2IwZmExNzIwMjk0NjE0NjQ0MC04NmNkNDg2NjcyNmVkOTFmMTAiLCJyZCI6ImlvcC5vcmcifQ=="
38447224,Biomed Phys Eng Express,Unknown,2024,10.1088/2057-1976/ad30ca,"https://validate.perfdrive.com/fb803c746e9148689b3984a31fccd902/?ssa=451da60b-c5ff-408e-a7a0-7871fd2f920f&ssb=03471299195&ssc=https%3A%2F%2Fiopscience.iop.org%2Farticle%2F10.1088%2F2057-1976%2Fad30ca&ssi=11b1f367-8427-4e46-ac89-2aec976c30e7&ssk=support@shieldsquare.com&ssm=68027819143807019109553158984232&ssn=a6c699b4ef7c4a718c36cf0a51be1e3eebdff00f6a07-d20f-420f-908ec2&sso=3df3d383-fe77b9a8a4a6057db48aa7a329188f29d66351fe854989fe&ssp=00316644931720247879172022721954125&ssq=12435509461677155029394616215508815971348&ssr=MTk4LjI3LjE4MC4xNTI=&sst=Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/58.0.3029.110%20Safari/537.36&ssu=&ssv=&ssw=&ssx=eyJfX3V6bWYiOiI3ZjYwMDBmNzdkY2JiMC1mYzY5LTRlYWEtYTY4Yi01MTFmMjEzNzZjZWIxNzIwMjk0NjE2MjA0MC0zZGUwYmQ0MGIxYWFjZmQ1MTAiLCJyZCI6ImlvcC5vcmciLCJ1em14IjoiN2Y5MDAwY2VjOWYyNzgtMjdiMy00ZDIxLWExYTAtNzg4ODRmZWY3N2FmMS0xNzIwMjk0NjE2MjA0MC1kNjJjNzRmZDkzOGFlOGFiMTAifQ=="
36821855,Rep Prog Phys,Unknown,2023,10.1088/1361-6633/acbe50,"https://validate.perfdrive.com/fb803c746e9148689b3984a31fccd902/?ssa=c2d91fe7-c1a2-4753-ae25-ca1dbd1d4a6b&ssb=68455292650&ssc=https%3A%2F%2Fiopscience.iop.org%2Farticle%2F10.1088%2F1361-6633%2Facbe50&ssi=d3eba1eb-8427-4cec-bc97-d469f7910e40&ssk=support@shieldsquare.com&ssm=53618507123210972104961962000660&ssn=296ae60f8b64ca707bb37e5cd31158d30a98fc558e65-becb-485c-a428dd&sso=0e26bd4f-320c04dcc02ae2006dd84284649b7eec48e558ca917c04df&ssp=42331500861720285108172024892748056&ssq=61904544326758824261743267814302668887236&ssr=MTk4LjI3LjE4My4xMTc=&sst=Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/58.0.3029.110%20Safari/537.36&ssu=&ssv=&ssw=&ssx=eyJ1em14IjoiN2Y5MDAwOWI3ZTg1OTItMjU3My00NDA3LWI2ZDMtNGVmZjA0MTgzMzQwMS0xNzIwMjQzMjY3OTM1MC0zNzdkOTRmZDBkZjg4YmNhMTAiLCJyZCI6ImlvcC5vcmciLCJfX3V6bWYiOiI3ZjYwMDAzZjlkODJmYi01ZDBhLTQ4ZDItYTI4MS0zYTA2ZWU2NmFmNjkxNzIwMjQzMjY3OTM1MC1mZjk2MTE3YWY2MTBhMjg3MTAifQ=="
38357555,J Electrochem Soc,Unknown,2024,10.1149/1945-7111/ad2397,"https://validate.perfdrive.com/fb803c746e9148689b3984a31fccd902/?ssa=eafefc02-9163-42b1-beaa-787f7070ec37&ssb=86593282490&ssc=https%3A%2F%2Fiopscience.iop.org%2Farticle%2F10.1149%2F1945-7111%2Fad2397&ssi=d1ccccca-8427-4e9f-af17-a1503752b776&ssk=support@shieldsquare.com&ssm=72034061608851549104307295343384&ssn=ba5336422836d0ad2850393cee98f20c5aeb3e2e4ee3-4809-49f3-a18a50&sso=a900aefb-e9d9c46f7df0688fbac3c294331ef9cd6837c7595baf41ef&ssp=43051613971720293891172026574351392&ssq=85927942904586172742929045648190588994834&ssr=MTk4LjI3LjE4My4xMTc=&sst=Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/58.0.3029.110%20Safari/537.36&ssu=&ssv=&ssw=&ssx=eyJ1em14IjoiN2Y5MDAwNjBjNTVjMzktMmE4YS00ZGI0LTljNDQtMTQxYjVhZjdhNGFiMS0xNzIwMjI5MDQ1ODU4MC0xZjY0MWExNmY3NjE2OTBkMTAiLCJfX3V6bWYiOiI3ZjYwMDAyOGVjNmNkMS1iOWNlLTQxMzUtODJhOC0xNzQ2M2YxOGNlNzUxNzIwMjI5MDQ1ODU4MC05N2FmYTQ4YmI4ZmY0Y2E1MTAiLCJyZCI6ImlvcC5vcmcifQ=="
29225367,J Electrochem Soc,Unknown,2017,10.1149/2.1131707jes,"https://validate.perfdrive.com/fb803c746e9148689b3984a31fccd902/?ssa=ffbe4b8f-3078-42f1-9262-c95376721c8d&ssb=93961234923&ssc=https%3A%2F%2Fiopscience.iop.org%2Farticle%2F10.1149%2F2.1131707jes&ssi=7135466f-8427-4692-8b08-8531f73df058&ssk=support@shieldsquare.com&ssm=24114976529123601106810637416728&ssn=2b3454fd2e5d81eb512361e9d038a73f49de355535ab-bea1-4097-bfcb1a&sso=7e5a03a2-ab9d29911f0664a82f57c1a85eb7061721ab15e7b778a51f&ssp=44803484661720279912172025096293649&ssq=27102712905011801290129050439075216983236&ssr=MTk4LjI3LjE4My4xMTc=&sst=Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/58.0.3029.110%20Safari/537.36&ssu=&ssv=&ssw=&ssx=eyJfX3V6bWYiOiI3ZjYwMDA0MDU1MTY3Yi05YjI3LTRhNmMtYmYxNC00N2M1ZTNmZjg2NjAxNzIwMjI5MDUwMjgyMC1kYzZlZTcyOGIxODEwODljMTAiLCJ1em14IjoiN2Y5MDAwODU0OTllMGQtMGIyOC00OTY0LTk0ODAtYTM2MTk4OWNiY2I1MS0xNzIwMjI5MDUwMjgyMC00NmY3ZGRkMDRiY2EyYmM5MTAiLCJyZCI6ImlvcC5vcmcifQ=="
38586082,J Micromech Microeng,Unknown,2024,10.1088/1361-6439/ad27f7,"https://validate.perfdrive.com/fb803c746e9148689b3984a31fccd902/?ssa=9b4deb43-5731-4c59-8091-3da88526047b&ssb=95199218808&ssc=https%3A%2F%2Fiopscience.iop.org%2Farticle%2F10.1088%2F1361-6439%2Fad27f7&ssi=ddecff9a-8427-4ea3-8b6c-6a82085fc683&ssk=support@shieldsquare.com&ssm=76152142177303205108524718155204&ssn=6f2d487dbec0e2e41612c12ccfc2c7f5361b973a05fb-816b-4b27-96e8b6&sso=62855d65-de31bbddc30eab487eb815288d3f0a3c924632e51e121125&ssp=51092202431720204634172023152711053&ssq=67203293129673842323731296686448343417294&ssr=MTk4LjI3LjE4My4xMTc=&sst=Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/58.0.3029.110%20Safari/537.36&ssu=&ssv=&ssw=&ssx=eyJfX3V6bWYiOiI3ZjYwMDBlMTUyMTAxYi1iYTBjLTQ2MDEtYTg4ZC02OWY2MDc0NTk1ZjgxNzIwMjMxMjk2OTEyMC1mNGY4Nzk3MThmZDEzZDc1MTAiLCJ1em14IjoiN2Y5MDAwNzFmZDA4ODMtZWNlMy00ZjFlLWJlMjItMGYzZmQ1MTUwMWQ2MS0xNzIwMjMxMjk2OTEyMC1kNjY3OWMzYzhiM2VkOTI1MTAiLCJyZCI6ImlvcC5vcmcifQ=="
28008214,J Micromech Microeng,Unknown,2016,10.1088/0960-1317/26/11/115006,"https://validate.perfdrive.com/fb803c746e9148689b3984a31fccd902/?ssa=bda039d5-ff24-437b-b25a-ff0c2a75c8e2&ssb=41253222359&ssc=https%3A%2F%2Fiopscience.iop.org%2Farticle%2F10.1088%2F0960-1317%2F26%2F11%2F115006&ssi=51794fa7-8427-4bfd-896f-abce2e09f36e&ssk=support@shieldsquare.com&ssm=31786450349014845106125865028527&ssn=9ec4b66ebb9f85f01656148ba8c88287877e3c36c86b-fa91-4167-ad65a9&sso=ee8ad79e-200861e9d485aa392675d75b140b8ed4ebfdd0ce9f05a688&ssp=76055033051720205969172027096075505&ssq=96563333130184129712631301527632360837626&ssr=MTk4LjI3LjE4My4xMTc=&sst=Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/58.0.3029.110%20Safari/537.36&ssu=&ssv=&ssw=&ssx=eyJyZCI6ImlvcC5vcmciLCJ1em14IjoiN2Y5MDAwYzU5NmU0NzUtNGZlYy00NTAyLWEyYjEtY2U4YzU4ZjViODJlMS0xNzIwMjMxMzAxOTUwMC1iODc3NDEzNjBhZGJmYjc5MTAiLCJfX3V6bWYiOiI3ZjYwMDBjMGEyYTBlYi1hZDdkLTQyZGEtODcxYy0xZTA5NjNlNTBhZGUxNzIwMjMxMzAxOTUwMC0zZjc3ZTU3MjYwNDYyNGQ0MTAifQ=="
