PMID,Journal,publisher_guess,year,doi,doi_url
29226023,Dentistry,Unknown,2017,10.4172/2161-1122.1000448,https://www.walshmedicalmedia.com/open-access/evaluating-the-whitening-and-microstructural-effects-of-a-novel-whitening-strip-on-porcelain-and-composite-dental-materials-2161-1122-1000449.pdf
28111598,J Microb Biochem Technol,Unknown,2016,10.4172/1948-5948.1000295,https://www.walshmedicalmedia.com/open-access/the-mpegpcl-copolymer-for-selective-fermentation-of-staphylococcus-lugdunensis-against-candida-parapsilosis-in-the-human-microbiom-1948-5948-1000295.pdf
27307950,J Microb Biochem Technol,Unknown,2016,10.4172/1948-5948.1000276,https://www.walshmedicalmedia.com/open-access/expression-profiling-of-lps-responsive-mirna-in-primary-human-macrophages-1948-5948-1000276.pdf
26985456,Health Care Curr Rev,Unknown,2015,10.4172/2375-4273.1000142,https://www.walshmedicalmedia.com/open-access/compassion-cultivation-in-chronic-pain-may-reduce-anger-pain-andincrease-acceptance-study-review-and-brief-commentary-2375-4273-1000142.pdf
30197840,J Gerontol Geriatr Res,Unknown,2018,10.4172/2167-7182.1000467,https://www.walshmedicalmedia.com/open-access/frequency-of-infection-during-fever-episodes-among-longterm-care-residents-2167-7182-1000467.pdf
26664780,J Nutr Disord Ther,Unknown,2015,10.4172/2161-0509.1000169,https://www.walshmedicalmedia.com/open-access/health-behavior-knowledge-and-selfefficacy-as-predictors-of-body-weight-2161-0509-1000169.pdf
25685826,Trop Med Surg,Unknown,2014,10.4172/2329-9088.1000177,https://www.walshmedicalmedia.com/open-access/does-screening-keep-ebola-out-of-usa-2329-9088.1000177.pdf
25221781,Trop Med Surg,Unknown,2013,10.4172/2329-9088.1000117,https://www.walshmedicalmedia.com/open-access/enrollment-in-yfv-vaccine-trial-an-evaluation-of-recruitment-outcomes-associated-with-a-randomized-23299-9088.1000117.pdf
25309814,J Blood Disord Transfus,Unknown,2013,10.4172/2155-9864.1000158,https://www.walshmedicalmedia.com/open-access/cryopreservation-and-enumeration-of-human-endothelial-progenitor-and-endothelial-cells-for-clinical-trials-2155-9864.1000158.pdf
25705706,J Pharmacovigil,Unknown,2015,10.4172/2329-6887.1000e130,https://www.walshmedicalmedia.com/open-access/differential-cerebrovascular-toxicity-of-various-tobacco-products-a-regulatory-perspective-2329-6887.1000e130.pdf
25110719,Clin Microbiol,Unknown,2014,10.4172/2327-5073.1000142,https://www.walshmedicalmedia.com/open-access/utility-of-diagnostic-imaging-in-the-diagnosis-and-management-of-schistosomiasis-2327-5073.1000142.pdf
