PMID,Journal,publisher_guess,year,doi,doi_url
28239564,World J Obstet Gynecol,Unknown,2016,10.5317/WJOG.v5.i2.150,https://www.wjgnet.com/2218-6220/full/v5/i2/150.htm
26478860,World J Obstet Gynecol,Unknown,2014,10.5317/wjog.v3.i2.71,https://www.wjgnet.com/2218-6220/full/v3/i2/71.htm
27904836,World J Respirol,Unknown,2016,10.5320/WJR.v6.i3.69,https://www.wjgnet.com/2218-6255/full/v6/i3/69.htm
28529892,World J Respirol,Unknown,2015,10.5320/wjr.v5.i2.126,https://www.wjgnet.com/2218-6255/full/v5/i2/126.htm
27489782,World J Rheumatol,Unknown,2016,10.5499/WJR.v6.i2.23,https://www.wjgnet.com/2220-3214/full/v6/i2/23.htm
26413481,World J Hypertens,Unknown,2015,10.5494/wjh.v5.i2.14,https://www.wjgnet.com/2220-3168/full/v5/i2/14.htm
24587981,World J Hypertens,Unknown,2012,10.5494/wjh.v2.i4.34,https://www.wjgnet.com/2220-3168/full/v2/i4/34.htm
38855281,World J Crit Care Med,Unknown,2024,10.5492/wjccm.v13.i2.91225,https://www.wjgnet.com/2220-3141/full/v13/i2/91225.htm
38855272,World J Crit Care Med,Unknown,2024,10.5492/wjccm.v13.i2.91794,https://www.wjgnet.com/2220-3141/full/v13/i2/91794.htm
25621222,World J Immunol,Unknown,2014,10.5411/wji.v4.i1.26,https://www.wjgnet.com/2219-2824/full/v4/i1/26.htm
25364655,World J Immunol,Unknown,2014,10.5411/wji.v4.i1.1,https://www.wjgnet.com/2219-2824/full/v4/i1/1.htm
25960948,World J Otorhinolaryngol,Unknown,2013,10.5319/wjo.v3.i2.26,https://www.wjgnet.com/2218-6247/full/v3/i2/26.htm
35757280,World J Transl Med,Unknown,2016,10.5528/wjtm.v5.i1.1,https://www.wjgnet.com/2220-6132/full/v5/i1/1.htm
27042404,World J Transl Med,Unknown,2015,10.5528/wjtm.v4.i3.60,https://www.wjgnet.com/2220-6132/full/v4/i3/60.htm
38577208,World J Methodol,Unknown,2024,10.5662/wjm.v14.i1.89853,https://www.wjgnet.com/2222-0682/full/v14/i1/89853.htm
38577196,World J Methodol,Unknown,2024,10.5662/wjm.v14.i1.90316,https://www.wjgnet.com/2222-0682/full/v14/i1/90316.htm
38596448,World J Clin Pediatr,Unknown,2024,10.5409/wjcp.v13.i1.90755,https://www.wjgnet.com/2219-2808/full/v13/i1/90755.htm
37753491,World J Clin Pediatr,Unknown,2023,10.5409/wjcp.v12.i4.237,https://www.wjgnet.com/2219-2808/full/v12/i4/237.htm
25678989,World J Pharmacol,Unknown,2014,10.5497/wjp.v3.i4.39,https://www.wjgnet.com/2220-3192/full/v3/i4/39.htm
37575964,World J Metaanal,Unknown,2023,10.13105/wjma.v11.i5.167,https://www.wjgnet.com/2308-3840/full/v11/i5/167.htm
25741509,World J Metaanal,Unknown,2015,10.13105/wjma.v3.i1.4,https://www.wjgnet.com/2308-3840/full/v3/i1/4.htm
38596270,World J Nephrol,Unknown,2024,10.5527/wjn.v13.i1.88028,https://www.wjgnet.com/2220-6124/full/v13/i1/88028.htm
28540198,World J Nephrol,Unknown,2017,10.5527/wjn.v6.i3.86,https://www.wjgnet.com/2220-6124/full/v6/i3/86.htm
38808093,World J Psychiatry,Unknown,2024,10.5498/wjp.v14.i5.653,https://www.wjgnet.com/2220-3206/full/v14/i5/653.htm
38186728,World J Psychiatry,Unknown,2023,10.5498/wjp.v13.i12.995,https://www.wjgnet.com/2220-3206/full/v13/i12/995.htm
38616860,World J Virol,Unknown,2024,10.5501/wjv.v13.i1.89104,https://www.wjgnet.com/2220-3249/full/v13/i1/89104.htm
36483104,World J Virol,Unknown,2022,10.5501/wjv.v11.i6.426,https://www.wjgnet.com/2220-3249/full/v11/i6/426.htm
38576766,World J Transplant,Unknown,2024,10.5500/wjt.v14.i1.89223,https://www.wjgnet.com/2220-3230/full/v14/i1/89223.htm
35433333,World J Transplant,Unknown,2022,10.5500/wjt.v12.i3.59,https://www.wjgnet.com/2220-3230/full/v12/i3/59.htm
38899312,World J Clin Cases,Unknown,2024,10.12998/wjcc.v12.i16.2881,https://www.wjgnet.com/2307-8960/full/v12/i16/2881.htm
38899281,World J Clin Cases,Unknown,2024,10.12998/wjcc.v12.i16.2686,https://www.wjgnet.com/2307-8960/full/v12/i16/2686.htm
38590309,World J Exp Med,Unknown,2024,10.5493/wjem.v14.i1.88064,https://www.wjgnet.com/2220-315X/full/v14/i1/88064.htm
32266125,World J Exp Med,Unknown,2020,10.5493/wjem.v10.i2.10,https://www.wjgnet.com/2220-315x/full/v10/i2/10.htm
38817651,World J Cardiol,Unknown,2024,10.4330/wjc.v16.i5.260,https://www.wjgnet.com/1949-8462/full/v16/i5/260.htm
37576543,World J Cardiol,Unknown,2023,10.4330/wjc.v15.i7.342,https://www.wjgnet.com/1949-8462/full/v15/i7/342.htm
38818301,World J Hepatol,Unknown,2024,10.4254/wjh.v16.i5.667,https://www.wjgnet.com/1948-5182/full/v16/i5/667.htm
38223420,World J Hepatol,Unknown,2023,10.4254/wjh.v15.i12.1333,https://www.wjgnet.com/1948-5182/full/v15/i12/1333.htm
38764850,World J Gastrointest Oncol,Unknown,2024,10.4251/wjgo.v16.i5.1947,https://www.wjgnet.com/1948-5204/full/v16/i5/1947.htm
38764815,World J Gastrointest Oncol,Unknown,2024,10.4251/wjgo.v16.i5.2006,https://www.wjgnet.com/1948-5204/full/v16/i5/2006.htm
38817303,World J Gastrointest Surg,Unknown,2024,10.4240/wjgs.v16.i5.1301,https://www.wjgnet.com/1948-9366/full/v16/i5/1301.htm
38690039,World J Gastrointest Surg,Unknown,2024,10.4240/wjgs.v16.i4.1078,https://www.wjgnet.com/1948-9366/full/v16/i4/1078.htm
38813578,World J Gastrointest Endosc,Unknown,2024,10.4253/wjge.v16.i5.227,https://www.wjgnet.com/1948-5190/full/v16/i5/227.htm
38073763,World J Gastrointest Endosc,Unknown,2023,10.4253/wjge.v15.i11.658,https://www.wjgnet.com/1948-5190/full/v15/i11/658.htm
38845608,World J Radiol,Unknown,2024,10.4329/wjr.v16.i5.109,https://www.wjgnet.com/1949-8470/full/v16/i5/109.htm
37424736,World J Radiol,Unknown,2023,10.4329/wjr.v15.i6.182,https://www.wjgnet.com/1949-8470/full/v15/i6/182.htm
38817336,World J Stem Cells,Unknown,2024,10.4252/wjsc.v16.i5.604,https://www.wjgnet.com/1948-0210/full/v16/i5/604.htm
37900937,World J Stem Cells,Unknown,2023,10.4252/wjsc.v15.i9.876,https://www.wjgnet.com/1948-0210/full/v15/i9/876.htm
37901302,World J Biol Chem,Unknown,2023,10.4331/wjbc.v14.i5.84,https://www.wjgnet.com/1949-8454/full/v14/i5/84.htm
30622681,World J Biol Chem,Unknown,2019,10.4331/wjbc.v10.i1.7,https://www.wjgnet.com/1949-8454/full/v10/i1/7.htm
38846968,World J Gastrointest Pharmacol Ther,Unknown,2024,10.4292/wjgpt.v15.i3.92305,https://www.wjgnet.com/2150-5349/full/v15/i3/92305.htm
33251034,World J Gastrointest Pharmacol Ther,Unknown,2020,10.4292/wjgpt.v11.i5.93,https://www.wjgnet.com/2150-5349/full/v11/i5/93.htm
38845820,World J Gastrointest Pathophysiol,Unknown,2024,10.4291/wjgp.v15.i2.92791,https://www.wjgnet.com/2150-5330/full/v15/i2/92791.htm
35720165,World J Gastrointest Pathophysiol,Unknown,2022,10.4291/wjgp.v13.i3.59,https://www.wjgnet.com/2150-5330/full/v13/i3/59.htm
38766443,World J Diabetes,Unknown,2024,10.4239/wjd.v15.i5.828,https://www.wjgnet.com/1948-9358/full/v15/i5/828.htm
38591074,World J Diabetes,Unknown,2024,10.4239/wjd.v15.i3.455,https://www.wjgnet.com/1948-9358/full/v15/i3/455.htm
38835851,World J Clin Oncol,Unknown,2024,10.5306/wjco.v15.i5.587,https://www.wjgnet.com/2218-4333/full/v15/i5/587.htm
38576590,World J Clin Oncol,Unknown,2024,10.5306/wjco.v15.i3.434,https://www.wjgnet.com/2218-4333/full/v15/i3/434.htm
32728533,World J Clin Infect Dis,Unknown,2020,10.5495/wjcid.v10.i1.14,https://www.wjgnet.com/2220-3176/full/v10/i1/14.htm
27429907,World J Clin Infect Dis,Unknown,2016,10.5495/wjcid.v6.i2.22,https://www.wjgnet.com/2220-3176/full/v6/i2/22.htm
34295652,World J Ophthalmol,Unknown,2014,10.5318/wjo.v4.i3.25,https://www.wjgnet.com/2218-6239/full/v4/i3/25.htm
38835691,World J Orthop,Unknown,2024,10.5312/wjo.v15.i5.477,https://www.wjgnet.com/2218-5836/full/v15/i5/477.htm
37377994,World J Orthop,Unknown,2023,10.5312/wjo.v14.i6.387,https://www.wjgnet.com/2218-5836/full/v14/i6/387.htm
33235829,World J Clin Urol,Unknown,2020,10.5410/wjcu.v9.i1.1,https://www.wjgnet.com/2219-2816/full/v9/i1/1.htm
38899335,World J Gastroenterol,Unknown,2024,10.3748/wjg.v30.i21.2763,https://www.wjgnet.com/1007-9327/full/v30/i21/2763.htm
38899330,World J Gastroenterol,Unknown,2024,10.3748/wjg.v30.i21.2748,https://www.wjgnet.com/1007-9327/full/v30/i21/2748.htm
28078202,World J Neurol,Unknown,2015,10.5316/wjn.v5.i3.74,https://www.wjgnet.com/2218-6212/full/v5/i3/74.htm
28344932,World J Med Genet,Unknown,2016,10.5496/wjmg.v6.i2.17,https://www.wjgnet.com/2220-3184/full/v6/i2/17.htm
